mode,source_metric,information_form,mean_score_to_p_rainband,n_support_to_p_rainband,mean_abs_spearman_to_p_rainband
anomaly,H_centroid_lat,post_state,0.06984809957523998,0,0.06916996047430829
anomaly,H_centroid_lat,pre_state,0.10494578191004518,0,0.10109793588054457
anomaly,H_centroid_lat,signed_transition,0.014973930882452866,0,0.01414141414141414
anomaly,H_centroid_lat,slope,0.005479711509794733,0,0.004743083003952569
anomaly,H_centroid_lat,window_mean,0.11886237213317324,0,0.11550285463328941
anomaly,H_north_edge_lat,post_state,0.21434602831099314,0,0.21052887642106644
anomaly,H_north_edge_lat,pre_state,0.405724995916378,0,0.0650173235555956
anomaly,H_north_edge_lat,signed_transition,1.2095225118518245,1,0.2006567869409395
anomaly,H_north_edge_lat,slope,1.2295479110984566,1,0.2203471897231836
anomaly,H_north_edge_lat,window_mean,0.15625380605300596,0,0.15390945421791755
anomaly,H_south_edge_lat,post_state,0.23351885401743067,0,0.22720335304921965
anomaly,H_south_edge_lat,pre_state,0.05182191143478904,0,0.04828867780489419
anomaly,H_south_edge_lat,signed_transition,0.09275490003112023,0,0.08826898011165824
anomaly,H_south_edge_lat,slope,0.08340190360909017,0,0.07947243545501685
anomaly,H_south_edge_lat,window_mean,0.11993009453387547,0,0.11543838411460398
anomaly,H_strength,post_state,0.03362837240111274,0,0.03227931488801054
anomaly,H_strength,pre_state,0.1619483254362054,0,0.1561703996486605
anomaly,H_strength,signed_transition,0.8827245865307424,0,0.2075098814229249
anomaly,H_strength,slope,0.24109674753304425,0,0.23289415898111546
anomaly,H_strength,window_mean,0.14624219409693825,0,0.14233640755379884
anomaly,H_west_extent_lon,post_state,2.0445936657199937,2,0.36691792909681786
anomaly,H_west_extent_lon,pre_state,0.05916286301275051,0,0.055956974613788325
anomaly,H_west_extent_lon,signed_transition,0.2757800364035729,0,0.26881522098633187
anomaly,H_west_extent_lon,slope,0.6080478699843699,0,0.26707192347380543
anomaly,H_west_extent_lon,window_mean,0.25972306393006245,0,0.25415408321302174
anomaly,H_zonal_width,post_state,2.3325305543576813,3,0.320639854436914
anomaly,H_zonal_width,pre_state,0.31646399834325795,0,0.30890837449938835
anomaly,H_zonal_width,signed_transition,2.4697021457166266,3,0.4565530177786974
anomaly,H_zonal_width,slope,2.4849052473388773,3,0.47028594425941644
anomaly,H_zonal_width,window_mean,0.04938622901577886,0,0.04913136201055404
local_background_removed,H_centroid_lat,post_state,0.1687736840208601,0,0.16174791392182697
local_background_removed,H_centroid_lat,pre_state,0.06025638487803673,0,0.05656565656565656
local_background_removed,H_centroid_lat,signed_transition,0.18360049356043037,0,0.17834870443566095
local_background_removed,H_centroid_lat,slope,0.2610429439707981,0,0.25577514273166446
local_background_removed,H_centroid_lat,window_mean,0.13174836535183046,0,0.12441809398331134
local_background_removed,H_north_edge_lat,post_state,0.6383292931778358,0,0.2969182851352346
local_background_removed,H_north_edge_lat,pre_state,0.15917164555997995,0,0.1567771850634601
local_background_removed,H_north_edge_lat,signed_transition,0.05472031140827461,0,0.052721950399928975
local_background_removed,H_north_edge_lat,slope,0.056027739459800496,0,0.05352661175178534
local_background_removed,H_north_edge_lat,window_mean,1.2270359737872731,1,0.21829671869522038
local_background_removed,H_south_edge_lat,post_state,2.239899766555826,3,0.22903766744788434
local_background_removed,H_south_edge_lat,pre_state,0.0548536873866086,0,0.05283586191769859
local_background_removed,H_south_edge_lat,signed_transition,0.5503064371102159,0,0.2096304865642518
local_background_removed,H_south_edge_lat,slope,0.5468515573782888,0,0.2061756068323247
local_background_removed,H_south_edge_lat,window_mean,0.1709683569984004,0,0.16371263854567272
local_background_removed,H_strength,post_state,0.046588862651089864,0,0.04589371980676329
local_background_removed,H_strength,pre_state,0.2315552354870065,0,0.22595520421607374
local_background_removed,H_strength,signed_transition,0.21883874390184807,0,0.21168203776899427
local_background_removed,H_strength,slope,0.2387438917356034,0,0.23091787439613523
local_background_removed,H_strength,window_mean,0.0950272486083371,0,0.09433465085638998
local_background_removed,H_west_extent_lon,post_state,0.7974912206569348,1,0.12263300374544554
local_background_removed,H_west_extent_lon,pre_state,0.10629031566931817,0,0.0990079782250722
local_background_removed,H_west_extent_lon,signed_transition,0.08861656647126541,0,0.08672647010953345
local_background_removed,H_west_extent_lon,slope,0.09239352354069397,0,0.09114531335242365
local_background_removed,H_west_extent_lon,window_mean,0.13497626076076563,0,0.13029275535190213
local_background_removed,H_zonal_width,post_state,2.2687246604519307,3,0.2572881302958052
local_background_removed,H_zonal_width,pre_state,0.17343391094529295,0,0.16985731871981333
local_background_removed,H_zonal_width,signed_transition,1.9293584279494862,2,0.2516634829889885
local_background_removed,H_zonal_width,slope,1.2501703380644236,1,0.2415977690518686
local_background_removed,H_zonal_width,window_mean,0.05213248459126905,0,0.05094590294494958
