mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_centroid_lat_transition,P_position,45,0.13939393939393938,0.1742266358160745,13,13,1.2886195177243513,-1.6413695957330185,2.9299891134573697,2.978951158778948,0.10477904419116177,-0.6192255698368047,6.333214630110362,formal_perm_boot,0.2858933950668079,False
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_main_band_share_transition,P_rainband_structure,45,0.12700922266139655,0.12796892591278383,13,13,0.06206765449778019,-0.04583282991201342,0.1079004844097936,0.14727894838483258,0.23055388922215556,-0.0639001453234152,0.2831879410087934,formal_perm_boot,0.13240424688188623,False
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_main_minus_south_transition,P_rainband_structure,45,0.06245059288537549,0.06480263511986951,13,13,0.06276702490097809,-0.06340237027860007,0.12616939517957815,0.2505343864854282,0.394121175764847,-0.18795994693275775,0.43392751958616815,formal_perm_boot,0.0687590626443544,False
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,0.017259552042160738,0.023225984042228146,13,13,-0.0006993704031978902,0.01756954036658666,-0.018268910769784548,0.10995247416323749,0.7976404719056189,-0.16262203664704766,0.11807123701669725,formal_perm_boot,0.018172997580649965,False
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_spread_lat_transition,P_spread,45,0.012384716732542817,-0.03903750788126514,13,13,-0.2856635230440953,-0.43394466199072507,0.14828113894662975,1.1230895142460282,0.8270345930813837,-1.3087912892625397,1.5422375775311143,formal_perm_boot,0.019798773679874305,False
anomaly,E1_W18,named,12,23,H_centroid_lat,abs_transition,P_total_strength_transition,P_strength,45,0.05164690382081687,0.03331307398457615,13,13,0.363615563933429,0.3405997058688823,0.0230158580645467,0.7847824422154419,0.9662067586482703,-0.8832639868634509,0.9301684257916433,formal_perm_boot,0.052797696724044205,False
anomaly,E1_W18,named,12,23,H_centroid_lat,post_state,P_centroid_lat_transition,P_position,45,-0.014888010540184453,0.015169197986305975,13,13,-0.7394654279687234,0.7280322241157602,-1.4674976520844836,2.9505266570847235,0.42291541691661666,-4.823804525483912,1.8621815728129005,formal_perm_boot,0.08826289314440863,False
anomaly,E1_W18,named,12,23,H_centroid_lat,post_state,P_main_band_share_transition,P_rainband_structure,45,0.02608695652173913,0.015877219675254493,13,13,-0.013868507551314956,0.009077534632810639,-0.022946042184125597,0.14512938402911324,0.7954409118176364,-0.19110900724448687,0.14208235762475543,formal_perm_boot,0.027234258630945408,False
anomaly,E1_W18,named,12,23,H_centroid_lat,post_state,P_main_minus_south_transition,P_rainband_structure,45,0.03873517786561265,0.04544341374539257,13,13,-0.027451335294947348,-0.017127127774056953,-0.010324207520890395,0.2527958364378467,0.9494101179764047,-0.3117566831362579,0.2815905984502999,formal_perm_boot,0.039251388241657165,False
anomaly,E1_W18,named,12,23,H_centroid_lat,post_state,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.06166007905138339,-0.08018631958374454,13,13,0.013582827743632423,0.02620466240686762,-0.012621834663235196,0.11197975247751188,0.8554289142171566,-0.15362541366022117,0.1212578278433915,formal_perm_boot,0.06229117078454515,False
