anchor_name,anchor_type,anchor_start,anchor_end,pre_start,pre_end,post_start,post_end
E1_W18,named,12,23,12,16,19,23
E2_W33,named,27,38,27,31,34,38
E2_shift_left,named,22,33,22,26,29,33
E2_shift_right_safe,named,28,39,28,32,35,39
slide_000_011,sliding,0,11,0,4,7,11
slide_001_012,sliding,1,12,1,5,8,12
slide_002_013,sliding,2,13,2,6,9,13
slide_003_014,sliding,3,14,3,7,10,14
slide_004_015,sliding,4,15,4,8,11,15
slide_005_016,sliding,5,16,5,9,12,16
slide_006_017,sliding,6,17,6,10,13,17
slide_007_018,sliding,7,18,7,11,14,18
slide_008_019,sliding,8,19,8,12,15,19
slide_009_020,sliding,9,20,9,13,16,20
slide_010_021,sliding,10,21,10,14,17,21
slide_011_022,sliding,11,22,11,15,18,22
slide_012_023,sliding,12,23,12,16,19,23
slide_013_024,sliding,13,24,13,17,20,24
slide_014_025,sliding,14,25,14,18,21,25
slide_015_026,sliding,15,26,15,19,22,26
slide_016_027,sliding,16,27,16,20,23,27
slide_017_028,sliding,17,28,17,21,24,28
slide_018_029,sliding,18,29,18,22,25,29
slide_019_030,sliding,19,30,19,23,26,30
slide_020_031,sliding,20,31,20,24,27,31
slide_021_032,sliding,21,32,21,25,28,32
slide_022_033,sliding,22,33,22,26,29,33
slide_023_034,sliding,23,34,23,27,30,34
slide_024_035,sliding,24,35,24,28,31,35
slide_025_036,sliding,25,36,25,29,32,36
slide_026_037,sliding,26,37,26,30,33,37
slide_027_038,sliding,27,38,27,31,34,38
slide_028_039,sliding,28,39,28,32,35,39
