mode,information_form,n_random_windows,random_score_p50,random_score_p90,random_score_p95,E2_mean_score,E2_exceeds_random_p95
anomaly,abs_transition,1000,0.13388098835055412,0.23956459965958224,0.3317974264187779,0.030786587212311162,False
anomaly,post_state,1000,0.19621320865173755,0.33932648062259213,0.3551474747702865,0.33253055435768125,False
anomaly,pre_state,1000,0.1268318462873224,0.31646399834325795,0.33932648062259213,0.31646399834325795,False
anomaly,signed_transition,1000,0.18572705129992553,0.425364854602895,0.46970214571662683,0.46970214571662683,False
anomaly,slope,1000,0.17300298471207184,0.4557990649838191,0.4784749678949381,0.4849052473388773,True
anomaly,window_mean,1000,0.16208594905252416,0.2603333210946977,0.28196432297609625,0.04938622901577886,False
local_background_removed,abs_transition,1000,0.19011443603759873,0.27617131371529136,0.28726690228373386,0.2249681363308886,False
local_background_removed,post_state,1000,0.11850896561630804,0.27201598596979853,0.29244112160648916,0.2687246604519307,False
local_background_removed,pre_state,1000,0.15711601657707372,0.27201598596979853,0.29244112160648916,0.17343391094529295,False
local_background_removed,signed_transition,1000,0.14025688774877762,0.33093209776373717,0.33636638462016677,0.26269176128281974,False
local_background_removed,slope,1000,0.13827110199583664,0.30932037625452,0.3154787713770892,0.25017033806442357,False
local_background_removed,window_mean,1000,0.11570643952387515,0.25150664606197143,0.27415402248519133,0.05213248459126905,False
