mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag,representation_type
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_centroid_lat_transition,P_position,45,-0.12779973649538867,-0.10004546447758234,13,13,-0.6345463648375673,1.373507915508336,-2.0080542803459034,3.0116271797088627,0.27814437112577484,-5.337846004242381,1.2744282162572043,formal_perm_boot,0.22820245051268384,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_main_band_share_transition,P_rainband_structure,45,-0.017523056653491437,-0.05595783598791628,13,13,0.02991306042150991,0.054639853541892665,-0.024726793120382756,0.14535064813067172,0.7810437912417516,-0.18073819539154135,0.12976626872376681,formal_perm_boot,0.018759396309510575,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_main_minus_south_transition,P_rainband_structure,45,-0.013833992094861657,-0.021894684538368507,13,13,0.06198187536421089,0.08695737759537268,-0.024975502231161795,0.24996156422274077,0.8728254349130175,-0.2630720283174402,0.22033905438599583,formal_perm_boot,0.015082767206419746,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.011067193675889328,-0.02446305360141193,13,13,-0.03206881494270099,-0.03231752405347999,0.00024870911077900376,0.11381426187169748,0.9968006398720256,-0.11698213599044657,0.11623274505188767,formal_perm_boot,0.011079629131428279,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_spread_lat_transition,P_spread,45,-0.07733860342555994,0.01945366951826769,13,13,-0.4706474126612645,-0.1627913313951145,-0.30785608126614994,1.1059757515943287,0.6676664667066586,-1.897710137129315,1.1464845879425143,formal_perm_boot,0.09273140748886743,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_centroid_lat_signed_transition,signed_transition,P_total_strength_transition,P_strength,45,-0.1911725955204216,-0.13300226661526351,13,13,0.18942548869417072,0.6604024713477741,-0.4709769826536033,0.7728086159457369,0.32673465306938615,-0.9687101333996208,0.06571357814033424,formal_perm_boot,0.21472144465310178,False,signed_component_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_centroid_lat_transition,P_position,45,0.22648221343873515,0.13022955194628805,13,13,-0.5338507106424768,-2.692463589221735,2.158612878579258,2.9813627869444543,0.235752849430114,-1.1705294307736773,5.5035259752122725,formal_perm_boot,0.33441285736769805,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_main_band_share_transition,P_rainband_structure,45,0.1455862977602108,0.05847090791769746,13,13,-0.05785304525565568,-0.10066219264764173,0.04280914739198605,0.14799780180307376,0.6334733053389322,-0.13578181263589767,0.2088760328872402,formal_perm_boot,0.1477267551298101,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_main_minus_south_transition,P_rainband_structure,45,0.12595520421607376,0.059525232531818094,13,13,-0.11316395475265313,-0.18363852132322134,0.0704745665705682,0.24597740541566177,0.6538692261547691,-0.23067796847479585,0.366955157199361,formal_perm_boot,0.12947893254460216,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.12516469038208167,-0.05582723387362728,13,13,0.055310909496997476,0.0829763286755796,-0.027665419178582118,0.11356897315166008,0.6770645870825834,-0.15706754713506968,0.10244362483092351,formal_perm_boot,0.12654796134101076,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_spread_lat_transition,P_spread,45,-0.06653491436100131,-0.021353776670299862,13,13,0.2427833268375193,0.24885170273438093,-0.0060683758968616275,1.132756280846295,0.9912017596480703,-1.1691644697333456,1.4507216231448528,formal_perm_boot,0.06683833315584439,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_abs_transition_mean,scalar_transition,P_total_strength_transition,P_strength,45,-0.08260869565217391,-0.021672655556559166,13,13,0.47116062320504876,0.7847613275259078,-0.313600704320859,0.7938928442460258,0.5246950609878024,-1.3064045287796264,0.6797927265499771,formal_perm_boot,0.09828873086821686,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_centroid_lat_transition,P_position,45,0.29802371541501976,0.20830908014050797,13,13,-0.12799062300986053,-2.8276965716686937,2.699705948658833,2.985696194064035,0.13717256548690263,-0.3436838482403965,5.781860362709302,formal_perm_boot,0.43300901284796145,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_main_band_share_transition,P_rainband_structure,45,0.1735177865612648,0.096713388809811,13,13,-0.026583171548799127,-0.08790936936502645,0.06132619781622733,0.14661938751770354,0.506498700259948,-0.09866964647970335,0.2247942751717489,formal_perm_boot,0.17658409645207615,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_main_minus_south_transition,P_rainband_structure,45,0.15810276679841895,0.10818954468368315,13,13,-0.06175530768098193,-0.1767719182365665,0.11501661055558456,0.25268058802618004,0.45510897820435914,-0.15608514286616193,0.400731723845691,formal_perm_boot,0.16385359732619817,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.15994729907773386,-0.1139547537657428,13,13,0.03517213613218285,0.08886254887154002,-0.05369041273935717,0.11236721312893842,0.44671065786842634,-0.18058502243469726,0.08642828067531369,formal_perm_boot,0.16263181971470173,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_spread_lat_transition,P_spread,45,-0.08076416337285901,0.0078042134748918255,13,13,0.09559047031140597,-0.1570458956811618,0.2526363659925678,1.1018806003281834,0.7034593081383723,-0.9275569947105673,1.536284837515251,formal_perm_boot,0.0933959816724874,False,scalarized_transition
anomaly,E2_W33,named,27,38,H_component_transition_norm,scalar_transition,P_total_strength_transition,P_strength,45,-0.13860342555994729,-0.058952554234055564,13,13,0.47477413351151687,0.6315770776676056,-0.15680294415608875,0.7924826779710002,0.7526494701059788,-1.114076493248448,0.9415235680032781,formal_perm_boot,0.14644357276775172,False,scalarized_transition
