mode,e2_feature,broad_feature,target_name,n_valid_years,cv_r2_broad,cv_r2_e2,cv_r2_broad_plus_e2,delta_cv_r2_e2_given_broad,delta_boot_ci_low,delta_boot_ci_high,delta_perm_p,increment_support_flag,increment_evaluation_policy
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_E2_slope,P_NS_reorganization_index,45,-0.04446474220454388,0.007159625745985498,-0.010654271244136204,0.03381047096040768,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_E2_slope,P_position_only,45,-0.023891477384872184,-0.003098281583202578,-0.003942741445883913,0.01994873593898827,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.05812517425737074,0.03899099654947069,0.012128150158513429,0.07025332441588417,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_E2_slope,P_rainband_composite,45,-0.055683987473024166,0.004898541403705492,-0.02091292137469103,0.03477106609833314,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_mean,P_NS_reorganization_index,45,-0.07489874024156862,0.007159625745985498,0.04806424821596422,0.12296298845753284,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_mean,P_position_only,45,-0.07018801909880956,-0.003098281583202578,0.036454383184963524,0.10664240228377309,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,45,-0.08677945347070803,0.03899099654947069,0.05517794004767662,0.14195739351838466,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_mean,P_rainband_composite,45,-0.07754525003876545,0.004898541403705492,0.03966050548316413,0.11720575552192958,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_slope,P_NS_reorganization_index,45,-0.09455678371762022,0.007159625745985498,-0.03796618680198072,0.0565905969156395,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_slope,P_position_only,45,-0.09764280142408155,-0.003098281583202578,-0.04581879168137171,0.05182400974270984,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_slope,P_profile_contrast_30_32_minus_18_25,45,-0.086225234059224,0.03899099654947069,-0.008014474995839072,0.07821075906338493,,,,True,screen
anomaly,H_zonal_width_E2_pre_state,H_zonal_width_pre_M_slope,P_rainband_composite,45,-0.09175743381257084,0.004898541403705492,-0.03987932661855975,0.05187810719401109,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_mean,P_NS_reorganization_index,45,-0.09730883979056903,0.10114807168198936,0.05619730870354789,0.15350614849411692,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_mean,P_position_only,45,-0.08852898596308667,0.12474565971915252,0.09244590518962825,0.18097489115271492,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.09885833031234559,0.08057181503552346,0.025759674634731167,0.12461800494707675,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_mean,P_rainband_composite,45,-0.09957322231128707,0.08024652135175003,0.03127223864830775,0.13084546095959482,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_slope,P_NS_reorganization_index,45,-0.06569344463052307,0.10114807168198936,0.08085760385530993,0.146551048485833,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_slope,P_position_only,45,-0.05673566393079876,0.12474565971915252,0.09963666302456287,0.15637232695536163,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.07682918130943084,0.08057181503552346,0.057784508114426814,0.13461368942385765,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_E1_to_E2_slope,P_rainband_composite,45,-0.06801979144389403,0.08024652135175003,0.06223482149448267,0.1302546129383767,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_mean,P_NS_reorganization_index,45,-0.07448492717629973,0.10114807168198936,0.09177177091654443,0.16625669809284416,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_mean,P_position_only,45,-0.08529715613010391,0.12474565971915252,0.10688551349966435,0.19218266962976827,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.07305666612202799,0.08057181503552346,0.06874893734679188,0.14180560346881987,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_mean,P_rainband_composite,45,-0.07173171662159694,0.08024652135175003,0.07139234022007412,0.14312405684167107,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_slope,P_NS_reorganization_index,45,-0.04446474220454388,0.10114807168198936,0.07542040432559738,0.11988514653014126,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_slope,P_position_only,45,-0.023891477384872184,0.12474565971915252,0.10929515179517879,0.13318662918005097,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.05812517425737074,0.08057181503552346,0.0466654937757679,0.10479066803313863,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_E2_slope,P_rainband_composite,45,-0.055683987473024166,0.08024652135175003,0.04912981327981125,0.10481380075283542,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_mean,P_NS_reorganization_index,45,-0.07489874024156862,0.10114807168198936,0.08371144693621146,0.15861018717778008,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_mean,P_position_only,45,-0.07018801909880956,0.12474565971915252,0.11638293288024515,0.1865709519790547,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,45,-0.08677945347070803,0.08057181503552346,0.045102443492010535,0.13188189696271857,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_mean,P_rainband_composite,45,-0.07754525003876545,0.08024652135175003,0.05778923451836859,0.13533448455713404,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_slope,P_NS_reorganization_index,45,-0.09455678371762022,0.10114807168198936,0.07707085513489553,0.17162763885251575,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_slope,P_position_only,45,-0.09764280142408155,0.12474565971915252,0.09427187309371532,0.19191467451779687,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_slope,P_profile_contrast_30_32_minus_18_25,45,-0.086225234059224,0.08057181503552346,0.06964514035896718,0.15587037441819118,,,,True,screen
anomaly,H_zonal_width_E2_signed_transition,H_zonal_width_pre_M_slope,P_rainband_composite,45,-0.09175743381257084,0.08024652135175003,0.05816357081723733,0.14992100462980817,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_mean,P_NS_reorganization_index,45,-0.09730883979056903,0.1074579991100072,0.0644864468299644,0.16179528662053344,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_mean,P_position_only,45,-0.08852898596308667,0.12057560704341963,0.0895584452081366,0.17808743117122328,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.09885833031234559,0.08805389980619927,0.03386045903605173,0.13271878934839731,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_mean,P_rainband_composite,45,-0.09957322231128707,0.08931200110235316,0.04237699338523404,0.1419502156965211,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_slope,P_NS_reorganization_index,45,-0.06569344463052307,0.1074579991100072,0.08621806911794605,0.15191151374846912,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_slope,P_position_only,45,-0.05673566393079876,0.12057560704341963,0.09366784618449409,0.15040351011529285,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.07682918130943084,0.08805389980619927,0.06479205204338478,0.14162123335281562,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_E1_to_E2_slope,P_rainband_composite,45,-0.06801979144389403,0.08931200110235316,0.07083696646417548,0.1388567579080695,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_mean,P_NS_reorganization_index,45,-0.07448492717629973,0.1074579991100072,0.10196219340564094,0.17644712058194068,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_mean,P_position_only,45,-0.08529715613010391,0.12057560704341963,0.10465634067869922,0.18995349680880314,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.07305666612202799,0.08805389980619927,0.07992735168205967,0.15298401780408766,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_mean,P_rainband_composite,45,-0.07173171662159694,0.08931200110235316,0.08464969643126385,0.1563814130528608,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_slope,P_NS_reorganization_index,45,-0.04446474220454388,0.1074579991100072,0.08012059241739522,0.1245853346219391,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_slope,P_position_only,45,-0.023891477384872184,0.12057560704341963,0.10272457674953683,0.12661605413440902,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.05812517425737074,0.08805389980619927,0.05323736012485336,0.1113625343822241,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_E2_slope,P_rainband_composite,45,-0.055683987473024166,0.08931200110235316,0.0571545423929829,0.11283852986600706,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_mean,P_NS_reorganization_index,45,-0.07489874024156862,0.1074579991100072,0.09313859956263082,0.16803733980419944,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_mean,P_position_only,45,-0.07018801909880956,0.12057560704341963,0.11483448544315611,0.18502250454196567,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,45,-0.08677945347070803,0.08805389980619927,0.05442711630523678,0.1412065697759448,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_mean,P_rainband_composite,45,-0.07754525003876545,0.08931200110235316,0.06987075396171172,0.14741600400047716,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_slope,P_NS_reorganization_index,45,-0.09455678371762022,0.1074579991100072,0.0833629269701931,0.17791971068781331,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_slope,P_position_only,45,-0.09764280142408155,0.12057560704341963,0.08919299576351625,0.1868357971875978,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_slope,P_profile_contrast_30_32_minus_18_25,45,-0.086225234059224,0.08805389980619927,0.0774066151551549,0.1636318492143789,,,,True,screen
anomaly,H_zonal_width_E2_slope,H_zonal_width_pre_M_slope,P_rainband_composite,45,-0.09175743381257084,0.08931200110235316,0.06749995409468523,0.15925738790725608,,,,True,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_mean,P_NS_reorganization_index,45,-0.09730883979056903,-0.08179413940536606,-0.12434019001843888,-0.027031350227869844,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_mean,P_position_only,45,-0.08852898596308667,-0.07137555072535973,-0.1146042057898895,-0.02607521982680283,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.09885833031234559,-0.07543930491569473,-0.12061131467180597,-0.02175298435946038,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_mean,P_rainband_composite,45,-0.09957322231128707,-0.08306871235633029,-0.12499641535555472,-0.025423193044267656,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_slope,P_NS_reorganization_index,45,-0.06569344463052307,-0.08179413940536606,-0.11342756269839915,-0.047734118067876086,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_slope,P_position_only,45,-0.05673566393079876,-0.07137555072535973,-0.09590990923534126,-0.0391742453045425,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.07682918130943084,-0.07543930491569473,-0.10994174366399156,-0.033112562354560726,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_E1_to_E2_slope,P_rainband_composite,45,-0.06801979144389403,-0.08306871235633029,-0.11756588056661821,-0.04954608912272418,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_mean,P_NS_reorganization_index,45,-0.07448492717629973,-0.08179413940536606,-0.11353889100032699,-0.03905396382402726,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_mean,P_position_only,45,-0.08529715613010391,-0.07137555072535973,-0.11513895341410563,-0.029841797284001714,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_mean,P_profile_contrast_30_32_minus_18_25,45,-0.07305666612202799,-0.07543930491569473,-0.10377059822025503,-0.030713932098227037,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_mean,P_rainband_composite,45,-0.07173171662159694,-0.08306871235633029,-0.11127518431661998,-0.03954346769502304,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_slope,P_NS_reorganization_index,45,-0.04446474220454388,-0.08179413940536606,-0.07792635687838567,-0.03346161467384179,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_slope,P_position_only,45,-0.023891477384872184,-0.07137555072535973,-0.04587320871925482,-0.021981731334382637,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_slope,P_profile_contrast_30_32_minus_18_25,45,-0.05812517425737074,-0.07543930491569473,-0.09030810283720259,-0.03218292857983185,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_E2_slope,P_rainband_composite,45,-0.055683987473024166,-0.08306871235633029,-0.09130731836343209,-0.03562333089040792,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_M_mean,P_NS_reorganization_index,45,-0.07489874024156862,-0.08179413940536606,-0.10751709887304872,-0.032618358631480104,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_M_mean,P_position_only,45,-0.07018801909880956,-0.07137555072535973,-0.11131169827049114,-0.04112367917168158,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,45,-0.08677945347070803,-0.07543930491569473,-0.09783937844617929,-0.011059924975471258,,,,False,screen
anomaly,H_zonal_width_E2_window_mean,H_zonal_width_pre_M_mean,P_rainband_composite,45,-0.07754525003876545,-0.08306871235633029,-0.10487967312001523,-0.02733442308124978,,,,False,screen
