field_name,detected_key,shape,lat_range,lon_range,domain_lat_range,domain_lon_range,n_years,n_days,status,norm_original_shape,norm_normalized_shape,norm_axis_year,norm_axis_day,norm_axis_lat,norm_axis_lon,norm_lat_sorted_ascending,norm_lon_sorted_ascending
H,z500_smoothed,"(45, 183, 81, 121)","(15.0, 35.0)","(110.0, 140.0)","(15.0, 35.0)","(110.0, 140.0)",45,183,ok,"[45, 183, 201, 521]","[45, 183, 201, 521]",0,1,2,3,True,True
P,precip_smoothed,"(45, 183, 81, 121)","(15.0, 35.0)","(110.0, 140.0)","(15.0, 35.0)","(110.0, 140.0)",45,183,ok,"[45, 183, 201, 521]","[45, 183, 201, 521]",0,1,2,3,True,True
