mode,source_feature,target_name,block_start_year,block_end_year,n_removed,base_pearson_r,r_after_block_removed,delta_r_after_block_removed,support_after_block_removed
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,1970,1979,1,0.32637264109754205,0.3367665002045881,0.010393859107046044,True
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,1980,1989,10,0.32637264109754205,0.3728564770576312,0.04648383596008915,False
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,1990,1999,10,0.32637264109754205,0.43726581577995316,0.11089317468241111,True
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,2000,2009,10,0.32637264109754205,0.250807647090751,-0.07556499400679106,False
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,2010,2019,10,0.32637264109754205,0.21686340267685936,-0.10950923842068269,False
anomaly,H_zonal_width_E2_post_state,P_NS_reorganization_index,2020,2029,4,0.32637264109754205,0.3263855743618555,1.2933264313452764e-05,False
anomaly,H_zonal_width_E2_post_state,P_position_only,1970,1979,1,0.37568421680457537,0.3866970251433718,0.01101280833879642,True
anomaly,H_zonal_width_E2_post_state,P_position_only,1980,1989,10,0.37568421680457537,0.3974515414461728,0.02176732464159742,True
anomaly,H_zonal_width_E2_post_state,P_position_only,1990,1999,10,0.37568421680457537,0.4989746003932884,0.12329038358871303,True
anomaly,H_zonal_width_E2_post_state,P_position_only,2000,2009,10,0.37568421680457537,0.2668376305689642,-0.10884658623561116,False
anomaly,H_zonal_width_E2_post_state,P_position_only,2010,2019,10,0.37568421680457537,0.2959079930984016,-0.07977622370617377,False
anomaly,H_zonal_width_E2_post_state,P_position_only,2020,2029,4,0.37568421680457537,0.3838971930057087,0.008212976201133315,True
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,1970,1979,1,0.23540793777715238,0.25289434145827655,0.01748640368112417,False
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,1980,1989,10,0.23540793777715238,0.27484331991713623,0.03943538213998385,False
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,1990,1999,10,0.23540793777715238,0.36142418320755026,0.12601624543039788,True
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,2000,2009,10,0.23540793777715238,0.1553378667532815,-0.08007007102387087,False
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,2010,2019,10,0.23540793777715238,0.1259459759345398,-0.10946196184261259,False
anomaly,H_zonal_width_E2_post_state,P_profile_contrast_30_32_minus_18_25,2020,2029,4,0.23540793777715238,0.22695046620461737,-0.008457471572535014,False
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,1970,1979,1,0.29873488097896533,0.3081312543667038,0.009396373387738466,False
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,1980,1989,10,0.29873488097896533,0.3537106893540078,0.054975808375042456,False
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,1990,1999,10,0.29873488097896533,0.3982986373686035,0.09956375638963816,True
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,2000,2009,10,0.29873488097896533,0.24016208297717462,-0.058572798001790716,False
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,2010,2019,10,0.29873488097896533,0.18044781259778503,-0.1182870683811803,False
anomaly,H_zonal_width_E2_post_state,P_rainband_composite,2020,2029,4,0.29873488097896533,0.29509046607258865,-0.0036444149063766806,False
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,1970,1979,1,0.434013577242526,0.42650436189102936,-0.007509215351496623,True
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,1980,1989,10,0.434013577242526,0.5732048474021453,0.1391912701596193,True
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,1990,1999,10,0.434013577242526,0.45094581076210843,0.01693223351958245,True
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,2000,2009,10,0.434013577242526,0.38018093624698945,-0.05383264099553653,True
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,2010,2019,10,0.434013577242526,0.40104698877561,-0.03296658846691597,False
anomaly,H_zonal_width_E2_signed_transition,P_NS_reorganization_index,2020,2029,4,0.434013577242526,0.39011550544402684,-0.04389807179849914,True
anomaly,H_zonal_width_E2_signed_transition,P_position_only,1970,1979,1,0.4523789631865366,0.44532420498424846,-0.007054758202288125,True
anomaly,H_zonal_width_E2_signed_transition,P_position_only,1980,1989,10,0.4523789631865366,0.5764357756451377,0.12405681245860112,True
anomaly,H_zonal_width_E2_signed_transition,P_position_only,1990,1999,10,0.4523789631865366,0.5083785468568214,0.05599958367028479,True
anomaly,H_zonal_width_E2_signed_transition,P_position_only,2000,2009,10,0.4523789631865366,0.3428331376508692,-0.10954582553566738,False
anomaly,H_zonal_width_E2_signed_transition,P_position_only,2010,2019,10,0.4523789631865366,0.4307307005341884,-0.021648262652348205,False
anomaly,H_zonal_width_E2_signed_transition,P_position_only,2020,2029,4,0.4523789631865366,0.4266497307069791,-0.025729232479557496,True
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,1970,1979,1,0.40477531758543445,0.39825856571670576,-0.006516751868728687,True
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,1980,1989,10,0.40477531758543445,0.5175928314824588,0.11281751389702438,True
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,1990,1999,10,0.40477531758543445,0.4079014507389267,0.00312613315349225,True
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,2000,2009,10,0.40477531758543445,0.3831313532054894,-0.021643964379945035,False
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,2010,2019,10,0.40477531758543445,0.36406817506357897,-0.04070714252185548,False
anomaly,H_zonal_width_E2_signed_transition,P_profile_contrast_30_32_minus_18_25,2020,2029,4,0.40477531758543445,0.36711822621442636,-0.03765709137100809,True
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,1970,1979,1,0.4135740866694756,0.4055845989160291,-0.00798948775344649,True
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,1980,1989,10,0.4135740866694756,0.5551901652868065,0.14161607861733094,True
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,1990,1999,10,0.4135740866694756,0.4129381193827354,-0.0006359672867402022,True
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,2000,2009,10,0.4135740866694756,0.38454819025026327,-0.029025896419212327,True
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,2010,2019,10,0.4135740866694756,0.3756150566078132,-0.0379590300616624,False
anomaly,H_zonal_width_E2_signed_transition,P_rainband_composite,2020,2029,4,0.4135740866694756,0.3640186574434917,-0.04955542922598388,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,1970,1979,2,0.4372019838027066,0.42872484147534456,-0.00847714232736202,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,1980,1989,20,0.4372019838027066,0.568556707934223,0.1313547241315164,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,1990,1999,20,0.4372019838027066,0.43905728370849106,0.00185529990578448,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,2000,2009,20,0.4372019838027066,0.3898676825909813,-0.04733430121172527,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,2010,2019,20,0.4372019838027066,0.4079052398239218,-0.02929674397878479,True
anomaly,H_zonal_width_E2_slope,P_NS_reorganization_index,2020,2029,8,0.4372019838027066,0.40228498603791335,-0.034916997764793234,True
anomaly,H_zonal_width_E2_slope,P_position_only,1970,1979,2,0.44573892448957886,0.4375095882978989,-0.008229336191679981,True
anomaly,H_zonal_width_E2_slope,P_position_only,1980,1989,20,0.44573892448957886,0.5602324642621475,0.1144935397725686,True
anomaly,H_zonal_width_E2_slope,P_position_only,1990,1999,20,0.44573892448957886,0.4920301651251196,0.04629124063554074,True
anomaly,H_zonal_width_E2_slope,P_position_only,2000,2009,20,0.44573892448957886,0.3354608855977612,-0.11027803889181764,True
anomaly,H_zonal_width_E2_slope,P_position_only,2010,2019,20,0.44573892448957886,0.4299403635720392,-0.015798560917539672,True
anomaly,H_zonal_width_E2_slope,P_position_only,2020,2029,8,0.44573892448957886,0.42909962429491166,-0.016639300194667195,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,1970,1979,2,0.41153989459274753,0.4035981569383921,-0.007941737654355407,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,1980,1989,20,0.41153989459274753,0.519871824228215,0.10833192963546745,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,1990,1999,20,0.41153989459274753,0.4005021722151109,-0.011037722377636616,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,2000,2009,20,0.41153989459274753,0.39969670779455574,-0.011843186798191796,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,2010,2019,20,0.41153989459274753,0.37457027510636437,-0.036969619486383165,True
anomaly,H_zonal_width_E2_slope,P_profile_contrast_30_32_minus_18_25,2020,2029,8,0.41153989459274753,0.37754616979796507,-0.033993724794782465,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,1970,1979,2,0.4200552177283757,0.41119721022065103,-0.008858007507724641,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,1980,1989,20,0.4200552177283757,0.5544951416759669,0.13443992394759124,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,1990,1999,20,0.4200552177283757,0.4030855878915334,-0.016969629836842248,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,2000,2009,20,0.4200552177283757,0.3997036551876997,-0.020351562540675994,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,2010,2019,20,0.4200552177283757,0.3849728013120395,-0.03508241641633619,True
anomaly,H_zonal_width_E2_slope,P_rainband_composite,2020,2029,8,0.4200552177283757,0.3791870878277702,-0.040868129900605454,True
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,1970,1979,2,0.1182860516264677,0.13948525765623584,0.021199206029768144,False
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,1980,1989,20,0.1182860516264677,0.142063938510677,0.0237778868842093,False
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,1990,1999,20,0.1182860516264677,0.22964509993750334,0.11135904831103564,False
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,2000,2009,20,0.1182860516264677,0.0402232210068213,-0.0780628306196464,False
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,2010,2019,20,0.1182860516264677,0.008735007531390584,-0.10955104409507711,False
anomaly,H_zonal_width_pre_M_mean,P_NS_reorganization_index,2020,2029,8,0.1182860516264677,0.139915189854778,0.021629138228310293,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,1970,1979,2,0.12426851397650587,0.14508974835571864,0.020821234379212766,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,1980,1989,20,0.12426851397650587,0.17920368197701636,0.05493516800051049,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,1990,1999,20,0.12426851397650587,0.2422023415210005,0.11793382754449463,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,2000,2009,20,0.12426851397650587,0.027412533326823228,-0.09685598064968265,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,2010,2019,20,0.12426851397650587,0.016679616955755157,-0.10758889702075072,False
anomaly,H_zonal_width_pre_M_mean,P_position_only,2020,2029,8,0.12426851397650587,0.12911610272936125,0.004847588752855375,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,1970,1979,2,0.05701074021826251,0.08873876249209867,0.03172802227383616,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,1980,1989,20,0.05701074021826251,0.054014347954881366,-0.002996392263381144,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,1990,1999,20,0.05701074021826251,0.1825143404497628,0.1255036002315003,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,2000,2009,20,0.05701074021826251,-0.03584776969603213,-0.09285850991429465,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,2010,2019,20,0.05701074021826251,-0.03959379054933905,-0.09660453076760156,False
anomaly,H_zonal_width_pre_M_mean,P_profile_contrast_30_32_minus_18_25,2020,2029,8,0.05701074021826251,0.08478789369905158,0.027777153480789074,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,1970,1979,2,0.11237781161520945,0.1328337652287304,0.02045595361352094,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,1980,1989,20,0.11237781161520945,0.12559949203852144,0.013221680423311996,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,1990,1999,20,0.11237781161520945,0.21614813324914192,0.10377032163393247,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,2000,2009,20,0.11237781161520945,0.043631941952667244,-0.0687458696625422,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,2010,2019,20,0.11237781161520945,0.00555541657601581,-0.10682239503919363,False
anomaly,H_zonal_width_pre_M_mean,P_rainband_composite,2020,2029,8,0.11237781161520945,0.1389483276696926,0.026570516054483143,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,1970,1979,2,-0.034881905988799346,0.003434342533579152,0.0383162485223785,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,1980,1989,20,-0.034881905988799346,-0.12667858682510402,-0.09179668083630468,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,1990,1999,20,-0.034881905988799346,0.0780782524742495,0.11296015846304885,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,2000,2009,20,-0.034881905988799346,-0.06931283570095106,-0.03443092971215172,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,2010,2019,20,-0.034881905988799346,-0.1069013354009193,-0.07201942941211995,False
anomaly,H_zonal_width_pre_M_slope,P_NS_reorganization_index,2020,2029,8,-0.034881905988799346,-0.0064517517992757146,0.028430154189523632,False
anomaly,H_zonal_width_pre_M_slope,P_position_only,1970,1979,2,-0.005644384281899792,0.03294460269299549,0.03858898697489528,False
