mode,source_feature,source_family,information_form,window_name,temporal_position,day_start,day_end,target_name,target_family,n_valid_years,pearson_r,spearman_r,perm_p,high_low_diff,boot_ci_low,boot_ci_high,ci_excludes_zero,support_flag,primary_score,experiment_a_policy
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_NS_reorganization_index,P_NS_reorganization,45,0.02269833268519693,-0.000329402464645273,0.87,-0.2224934335041512,-2.925592300312199,3.1024963992481953,False,False,0.06081014984602675,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_centroid_lat_transition,P_position,45,0.028885302181619027,0.10033599073095015,0.88,-0.20806577419426842,-2.3016508924716352,1.8750698060757307,False,False,0.15585331858078152,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_main_minus_south_transition,P_rainband_component,45,0.018897124975061245,-0.03643191258976718,0.88,-0.018508091022939155,-0.29697060928967506,0.27553100684724496,False,False,0.09194924043959855,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_position_only,P_position_only,45,0.02888530218161903,0.10033599073095015,0.835,-0.07682407678262418,-0.680294756784876,0.7423447792892793,False,False,0.17864951524734807,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_profile_contrast_30_32_minus_18_25,P_lat_profile_contrast,45,-0.04436106327248775,-0.08188945271081485,0.775,-0.5988787843631085,-3.603743193052615,2.295569757571946,False,False,0.19258775020450455,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_rainband_composite,P_rainband_only,45,0.019823342174213658,-0.028394492452422523,0.91,-0.1456693567215267,-2.125736235047925,1.9253397756996318,False,False,0.06935310013132891,screen
anomaly,H_zonal_width_E1_to_E2_mean,broad_background,window_mean,E1_to_E2,broad_pre_m,12,38,P_rainband_main_minus_south,P_rainband_only,45,0.01889712497506125,-0.03643191258976718,0.91,-0.05053939588900766,-0.8142618403396601,0.7426080462220613,False,False,0.07739052026867357,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_NS_reorganization_index,P_NS_reorganization,45,0.09286034310680141,0.08748353096179183,0.52,1.1361256756599858,-2.0634235125737495,3.18183194298548,False,False,0.3714801873269927,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_centroid_lat_transition,P_position,45,0.14308926174741415,0.1297760210803689,0.38,1.1808012481202732,-1.7064463886006505,2.568051680461052,False,False,0.5499924244635588,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_main_minus_south_transition,P_rainband_component,45,0.0723782661015231,0.08168642951251645,0.65,0.08850243116049193,-0.2349115446958689,0.29708961669926637,False,False,0.2687730728696609,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_position_only,P_position_only,45,0.14308926174741413,0.1297760210803689,0.4,0.43598696663061876,-0.3226512641111628,1.0012472875015812,False,False,0.5277160297524065,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_profile_contrast_30_32_minus_18_25,P_lat_profile_contrast,45,0.03127368317710333,-0.011462450592885374,0.865,0.46739898027815524,-2.7987764602595933,2.224064867950856,False,False,0.07444634312807116,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_rainband_composite,P_rainband_only,45,0.07248818658636139,0.08405797101449275,0.61,0.7001387090293671,-1.7580566754503242,2.366531314429324,False,False,0.2987281360037257,screen
anomaly,H_zonal_width_E1_to_E2_slope,broad_background,slope,E1_to_E2,broad_pre_m,12,38,P_rainband_main_minus_south,P_rainband_only,45,0.07237826610152309,0.08168642951251645,0.635,0.24167048886976158,-0.5468427378448889,0.7837224898090899,False,False,0.27891270422054076,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_NS_reorganization_index,P_NS_reorganization,45,0.03834166282229673,0.015026198366884583,0.835,-0.024142797989016307,-2.7908168557922264,4.29259764238767,False,False,0.09333972288328252,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_centroid_lat_transition,P_position,45,0.04932943550680351,-0.009687943683912428,0.735,0.049552449361832784,-2.02931174625458,2.3390639575854566,False,False,0.14340060459971754,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_main_minus_south_transition,P_rainband_component,45,0.0363219386060243,0.007644907941046542,0.835,-0.002470780615774243,-0.27219528429202744,0.34623935405707457,False,False,0.08595843245744447,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_position_only,P_position_only,45,0.04932943550680356,-0.009687943683912428,0.76,0.01829623920263862,-0.7252571485313913,0.9203206484925205,False,False,0.12887435140312106,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_profile_contrast_30_32_minus_18_25,P_lat_profile_contrast,45,0.018815011821530576,0.013576302033237826,0.91,-0.4144512803759888,-2.531735482455836,2.6048513601433108,False,False,0.05453490971214421,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_rainband_composite,P_rainband_only,45,0.033299766613999235,0.011401457532767688,0.84,-0.04243903719165508,-2.457392965060291,2.2583299040306866,False,False,0.08712217147088605,screen
anomaly,H_zonal_width_E2_abs_transition,E2_local,abs_transition,E2,e2,27,38,P_rainband_main_minus_south,P_rainband_only,45,0.03632193860602433,0.007644907941046542,0.8,-0.006746874085540998,-0.9271750437972688,0.9203748705551199,False,False,0.10455492094910293,screen
