year,mode,target_name,target_family,target_value
1979,anomaly,P_total_strength_transition,P_strength,0.950389372170027
1980,anomaly,P_total_strength_transition,P_strength,0.586546040405618
1981,anomaly,P_total_strength_transition,P_strength,-0.8985464690006785
1982,anomaly,P_total_strength_transition,P_strength,0.1908310719326316
1983,anomaly,P_total_strength_transition,P_strength,-0.6745597077256671
1984,anomaly,P_total_strength_transition,P_strength,1.6089898445755129
1985,anomaly,P_total_strength_transition,P_strength,-0.44270978488248525
1986,anomaly,P_total_strength_transition,P_strength,0.20638344404225417
1987,anomaly,P_total_strength_transition,P_strength,1.201180813261629
1988,anomaly,P_total_strength_transition,P_strength,1.0786646471369037
1989,anomaly,P_total_strength_transition,P_strength,0.899299400487789
1990,anomaly,P_total_strength_transition,P_strength,-0.724195103109187
1991,anomaly,P_total_strength_transition,P_strength,-0.034269521026438765
1992,anomaly,P_total_strength_transition,P_strength,-0.7250218196416883
1993,anomaly,P_total_strength_transition,P_strength,-0.351434188654129
1994,anomaly,P_total_strength_transition,P_strength,-1.2970828456660004
1995,anomaly,P_total_strength_transition,P_strength,-0.7531832145755133
1996,anomaly,P_total_strength_transition,P_strength,0.7617016366673828
1997,anomaly,P_total_strength_transition,P_strength,-0.40759981165596804
1998,anomaly,P_total_strength_transition,P_strength,0.8432738738961131
1999,anomaly,P_total_strength_transition,P_strength,-0.6474785771271231
2000,anomaly,P_total_strength_transition,P_strength,0.42929915633617954
2001,anomaly,P_total_strength_transition,P_strength,-0.2222658885122022
2002,anomaly,P_total_strength_transition,P_strength,0.10166824840555702
2003,anomaly,P_total_strength_transition,P_strength,-0.606864276883949
2004,anomaly,P_total_strength_transition,P_strength,1.7765627224898908
2005,anomaly,P_total_strength_transition,P_strength,-2.2560243010295844
2006,anomaly,P_total_strength_transition,P_strength,-0.20650853441219763
2007,anomaly,P_total_strength_transition,P_strength,0.5750834194181196
2008,anomaly,P_total_strength_transition,P_strength,-2.2539627560639044
2009,anomaly,P_total_strength_transition,P_strength,0.14195712451372877
2010,anomaly,P_total_strength_transition,P_strength,0.3282434561490686
2011,anomaly,P_total_strength_transition,P_strength,-0.9717737505405164
2012,anomaly,P_total_strength_transition,P_strength,0.9518902298587514
2013,anomaly,P_total_strength_transition,P_strength,-0.2774220698300067
2014,anomaly,P_total_strength_transition,P_strength,-1.6262485416150538
2015,anomaly,P_total_strength_transition,P_strength,0.12699743104381256
2016,anomaly,P_total_strength_transition,P_strength,0.643885307106857
2017,anomaly,P_total_strength_transition,P_strength,1.6007189740686336
2018,anomaly,P_total_strength_transition,P_strength,-0.871546898379195
2019,anomaly,P_total_strength_transition,P_strength,-0.43341964816708245
2020,anomaly,P_total_strength_transition,P_strength,2.1714284776187895
2021,anomaly,P_total_strength_transition,P_strength,-0.02962459710267973
2022,anomaly,P_total_strength_transition,P_strength,-0.7635045417799693
2023,anomaly,P_total_strength_transition,P_strength,0.3002521557959712
1979,anomaly,P_centroid_lat_transition,P_position,-3.9075728906555867
1980,anomaly,P_centroid_lat_transition,P_position,-1.0517904417634227
1981,anomaly,P_centroid_lat_transition,P_position,-0.9138635138954179
1982,anomaly,P_centroid_lat_transition,P_position,-4.561197646546724
1983,anomaly,P_centroid_lat_transition,P_position,-1.6044947240220253
1984,anomaly,P_centroid_lat_transition,P_position,-1.4584138265093287
1985,anomaly,P_centroid_lat_transition,P_position,-6.673697329426918
1986,anomaly,P_centroid_lat_transition,P_position,-0.4220162699514596
1987,anomaly,P_centroid_lat_transition,P_position,-2.2202418959090515
1988,anomaly,P_centroid_lat_transition,P_position,3.0962059161388105
1989,anomaly,P_centroid_lat_transition,P_position,-3.4977615246343596
1990,anomaly,P_centroid_lat_transition,P_position,1.7524737085283704
1991,anomaly,P_centroid_lat_transition,P_position,6.1782026861835035
1992,anomaly,P_centroid_lat_transition,P_position,-0.38284476083240904
1993,anomaly,P_centroid_lat_transition,P_position,-0.22905605786271366
1994,anomaly,P_centroid_lat_transition,P_position,-0.22140653872734006
1995,anomaly,P_centroid_lat_transition,P_position,2.2091725114719694
1996,anomaly,P_centroid_lat_transition,P_position,1.3000104026180175
1997,anomaly,P_centroid_lat_transition,P_position,-2.677700415692641
1998,anomaly,P_centroid_lat_transition,P_position,-4.322000739119716
1999,anomaly,P_centroid_lat_transition,P_position,2.6463852176375298
2000,anomaly,P_centroid_lat_transition,P_position,0.44257935303622986
2001,anomaly,P_centroid_lat_transition,P_position,2.7599930115919626
2002,anomaly,P_centroid_lat_transition,P_position,-2.925068583725011
2003,anomaly,P_centroid_lat_transition,P_position,-1.332760861838505
2004,anomaly,P_centroid_lat_transition,P_position,-3.79751913800785
2005,anomaly,P_centroid_lat_transition,P_position,0.45406466838572257
2006,anomaly,P_centroid_lat_transition,P_position,0.6742668950988566
2007,anomaly,P_centroid_lat_transition,P_position,2.769813431392997
2008,anomaly,P_centroid_lat_transition,P_position,0.04213112924583129
2009,anomaly,P_centroid_lat_transition,P_position,4.736397625026587
2010,anomaly,P_centroid_lat_transition,P_position,1.8491891972808467
2011,anomaly,P_centroid_lat_transition,P_position,-1.8255153173755971
2012,anomaly,P_centroid_lat_transition,P_position,-1.162596533896707
2013,anomaly,P_centroid_lat_transition,P_position,0.3083933907948264
2014,anomaly,P_centroid_lat_transition,P_position,0.5024111235576356
2015,anomaly,P_centroid_lat_transition,P_position,-1.8439090991600224
2016,anomaly,P_centroid_lat_transition,P_position,-2.513883955047344
2017,anomaly,P_centroid_lat_transition,P_position,-4.454148218157453
2018,anomaly,P_centroid_lat_transition,P_position,0.8561101650473404
2019,anomaly,P_centroid_lat_transition,P_position,3.9151783959229114
2020,anomaly,P_centroid_lat_transition,P_position,-0.8479345893047459
2021,anomaly,P_centroid_lat_transition,P_position,-0.20116851027249538
2022,anomaly,P_centroid_lat_transition,P_position,-1.7427500255651864
2023,anomaly,P_centroid_lat_transition,P_position,4.403942297725912
1979,anomaly,P_spread_lat_transition,P_spread,-1.3165092144493258
1980,anomaly,P_spread_lat_transition,P_spread,-0.48635005914859075
1981,anomaly,P_spread_lat_transition,P_spread,0.10003080525251118
1982,anomaly,P_spread_lat_transition,P_spread,0.8767891344950627
1983,anomaly,P_spread_lat_transition,P_spread,0.5532037601536599
1984,anomaly,P_spread_lat_transition,P_spread,-0.7999724425750889
1985,anomaly,P_spread_lat_transition,P_spread,3.2274546771916848
1986,anomaly,P_spread_lat_transition,P_spread,1.9237551500299706
1987,anomaly,P_spread_lat_transition,P_spread,-0.5377012809579957
1988,anomaly,P_spread_lat_transition,P_spread,0.5392065901850351
1989,anomaly,P_spread_lat_transition,P_spread,0.8213318673829431
1990,anomaly,P_spread_lat_transition,P_spread,0.3485812666305588
1991,anomaly,P_spread_lat_transition,P_spread,-0.9718693173630966
1992,anomaly,P_spread_lat_transition,P_spread,-0.7462267086373902
1993,anomaly,P_spread_lat_transition,P_spread,-0.7029341078125557
1994,anomaly,P_spread_lat_transition,P_spread,-1.6184117092492496
1995,anomaly,P_spread_lat_transition,P_spread,0.21565817136720877
1996,anomaly,P_spread_lat_transition,P_spread,0.43926538434903595
1997,anomaly,P_spread_lat_transition,P_spread,-0.20518597275603678
1998,anomaly,P_spread_lat_transition,P_spread,1.964666612562728
1999,anomaly,P_spread_lat_transition,P_spread,0.21678498652684475
2000,anomaly,P_spread_lat_transition,P_spread,-0.16184520261932978
2001,anomaly,P_spread_lat_transition,P_spread,-0.15841093028524167
2002,anomaly,P_spread_lat_transition,P_spread,1.4451780271629984
2003,anomaly,P_spread_lat_transition,P_spread,0.39951861428107094
2004,anomaly,P_spread_lat_transition,P_spread,1.3148463746993082
2005,anomaly,P_spread_lat_transition,P_spread,2.1503448875326123
2006,anomaly,P_spread_lat_transition,P_spread,-0.5853978675211327
2007,anomaly,P_spread_lat_transition,P_spread,0.461766671720937
2008,anomaly,P_spread_lat_transition,P_spread,-0.20382381890209267
2009,anomaly,P_spread_lat_transition,P_spread,-1.9524955230478342
2010,anomaly,P_spread_lat_transition,P_spread,1.3832717228959965
2011,anomaly,P_spread_lat_transition,P_spread,-2.2453543858587937
2012,anomaly,P_spread_lat_transition,P_spread,0.21257426368297683
2013,anomaly,P_spread_lat_transition,P_spread,-0.9039043562137241
2014,anomaly,P_spread_lat_transition,P_spread,-0.34707065821620375
2015,anomaly,P_spread_lat_transition,P_spread,-1.5041650457983717
2016,anomaly,P_spread_lat_transition,P_spread,-0.6457536739001739
2017,anomaly,P_spread_lat_transition,P_spread,-0.9600614141444379
2018,anomaly,P_spread_lat_transition,P_spread,-3.0863099613379363
2019,anomaly,P_spread_lat_transition,P_spread,1.0971469795507218
2020,anomaly,P_spread_lat_transition,P_spread,-1.9550212405856264
2021,anomaly,P_spread_lat_transition,P_spread,0.5948448543954723
2022,anomaly,P_spread_lat_transition,P_spread,0.9319661982691292
2023,anomaly,P_spread_lat_transition,P_spread,0.0346242801358958
1979,anomaly,P_main_band_share_transition,P_rainband_component,-0.2777273366656058
1980,anomaly,P_main_band_share_transition,P_rainband_component,-0.09514450844264352
1981,anomaly,P_main_band_share_transition,P_rainband_component,-0.00528350051544774
1982,anomaly,P_main_band_share_transition,P_rainband_component,-0.2160600045049343
1983,anomaly,P_main_band_share_transition,P_rainband_component,-0.15124292969769754
1984,anomaly,P_main_band_share_transition,P_rainband_component,-0.19769984210484481
1985,anomaly,P_main_band_share_transition,P_rainband_component,-0.42584674939691763
1986,anomaly,P_main_band_share_transition,P_rainband_component,0.06605903104237729
1987,anomaly,P_main_band_share_transition,P_rainband_component,-0.1505006404884704
1988,anomaly,P_main_band_share_transition,P_rainband_component,0.34123437543315743
