mode,target_family,mean_primary_score,max_primary_score,n_support,mean_abs_spearman,n_rows
anomaly,P_NS_reorganization,1.8100184175299654,4.159287522033843,4,0.23412680986458545,9
anomaly,P_lat_profile_contrast,1.5455231164710521,3.718384349515426,3,0.22324807360299032,9
anomaly,P_position,1.9651087918460983,4.380243981973791,4,0.2679172021838734,9
anomaly,P_position_only,1.9104356975134256,4.139320469879159,4,0.2679172021838734,9
anomaly,P_rainband_component,1.5660316792604274,4.2283227394596175,9,0.2230120513024802,27
anomaly,P_rainband_only,1.5981512784485112,3.745929655788224,7,0.21255739184251765,18
anomaly,P_spread,0.19614279468431908,0.44294329899125207,0,0.07124273319586083,9
anomaly,P_strength,1.6683520824099034,3.2127638446735163,6,0.23934670219444154,18
local_background_removed,P_NS_reorganization,1.880931387590464,4.223694107511268,4,0.24622811904188413,9
local_background_removed,P_lat_profile_contrast,1.5368314881928857,3.7561729104048256,3,0.22324807360299032,9
local_background_removed,P_position,1.9606395870243343,4.205141256012392,4,0.2669057069439644,9
local_background_removed,P_position_only,1.947427876661971,4.159383765451717,4,0.2669057069439644,9
local_background_removed,P_rainband_component,1.724416509689928,4.137409431884157,11,0.22816039045152595,27
local_background_removed,P_rainband_only,1.783378524857975,4.195489822619503,8,0.22598198967468563,18
local_background_removed,P_spread,0.37144139914200286,0.6704607844115189,0,0.12333454227486446,9
local_background_removed,P_strength,0.271084704850722,0.5728955406681204,0,0.11151005894052421,18
raw,P_NS_reorganization,1.399176903124079,2.009977077559254,0,0.2176528769637349,9
raw,P_lat_profile_contrast,1.2548593071568925,3.182840216726667,1,0.18522758712428233,9
raw,P_position,1.791993748900756,3.676408244142851,1,0.26827790010565034,9
raw,P_position_only,1.7956765728901911,3.5473135477633937,1,0.26827790010565034,9
raw,P_rainband_component,1.2897811433694,3.1878977276416407,1,0.19697854479591329,27
raw,P_rainband_only,1.282963567713647,1.8746743995748094,0,0.20010151678822116,18
raw,P_spread,1.085662965022805,1.849287470444735,0,0.17515952527348524,9
raw,P_strength,0.8362689280275194,1.6299074373809253,0,0.19604940741554808,18
