year,mode,P_profile_30_32,P_profile_18_25,P_profile_contrast_30_32_minus_18_25
1979,anomaly,-3.16454889223448,4.597095916748745,-7.761644808983225
1980,anomaly,-1.0568124482331367,2.2556706545456775,-3.312483102778814
1981,anomaly,-1.3338010780774199,-1.7185126544423233,0.3847115763649034
1982,anomaly,-0.6448674303561289,1.4451279700687152,-2.089995400424844
1983,anomaly,-1.8724406826787903,1.4740207987990692,-3.3464614814778595
1984,anomaly,0.5475719679389717,3.067721163525147,-2.5201491955861752
1985,anomaly,-2.6791980638914765,-0.9559463463920599,-1.7232517174994166
1986,anomaly,1.9085847720713451,-1.7460146160097614,3.6545993880811065
1987,anomaly,0.5854174491241765,1.9751612771259464,-1.38974382800177
1988,anomaly,3.7963821671312297,-0.9708129032290254,4.7671950703602555
1989,anomaly,0.9019268076550837,1.807174665595066,-0.9052478579399823
1990,anomaly,0.7691559602882108,-2.6498646364770053,3.419020596765216
1991,anomaly,4.979607329938195,-2.3175152208428704,7.297122550781065
1992,anomaly,-1.2776879721727177,-0.6821721873396742,-0.5955157848330435
1993,anomaly,2.98505240511195,-1.7852594418034797,4.77031184691543
1994,anomaly,-1.7842899771869416,-1.3642190631941493,-0.4200709139927923
1995,anomaly,1.8050533404620184,-2.6610569585865242,4.466110299048543
1996,anomaly,-0.18829215903887006,0.8621320865604623,-1.0504242455993322
1997,anomaly,-3.1883229666795545,0.7271271879932059,-3.9154501546727603
1998,anomaly,-2.4388734907229774,3.5899194234820766,-6.028792914205054
1999,anomaly,3.3142165839545723,-3.1078056888456773,6.42202227280025
2000,anomaly,-0.014549259595158688,0.33102481640414166,-0.34557407599930035
2001,anomaly,3.2761232225656185,-1.6034615565096393,4.879584779075258
2002,anomaly,-0.90486779823641,1.5505066353211896,-2.4553744335575995
2003,anomaly,-2.498283356884731,-0.7121860555936133,-1.7860973012911177
2004,anomaly,-0.009086536532711804,3.5876961539629297,-3.5967826904956417
2005,anomaly,1.0926432689433694,-4.292542286410473,5.385185555353843
2006,anomaly,-1.5269509472452523,0.6357449397903404,-2.162695887035593
2007,anomaly,0.2145692679740122,2.1913277315487556,-1.9767584635747433
2008,anomaly,-1.2384272560112535,-2.2114861167155944,0.9730588607043409
2009,anomaly,2.2087809346560605,-1.4224452272938874,3.631226161949948
2010,anomaly,2.892375530615096,-1.2103057610411883,4.102681291656284
2011,anomaly,-0.33007487869409724,0.07546935966157815,-0.4055442383556754
2012,anomaly,0.401876383037827,1.8612362715358883,-1.4593598884980614
2013,anomaly,-2.0208488767759456,0.4942133189632582,-2.515062195739204
2014,anomaly,-2.149136950432931,-2.4056437811979956,0.25650683076506464
2015,anomaly,-2.946650733575189,1.3913089765517819,-4.337959710126971
2016,anomaly,-1.4462008425572868,0.5746575334455131,-2.0208583760028
2017,anomaly,-2.9541653600531728,5.854062773883423,-8.808228133936595
2018,anomaly,2.3889446651252157,-2.817228819862262,5.2061734849874775
2019,anomaly,1.8472139153587948,-2.73687790807248,4.584091823431275
2020,anomaly,0.38979422488696563,3.4522031749303386,-3.062408950043373
2021,anomaly,-1.943704788170946,-1.3857826537390452,-0.5579221344319008
2022,anomaly,-0.10932654412140957,-0.9871828143390435,0.877856270217634
2023,anomaly,3.4161190933202716,-2.0562801325054743,5.472399225825746
1979,local_background_removed,-4.114938264404492,3.6467065445787332,-7.761644808983225
1980,local_background_removed,-1.6433584886387607,1.669124614140053,-3.3124831027788137
1981,local_background_removed,-0.4352546090767444,-0.8199661854416481,0.3847115763649037
1982,local_background_removed,-0.8356985022887699,1.254296898136074,-2.089995400424844
1983,local_background_removed,-1.1978809749531498,2.1485805065247097,-3.3464614814778595
1984,local_background_removed,-1.0614178766365259,1.4587313189496496,-2.5201491955861757
1985,local_background_removed,-2.236488279008995,-0.5132365615095792,-1.7232517174994157
1986,local_background_removed,1.7022013280290649,-1.9523980600520419,3.654599388081107
1987,local_background_removed,-0.6157633641374567,0.773980463864313,-1.3897438280017695
1988,local_background_removed,2.7177175199943027,-2.049477550365952,4.767195070360255
1989,local_background_removed,0.0026274071672906705,0.9078752651072723,-0.9052478579399816
1990,local_background_removed,1.4933510633974114,-1.9256695333678056,3.419020596765217
1991,local_background_removed,5.013876850964625,-2.2832456998164425,7.297122550781067
1992,local_background_removed,-0.5526661525310149,0.042849632302028595,-0.5955157848330435
1993,local_background_removed,3.33648659376609,-1.4338252531493394,4.77031184691543
1994,local_background_removed,-0.48720713152095513,-0.06713621752816246,-0.42007091399279267
1995,local_background_removed,2.558236555037535,-1.9078737440110083,4.466110299048543
1996,local_background_removed,-0.9499937957062659,0.10043044989306606,-1.050424245599332
1997,local_background_removed,-2.780723155023573,1.1347269996491864,-3.91545015467276
1998,local_background_removed,-3.2821473646190817,2.746645549585972,-6.028792914205054
1999,local_background_removed,3.9616951610816975,-2.460327111718552,6.42202227280025
2000,local_background_removed,-0.44384841593132723,-0.09827433993202675,-0.34557407599930046
2001,local_background_removed,3.4983891110778345,-1.3811956679974229,4.879584779075257
