scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,n_candidates_compared,n_bootstrap_rows_with_run,n_support_class_changed,mean_match_fraction_delta,median_abs_match_fraction_delta,max_abs_match_fraction_delta,bootstrap_audit_status
H_only,H,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,8,8,5,0.05187499999999996,0.04949999999999993,0.125,BOOTSTRAP_AVAILABLE
H_only,H,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,8,8,4,-0.042875000000000024,0.08800000000000002,0.23399999999999999,BOOTSTRAP_AVAILABLE
H_only,H,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,10,10,5,0.07710000000000002,0.033999999999999975,0.29600000000000004,BOOTSTRAP_AVAILABLE
H_only,H,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,10,10,6,-0.056100000000000004,0.0615,0.274,BOOTSTRAP_AVAILABLE
Je_only,Je,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,8,8,2,0.046875,0.02150000000000002,0.15000000000000002,BOOTSTRAP_AVAILABLE
Je_only,Je,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,8,8,4,0.08800000000000001,0.05399999999999999,0.369,BOOTSTRAP_AVAILABLE
Je_only,Je,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,11,11,3,0.08672727272727275,0.08100000000000007,0.243,BOOTSTRAP_AVAILABLE
Je_only,Je,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,11,11,4,0.023363636363636364,0.038000000000000034,0.353,BOOTSTRAP_AVAILABLE
Jw_only,Jw,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,5,5,0,0.012999999999999989,0.031000000000000028,0.04899999999999993,BOOTSTRAP_AVAILABLE
Jw_only,Jw,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,5,5,1,-0.004799999999999982,0.016000000000000014,0.05599999999999994,BOOTSTRAP_AVAILABLE
Jw_only,Jw,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,9,9,3,0.08988888888888891,0.038000000000000034,0.30299999999999994,BOOTSTRAP_AVAILABLE
Jw_only,Jw,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,9,9,4,0.07622222222222223,0.039000000000000035,0.29600000000000004,BOOTSTRAP_AVAILABLE
P_only,P,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,10,10,4,0.06739999999999999,0.050000000000000044,0.18999999999999995,BOOTSTRAP_AVAILABLE
P_only,P,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,10,10,6,-0.004499999999999993,0.10999999999999999,0.373,BOOTSTRAP_AVAILABLE
P_only,P,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,12,12,4,0.10474999999999997,0.033999999999999975,0.6339999999999999,BOOTSTRAP_AVAILABLE
P_only,P,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,12,12,7,0.06866666666666665,0.06850000000000006,0.609,BOOTSTRAP_AVAILABLE
V_only,V,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,9,9,5,0.08222222222222222,0.07300000000000006,0.33100000000000007,BOOTSTRAP_AVAILABLE
V_only,V,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,9,9,4,-0.06988888888888888,0.10199999999999998,0.25099999999999995,BOOTSTRAP_AVAILABLE
V_only,V,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,9,9,3,0.053666666666666654,0.04599999999999993,0.123,BOOTSTRAP_AVAILABLE
V_only,V,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,9,9,6,-0.050555555555555576,0.11199999999999999,0.14300000000000002,BOOTSTRAP_AVAILABLE
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,8,8,2,0.035375000000000004,0.010000000000000009,0.18200000000000005,BOOTSTRAP_AVAILABLE
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,8,8,2,-0.040124999999999994,0.030999999999999972,0.18000000000000005,BOOTSTRAP_AVAILABLE
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,9,9,3,0.041666666666666664,0.03300000000000003,0.125,BOOTSTRAP_AVAILABLE
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,9,9,3,0.001888888888888866,0.03600000000000003,0.20399999999999996,BOOTSTRAP_AVAILABLE
