scope,object,config_id,sensitivity_group,changed_factor,changed_value,n_candidates,candidate_days,n_derived_windows,derived_window_main_peak_days,bootstrap_status,n_candidate_same_day,n_candidate_shift_or_missing,n_support_class_changed,n_windows_changed
joint_all,joint_all,BASELINE,baseline,none,baseline,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;132;160,run,8,0,0,0
joint_all,joint_all,DET_WIDTH_16,detector_width,detector_width,16,10,16;45;57;67;80;96;113;130;135;160,9,16;45;57;67;80;96;113;130;160,run,5,5,2,5
joint_all,joint_all,DET_WIDTH_24,detector_width,detector_width,24,7,19;44;81;96;113;134;159,7,19;44;81;96;113;134;159,run,3,5,2,7
joint_all,joint_all,DET_PEN_3,detector_penalty,detector_penalty,3.0,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,DET_PEN_5,detector_penalty,detector_penalty,5.0,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,7,18;45;81;96;113;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,7,1,0,1
joint_all,joint_all,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,7,18;45;81;96;113;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,7,1,0,1
joint_all,joint_all,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;132;160,run,8,0,5,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;132;160,run,8,0,1,0
joint_all,joint_all,BAND_Q30,candidate_band,band_floor_quantile,0.30,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,BAND_Q40,candidate_band,band_floor_quantile,0.40,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,BAND_PROM_045,candidate_band,band_prominence_ratio,0.45,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,3
joint_all,joint_all,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,3
joint_all,joint_all,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,BAND_MAX_HW_12,candidate_band,band_max_half_width,12,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,MERGE_GAP_0,window_merge,merge_gap_days,0,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,MERGE_GAP_2,window_merge,merge_gap_days,2,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,CLOSE_NEIGHBOR_3,window_merge,close_neighbor_exemption_days,3,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,CLOSE_NEIGHBOR_5,window_merge,close_neighbor_exemption_days,5,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,PROTECT_THR_090,window_merge,significant_peak_threshold,0.90,8,18;45;81;96;113;132;135;160,7,18;45;81;96;113;135;160,not_run_by_mode,8,0,0,1
joint_all,joint_all,SMOOTH_INPUT_5D,smooth_input,smoothed_fields_input,smooth5,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;129;159,run,1,8,2,7
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,smooth5_detector_width,detector_width,16,12,16;29;36;44;66;78;83;97;113;128;134;159,10,16;29;36;44;66;83;97;113;128;159,run,5,5,3,7
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,smooth5_detector_width,detector_width,24,8,17;24;44;81;97;113;135;160,8,17;24;44;81;97;113;135;160,run,4,5,3,6
joint_all,joint_all,SMOOTH5_DET_PEN_3,smooth5_detector_penalty,detector_penalty,3.0,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_DET_PEN_5,smooth5_detector_penalty,detector_penalty,5.0,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_PEAK_DISTANCE_5,smooth5_local_peak_distance,local_peak_min_distance_days,5,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_PEAK_DISTANCE_7,smooth5_local_peak_distance,local_peak_min_distance_days,7,8,17;44;67;79;97;113;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,8,1,0,1
