scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_window_id,baseline_main_peak_day,perturbed_window_id,perturbed_main_peak_day,main_peak_delta,baseline_window_start,baseline_window_end,perturbed_window_start,perturbed_window_end,member_candidate_change,merge_split_status,window_start_delta,window_end_delta
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W006,132,W006,132,0,128,138,128,138,False,UNCHANGED,0,0
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W001,18,W001,16,-2,16,20,14,18,False,MAIN_PEAK_CHANGED,-2,-2
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W003,81,W005,80,-1,75,86,75,86,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W004,96,W006,96,0,94,99,94,99,True,UNCHANGED,0,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W005,113,W007,113,0,107,117,108,117,True,BOUNDARY_SHIFT_ONLY,1,0
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W006,132,W008,130,-2,128,138,128,137,True,MAIN_PEAK_CHANGED,0,-1
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,W007,160,W009,160,0,155,164,154,164,True,BOUNDARY_SHIFT_ONLY,-1,0
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W001,18,W001,19,1,16,20,17,21,False,MAIN_PEAK_CHANGED,1,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W002,45,W002,44,-1,40,48,39,48,False,MAIN_PEAK_CHANGED,-1,0
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W003,81,W003,81,0,75,86,73,91,False,BOUNDARY_SHIFT_ONLY,-2,5
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W004,96,W004,96,0,94,99,94,100,False,BOUNDARY_SHIFT_ONLY,0,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W005,113,W005,113,0,107,117,108,116,False,BOUNDARY_SHIFT_ONLY,1,-1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W006,132,W006,134,2,128,138,130,139,True,MAIN_PEAK_CHANGED,2,1
joint_all,joint_all,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,W007,160,W007,159,-1,155,164,156,163,True,MAIN_PEAK_CHANGED,1,-1
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
