scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_strict_fraction,perturbed_strict_fraction,baseline_match_fraction,perturbed_match_fraction,match_fraction_delta,baseline_near_fraction,perturbed_near_fraction,baseline_support_class,perturbed_support_class,support_class_changed,bootstrap_status
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,18,18.0,SAME_DAY,0.582,0.393,0.745,0.726,-0.019000000000000017,0.025,0.031,joint_weak_candidate,joint_weak_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,45,45.0,SAME_DAY,0.901,0.826,0.993,0.98,-0.013000000000000012,0.006,0.018,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,81,81.0,SAME_DAY,0.574,0.34,0.951,0.88,-0.07099999999999995,0.043,0.111,joint_strong_candidate,joint_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,96,96.0,SAME_DAY,0.551,0.39,0.807,0.745,-0.062000000000000055,0.041,0.099,joint_candidate,joint_weak_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,113,113.0,SAME_DAY,0.814,0.59,0.987,0.975,-0.01200000000000001,0.005,0.017,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,132,132.0,SAME_DAY,0.467,0.291,0.899,0.788,-0.11099999999999999,0.082,0.181,joint_candidate,joint_weak_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,135,135.0,SAME_DAY,0.485,0.307,0.854,0.751,-0.10299999999999998,0.133,0.215,joint_candidate,joint_weak_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,160,160.0,SAME_DAY,0.7,0.452,0.962,0.909,-0.052999999999999936,0.029,0.081,joint_strong_candidate,joint_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,18,18.0,SAME_DAY,0.582,0.693,0.745,0.753,0.008000000000000007,0.025,0.027,joint_weak_candidate,joint_weak_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,45,45.0,SAME_DAY,0.901,0.947,0.993,0.997,0.0040000000000000036,0.006,0.003,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,81,81.0,SAME_DAY,0.574,0.752,0.951,0.983,0.03200000000000003,0.043,0.013,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,96,96.0,SAME_DAY,0.551,0.666,0.807,0.83,0.02299999999999991,0.041,0.029,joint_candidate,joint_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,113,113.0,SAME_DAY,0.814,0.924,0.987,0.991,0.0040000000000000036,0.005,0.001,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,132,132.0,SAME_DAY,0.467,0.649,0.899,0.954,0.05499999999999994,0.082,0.038,joint_candidate,joint_strong_candidate,1.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,135,135.0,SAME_DAY,0.485,0.636,0.854,0.932,0.07800000000000007,0.133,0.062,joint_candidate,joint_candidate,0.0,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,160,160.0,SAME_DAY,0.7,0.84,0.962,0.985,0.02300000000000002,0.029,0.006,joint_strong_candidate,joint_strong_candidate,0.0,run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
