scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,n_baseline_candidates_compared,n_same_day,n_strict_shift_le_2d,n_match_shift_le_5d,n_near_shift_le_8d,n_shift_gt_8d_or_missing,n_missing_baseline_candidate,n_new_perturbed_candidate,median_abs_day_delta,max_abs_day_delta
H_only,H,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,BASELINE,BASELINE,baseline,none,baseline,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,8,6,2,0,0,0,0,0,0.0,2.0
H_only,H,DET_WIDTH_16,,detector_width,detector_width,16,0,0,0,0,0,0,0,1,,
H_only,H,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,8,4,3,0,0,1,0,0,0.5,20.0
H_only,H,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,8,8,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,10,4,4,1,1,0,0,0,1.0,6.0
H_only,H,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,0,0,0,0,0,0,0,2,,
H_only,H,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,10,2,5,2,1,0,0,0,1.0,7.0
