config_id,sensitivity_group,changed_factor,changed_value,input_source,detector_width,detector_pen,local_peak_min_distance_days,strict_match_days,match_days,near_days,band_floor_quantile,band_prominence_ratio,band_max_half_width,merge_gap_days,close_neighbor_exemption_days,significant_peak_threshold,bootstrap_required,bootstrap_planned
BASELINE,baseline,none,baseline,baseline_smooth9,,,,,,,,,,,,,True,True
DET_WIDTH_16,detector_width,detector_width,16,baseline_smooth9,16.0,,,,,,,,,,,,True,True
DET_WIDTH_24,detector_width,detector_width,24,baseline_smooth9,24.0,,,,,,,,,,,,True,True
DET_PEN_3,detector_penalty,detector_penalty,3.0,baseline_smooth9,,3.0,,,,,,,,,,,True,False
DET_PEN_5,detector_penalty,detector_penalty,5.0,baseline_smooth9,,5.0,,,,,,,,,,,True,False
PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,baseline_smooth9,,,5.0,,,,,,,,,,True,False
PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,baseline_smooth9,,,7.0,,,,,,,,,,True,False
MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,,,,1.0,4.0,7.0,,,,,,,True,True
MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,baseline_smooth9,,,,3.0,6.0,9.0,,,,,,,True,True
BAND_Q30,candidate_band,band_floor_quantile,0.30,baseline_smooth9,,,,,,,0.3,,,,,,True,False
BAND_Q40,candidate_band,band_floor_quantile,0.40,baseline_smooth9,,,,,,,0.4,,,,,,True,False
BAND_PROM_045,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,,,,,,,,0.45,,,,,True,False
BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,baseline_smooth9,,,,,,,,0.55,,,,,True,False
BAND_MAX_HW_8,candidate_band,band_max_half_width,8,baseline_smooth9,,,,,,,,,8.0,,,,True,False
BAND_MAX_HW_12,candidate_band,band_max_half_width,12,baseline_smooth9,,,,,,,,,12.0,,,,True,False
MERGE_GAP_0,window_merge,merge_gap_days,0,baseline_smooth9,,,,,,,,,,0.0,,,True,False
MERGE_GAP_2,window_merge,merge_gap_days,2,baseline_smooth9,,,,,,,,,,2.0,,,True,False
CLOSE_NEIGHBOR_3,window_merge,close_neighbor_exemption_days,3,baseline_smooth9,,,,,,,,,,,3.0,,True,False
CLOSE_NEIGHBOR_5,window_merge,close_neighbor_exemption_days,5,baseline_smooth9,,,,,,,,,,,5.0,,True,False
PROTECT_THR_090,window_merge,significant_peak_threshold,0.90,baseline_smooth9,,,,,,,,,,,,0.9,True,False
SMOOTH_INPUT_5D,smooth_input,smoothed_fields_input,smooth5,smooth5,,,,,,,,,,,,,True,True
SMOOTH5_DET_WIDTH_16,smooth5_detector_width,detector_width,16,smooth5,16.0,,,,,,,,,,,,True,True
SMOOTH5_DET_WIDTH_24,smooth5_detector_width,detector_width,24,smooth5,24.0,,,,,,,,,,,,True,True
SMOOTH5_DET_PEN_3,smooth5_detector_penalty,detector_penalty,3.0,smooth5,,3.0,,,,,,,,,,,True,False
SMOOTH5_DET_PEN_5,smooth5_detector_penalty,detector_penalty,5.0,smooth5,,5.0,,,,,,,,,,,True,False
SMOOTH5_PEAK_DISTANCE_5,smooth5_local_peak_distance,local_peak_min_distance_days,5,smooth5,,,5.0,,,,,,,,,,True,False
SMOOTH5_PEAK_DISTANCE_7,smooth5_local_peak_distance,local_peak_min_distance_days,7,smooth5,,,7.0,,,,,,,,,,True,False
SMOOTH5_MATCH_RADIUS_1_4_7,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,smooth5,,,,1.0,4.0,7.0,,,,,,,True,True
SMOOTH5_MATCH_RADIUS_3_6_9,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,,,,3.0,6.0,9.0,,,,,,,True,True
SMOOTH5_BAND_Q30,smooth5_candidate_band,band_floor_quantile,0.30,smooth5,,,,,,,0.3,,,,,,True,False
SMOOTH5_BAND_Q40,smooth5_candidate_band,band_floor_quantile,0.40,smooth5,,,,,,,0.4,,,,,,True,False
SMOOTH5_BAND_PROM_045,smooth5_candidate_band,band_prominence_ratio,0.45,smooth5,,,,,,,,0.45,,,,,True,False
SMOOTH5_BAND_PROM_055,smooth5_candidate_band,band_prominence_ratio,0.55,smooth5,,,,,,,,0.55,,,,,True,False
SMOOTH5_BAND_MAX_HW_8,smooth5_candidate_band,band_max_half_width,8,smooth5,,,,,,,,,8.0,,,,True,False
SMOOTH5_BAND_MAX_HW_12,smooth5_candidate_band,band_max_half_width,12,smooth5,,,,,,,,,12.0,,,,True,False
SMOOTH5_MERGE_GAP_0,smooth5_window_merge,merge_gap_days,0,smooth5,,,,,,,,,,0.0,,,True,False
SMOOTH5_MERGE_GAP_2,smooth5_window_merge,merge_gap_days,2,smooth5,,,,,,,,,,2.0,,,True,False
SMOOTH5_CLOSE_NEIGHBOR_3,smooth5_window_merge,close_neighbor_exemption_days,3,smooth5,,,,,,,,,,,3.0,,True,False
SMOOTH5_CLOSE_NEIGHBOR_5,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,,,,,,,,,,,5.0,,True,False
SMOOTH5_PROTECT_THR_090,smooth5_window_merge,significant_peak_threshold,0.90,smooth5,,,,,,,,,,,,0.9,True,False
