scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_id,baseline_candidate_day,baseline_candidate_date,perturbed_candidate_id,perturbed_candidate_day,perturbed_candidate_date,day_delta,candidate_match_class,same_as_baseline_day,baseline_score,perturbed_score,score_delta,candidate_status_change
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP001,18.0,04-19,CP001,18,04-19,0.0,SAME_DAY,True,3.021425291663116,3.021425291663116,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP002,45.0,05-16,CP002,45,05-16,0.0,SAME_DAY,True,5.878578493131532,5.878578493131532,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP003,81.0,06-21,CP003,81,06-21,0.0,SAME_DAY,True,9.238311473412097,9.238311473412097,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP004,96.0,07-06,CP004,96,07-06,0.0,SAME_DAY,True,6.44414632933013,6.44414632933013,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP005,113.0,07-23,CP005,113,07-23,0.0,SAME_DAY,True,9.678099825113602,9.678099825113602,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP006,132.0,08-11,CP006,132,08-11,0.0,SAME_DAY,True,3.7541518352022365,3.7541518352022365,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP007,135.0,08-14,CP007,135,08-14,0.0,SAME_DAY,True,3.7666081070788318,3.7666081070788318,0.0,matched_to_perturbed
joint_all,joint_all,BASELINE,BASELINE,baseline,none,baseline,CP008,160.0,09-08,CP008,160,09-08,0.0,SAME_DAY,True,7.120567750300529,7.120567750300529,0.0,matched_to_perturbed
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,CP001,18.0,04-19,CP001,16,04-17,-2.0,STRICT_SHIFT_LE_2D,False,3.021425291663116,1.8893871513437321,-1.132038140319384,matched_to_perturbed
joint_all,joint_all,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,CP002,45.0,05-16,CP002,45,05-16,0.0,SAME_DAY,True,5.878578493131532,3.711217956015139,-2.167360537116393,matched_to_perturbed
