scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_band_start,baseline_band_end,perturbed_band_start,perturbed_band_end,band_start_delta,band_end_delta,baseline_band_width,perturbed_band_width,band_width_delta
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,132,135,MATCH_SHIFT_LE_5D,130,134,128,138,-2,4,5,11,6
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,132,135,MATCH_SHIFT_LE_5D,130,134,128,138,-2,4,5,11,6
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
