window,source,target,D_pos_neg,D_pos_0,D_pos_neg_bootstrap_mean,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0_bootstrap_mean,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,LOO_direction_retained_fraction,LOO_flip_years
T3_expand23,V_strength,P_main_band_share,0.08715682260443966,0.04596686286981547,0.045932828790724814,-0.08905891797931192,0.14908880106460598,-0.12073506783585924,0.16716571935328017,0.768,0.051646221840390485,-0.0029904197085618275,0.12356159819092496,-0.010753642966762572,0.14119514504417963,0.929,1.0,0
T3_expand23,V_strength,P_south_band_share_18_24,0.1711639414413046,0.23210395680767104,0.15824255554076708,0.012996461395521285,0.28414122162564365,-0.015784866575399126,0.3077545008332398,0.965,0.20969534570745124,0.10778524415949926,0.3072574032007953,0.0884490448114226,0.3249258857439376,0.998,1.0,0
T3_expand23,V_strength,P_main_minus_south,0.13372064333201736,0.12917798348192538,0.10771894896859066,-0.04302672759880761,0.22583078675371537,-0.07196687597263782,0.24534927265502235,0.885,0.1301012670680189,0.05358896396204206,0.20425562698376654,0.04235563141637055,0.22696769344927908,0.995,1.0,0
T3_expand23,V_strength,P_spread_lat,0.1538735224033992,0.23508639693008232,0.14228844294659843,0.02364037322886247,0.2501145199313826,0.007240493149044326,0.26902006212074064,0.981,0.2096892906701391,0.10300841978423791,0.3115348856134768,0.08717005651341082,0.3344975176732955,0.998,1.0,0
T3_expand23,V_strength,P_north_band_share_35_45,0.17685905359188686,0.16988360562128718,0.15457324658944532,0.023834427555646732,0.2591462293950297,-0.007644507328487358,0.27400941841874005,0.971,0.17103262012168413,0.07606075599462078,0.2640067851156627,0.062461663635460254,0.2825636630085472,0.999,1.0,0
T3_expand23,V_strength,P_north_minus_main_35_45,0.055546573709473496,0.05195055290992581,0.00990620926595976,-0.10272622203450651,0.12659701759558675,-0.12316816488594448,0.1494055270434393,0.536,0.04145055762286131,-0.03760987733223752,0.1528293960044372,-0.045004762116160384,0.17417322388162845,0.699,1.0,0
T3_expand23,V_strength,P_total_centroid_lat_10_50,0.21548074190591282,0.17663084398824713,0.18981536365781643,0.032535788820267496,0.3139419600238117,-0.006016398271245829,0.32673612794057977,0.973,0.18075490189843946,0.10930476720752218,0.2563352698185843,0.09685985792116734,0.26899408860605306,1.0,1.0,0
T3_expand23,V_strength,P_main_28_35_mean,0.059647530534601645,-0.0003040272150957313,0.0601299163384483,-0.002186606552606926,0.12881584618371714,-0.014002239146705012,0.14591082765321736,0.944,0.0023774836543290776,-0.02997974607720684,0.04117978913852409,-0.03454281069689282,0.053743821022224,0.511,1.0,0
T3_expand23,V_strength,P_south_10_25_mean,0.14576892037576877,0.2020179265096144,0.136468833531748,-0.013743041467883804,0.2702516336495864,-0.03781920757211047,0.2846461454971521,0.931,0.2088145594266833,0.12174599060834504,0.2983582247534914,0.10680891261492602,0.3179029310420546,1.0,1.0,0
T3_expand23,V_strength,P_scs_10_20_mean,0.10322497959005228,0.14556177004312443,0.08843167880998168,-0.0567842681945122,0.20888283972657418,-0.08703624580112714,0.22540178588297866,0.835,0.15074506883694422,0.07370766143529185,0.2395029090797142,0.058516006120688704,0.25849731696871375,1.0,1.0,0
T3_expand23,V_strength,P_highlat_40_60_mean,0.040449336138054265,0.0033863421416329142,0.04371819591831905,-0.013129973922839159,0.11302989975546548,-0.0229215350004395,0.12976947604937825,0.894,0.009655085545782413,-0.02288793009626234,0.06186886609043698,-0.02865626592714635,0.08188313207386316,0.575,1.0,0
T3_expand23,V_strength,P_highlat_35_60_mean,0.03360343596008153,-0.007358140444627681,0.03549578439975968,-0.017706354578611312,0.099250024904258,-0.030240506481616265,0.11334002023765573,0.858,-0.005360514403715794,-0.033753778818480934,0.0326229770237155,-0.0388985222366118,0.044077534697739125,0.307,1.0,0
T3_expand23,V_strength,P_highlat_minus_main,0.035879333734880406,-0.005980168188041396,0.028292407454375435,-0.041570884704965776,0.10033252506536552,-0.05678763352696998,0.11564695501571624,0.755,0.0030133492368255048,-0.03404944878095541,0.05638918437059758,-0.03871391591016506,0.07266489273769099,0.471,1.0,0
T3_expand23,V_strength,P_south_minus_main,0.2045175715535522,0.11689435948321159,0.16379913532201804,0.03612953341388098,0.2671903876274156,0.007165952831438488,0.2844717235617598,0.978,0.12399332276316735,0.056052503865968765,0.20164438677624963,0.04636836717960047,0.2123626603732533,1.0,1.0,0
T3_expand23,V_strength,P_south_plus_highlat_minus_main,0.16232602999077686,0.11743675395046829,0.1328213839831216,-0.005711326496764299,0.24720646174552613,-0.03934847869014984,0.2702303232503549,0.941,0.12330781122039919,0.05301710150480934,0.20314883522358032,0.03901279287230353,0.21735690181770034,1.0,1.0,0
T3_expand23,V_pos_centroid_lat,P_main_band_share,-0.009750505051249303,0.06928325490675702,-0.005217356150367265,-0.1244118820126743,0.12839462614358296,-0.14027954081157795,0.15381349875559946,0.461,0.07026317849832711,-0.05182328201629269,0.18351449315572607,-0.06183150055285198,0.19786888504985634,0.794,0.17777777777777778,37
T3_expand23,V_pos_centroid_lat,P_south_band_share_18_24,0.044521592455700754,-0.011993095311867569,0.042818346062394985,-0.0023874336824363626,0.08769531658278606,-0.010198489947993689,0.09572677285126305,0.943,-0.013163820078201358,-0.036517827693322145,0.011043078813856348,-0.03975477969778113,0.014713346920668651,0.197,1.0,0
T3_expand23,V_pos_centroid_lat,P_main_minus_south,-0.04477329983105388,-0.048010866545923375,-0.041615528352169855,-0.08163619845583359,-0.0007655385087408895,-0.08989360080389786,0.014810731313189916,0.043,-0.043576063187723904,-0.06731645219189225,-0.011869927082549159,-0.0705194803021176,0.020811809650274155,0.037,0.0,45
T3_expand23,V_pos_centroid_lat,P_spread_lat,0.09208182313067242,0.0011163705945656521,0.091979039238163,0.047504654847320124,0.13663995616567234,0.03745229924193448,0.14373768526828037,1.0,0.0007192556608112306,-0.023721171646638596,0.025181048059596305,-0.02689729797051981,0.028814472004175622,0.518,1.0,0
T3_expand23,V_pos_centroid_lat,P_north_band_share_35_45,-0.019900315677098518,-0.04997312387541361,-0.020859645549184458,-0.051465875897340835,0.009863017479495953,-0.05880133662612603,0.01474978680988517,0.142,-0.05070232290833889,-0.06945599865051456,-0.031188042014962516,-0.07343143484785583,-0.02760652558325381,0.0,0.0,45
T3_expand23,V_pos_centroid_lat,P_north_minus_main_35_45,0.0841767308351965,0.022195860480076768,0.08825651224451514,0.039738958973167815,0.14903022913514363,0.03383842410370322,0.16225951535463773,0.998,0.029348890580872904,-0.0034721861671753785,0.08145172735837153,-0.006801473847890113,0.09731451101776058,0.912,1.0,0
T3_expand23,V_pos_centroid_lat,P_total_centroid_lat_10_50,-0.09505420505072879,-0.07757606754554486,-0.09793727405057319,-0.14811277848875803,-0.05699339139247156,-0.15939379487757968,-0.04553547946873093,0.0,-0.07767692551605072,-0.10031892698429234,-0.05532179533897724,-0.10470788900281672,-0.05048482285910373,0.001,0.0,45
