label,baseline_config,plot_type,quantity,file_name,source_object_csv
W045,C0_full_stage,state_curves,S_dist,W045__H_Jw_state_curves__C0_full_stage__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C0_full_stage,delta_curve,S_dist,W045__H_minus_Jw_delta__C0_full_stage__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C0_full_stage,state_curves,S_pattern,W045__H_Jw_state_curves__C0_full_stage__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C0_full_stage,delta_curve,S_pattern,W045__H_minus_Jw_delta__C0_full_stage__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C1_buffered_stage,state_curves,S_dist,W045__H_Jw_state_curves__C1_buffered_stage__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C1_buffered_stage,delta_curve,S_dist,W045__H_minus_Jw_delta__C1_buffered_stage__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C1_buffered_stage,state_curves,S_pattern,W045__H_Jw_state_curves__C1_buffered_stage__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C1_buffered_stage,delta_curve,S_pattern,W045__H_minus_Jw_delta__C1_buffered_stage__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C2_immediate_pre,state_curves,S_dist,W045__H_Jw_state_curves__C2_immediate_pre__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C2_immediate_pre,delta_curve,S_dist,W045__H_minus_Jw_delta__C2_immediate_pre__S_dist.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C2_immediate_pre,state_curves,S_pattern,W045__H_Jw_state_curves__C2_immediate_pre__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
W045,C2_immediate_pre,delta_curve,S_pattern,W045__H_minus_Jw_delta__C2_immediate_pre__S_pattern.png,D:\easm_project01\stage_partition\V8\outputs\state_relation_v8_a\per_window\W045\object_state_curves_W045.csv
