window_id,object,observed_peak_day,bootstrap_peak_median,bootstrap_peak_q025,bootstrap_peak_q975,abs_error_median,abs_error_q75,abs_error_q90,abs_error_q975,support_class,included_in_tau_estimation
W045,P,45.0,45.0,40.0,47.0,1.0,2.0,4.0,6.0,accepted_window,True
W045,V,45.0,45.0,41.0,50.0,1.0,2.0,3.0,5.0,accepted_window,True
W045,H,35.0,36.0,31.0,55.0,2.0,11.0,15.0,20.0,candidate_window,True
W045,Je,46.0,46.0,43.0,51.0,1.0,2.0,3.0,6.0,accepted_window,True
W045,Jw,41.0,42.0,38.0,50.0,2.0,5.0,7.0,9.0,candidate_window,True
W081,P,82.0,82.0,75.975,87.0,2.0,4.0,5.0,7.0,candidate_window,True
W081,V,80.0,80.0,70.0,86.0,2.0,4.0,5.0,10.0,candidate_window,True
W081,H,77.0,77.0,70.0,83.0,1.0,3.0,5.0,8.0,candidate_window,True
W081,Je,81.0,81.0,70.0,88.0,3.0,6.0,7.0,11.0,weak_window,True
W081,Jw,83.0,82.0,73.0,88.0,2.0,5.0,7.0,10.0,candidate_window,True
W113,P,113.0,113.0,103.0,119.0,2.0,3.0,5.0,11.0,candidate_window,True
W113,V,114.0,114.0,109.0,122.0,1.0,3.0,5.0,8.0,candidate_window,True
W113,H,115.0,115.0,110.0,117.0,1.0,2.0,3.0,5.0,accepted_window,True
W113,Je,111.0,111.0,106.0,115.0,2.0,3.0,4.0,5.0,accepted_window,True
W113,Jw,104.0,108.0,101.0,114.0,4.0,6.0,7.0,10.0,candidate_window,True
W160,P,158.0,158.0,153.0,165.0,1.0,3.0,5.0,7.0,accepted_window,True
W160,V,161.0,161.0,148.0,166.0,1.0,3.0,6.0,13.0,candidate_window,True
W160,H,155.0,155.0,148.0,165.0,1.0,5.0,9.0,10.0,candidate_window,True
W160,Je,162.0,162.0,157.0,166.0,1.0,2.0,3.0,5.0,accepted_window,True
W160,Jw,152.0,155.0,142.0,167.0,4.0,10.0,13.0,15.0,weak_window,True
