table,status,n_v10_rows,n_v9_rows,n_key_mismatch_rows,n_value_differences,columns_with_differences,v9_file,audit_detail_file,audit_boundary,reference_source
main_window_selection,pass,20,20,0,0,{},D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\cross_window\main_window_selection_all_windows.csv,,read-only CSV comparison; no V9 interface called,cross_window_reference
object_profile_window_registry,pass,40,40,0,0,{},D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\cross_window\object_profile_window_registry_all_windows.csv,,read-only CSV comparison; no V9 interface called,cross_window_reference
raw_profile_detector_scores,pass,1250,1250,0,0,{},D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\per_window\W045\raw_profile_detector_scores_W045.csv;D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\per_window\W081\raw_profile_detector_scores_W081.csv;D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\per_window\W113\raw_profile_detector_scores_W113.csv;D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\per_window\W160\raw_profile_detector_scores_W160.csv,,read-only CSV comparison; no V9 interface called,per_window_reference_with_inferred_window_id
bootstrap_selected_peak_days,pass,20000,20000,0,0,{},D:\easm_project01\stage_partition\V9\outputs\peak_all_windows_v9_a\cross_window\bootstrap_selected_peak_days_all_windows.csv,,read-only CSV comparison; no V9 interface called,cross_window_reference
