window_id,anchor_day,system_window_start,system_window_end,bootstrap_support,accepted_status,source_file,detector_search_start,detector_search_end,detector_neighbor_buffer,analysis_start,analysis_end,C0_pre_start,C0_pre_end,C0_post_start,C0_post_end,C1_pre_start,C1_pre_end,C1_post_start,C1_post_end,C2_pre_start,C2_pre_end,C2_post_start,C2_post_end,early_start,early_end,core_start,core_end,late_start,late_end,is_valid_for_prepost,invalid_reason
W045,45,40,48,0.95,hardcoded_accepted,v10_independent_hardcoded_current_accepted_windows_replicating_v9_inputs,0,69,5,0,74,0,39,49,74,0,34,54,69,25,34,54,69,30,39,40,45,46,53,True,
W081,81,75,87,0.95,hardcoded_accepted,v10_independent_hardcoded_current_accepted_windows_replicating_v9_inputs,49,102,5,49,107,49,74,88,107,54,69,93,102,60,69,93,102,65,74,75,81,82,92,True,
W113,113,108,118,0.95,hardcoded_accepted,v10_independent_hardcoded_current_accepted_windows_replicating_v9_inputs,88,149,5,88,154,88,107,119,154,93,102,124,149,93,102,124,149,98,107,108,113,114,123,True,
W160,160,155,165,0.95,hardcoded_accepted,v10_independent_hardcoded_current_accepted_windows_replicating_v9_inputs,119,182,5,119,182,119,154,166,182,124,149,171,182,140,149,171,182,145,154,155,160,161,170,True,
