window_id,anchor_day,field,feature_index,lat,H_pre,H_post,dH,abs_dH,relative_contribution,bootstrap_dH_q05,bootstrap_dH_q95,prob_dH_gt_0,prob_dH_lt_0,sign_consistency,feature_change_class
W002,45,H,0,15.0,1.3080514680035853,0.9834886162362513,-0.324562851767334,0.324562851767334,0.060029168798123346,-0.5707196482209695,-0.09380894062254892,0.009,0.991,0.991,stable_negative_change
W002,45,H,1,17.0,1.2626737327662771,0.9460591548077556,-0.31661457795852155,0.31661457795852155,0.05855910447152277,-0.5938364178769867,-0.05402367297795161,0.026,0.974,0.974,stable_negative_change
W002,45,H,2,19.0,1.0511183648636837,0.952878576877196,-0.09823978798648769,0.09823978798648769,0.01816983300344003,-0.48685234876342287,0.25499692933318063,0.323,0.677,0.677,ambiguous_change
W002,45,H,3,21.0,0.17496807656877544,0.6788615645954333,0.5038934880266579,0.5038934880266579,0.09319707133554267,-0.017544927915303644,0.9239416707896666,0.944,0.056,0.944,ambiguous_change
W002,45,H,4,23.0,-0.8022240226453341,0.01016870559941825,0.8123927282447524,0.8123927282447524,0.15025521235292652,0.4389751967984546,1.1159298871667336,1.0,0.0,1.0,stable_positive_change
W002,45,H,5,25.0,-1.0702091275259398,-0.3236286840505977,0.746580443475342,0.746580443475342,0.13808297289329433,0.4893529087327748,0.9701842812453704,1.0,0.0,1.0,stable_positive_change
W002,45,H,6,27.0,-1.1254412028421976,-0.48562112661941986,0.6398200762227777,0.6398200762227777,0.11833722543064884,0.44116720967342,0.8262589844248425,1.0,0.0,1.0,stable_positive_change
W002,45,H,7,29.0,-1.1193254720667378,-0.5751829727054159,0.544142499361322,0.544142499361322,0.10064128339557887,0.3628370412189419,0.7081616551422811,1.0,0.0,1.0,stable_positive_change
W002,45,H,8,31.0,-1.0932681544411809,-0.6104406662663053,0.48282748817487553,0.48282748817487553,0.08930083227393125,0.3157936769712217,0.6392743034592763,1.0,0.0,1.0,stable_positive_change
W002,45,H,9,33.0,-1.0679999745768443,-0.6052821712062988,0.46271780337054547,0.46271780337054547,0.08558146742048969,0.30212890504724954,0.6167865940233307,1.0,0.0,1.0,stable_positive_change
W002,45,H,10,35.0,-1.050237020201763,-0.5752763764834359,0.47496064371832714,0.47496064371832714,0.08784582862450173,0.3129647350008204,0.6248327236820712,1.0,0.0,1.0,stable_positive_change
