region_id,region_label,lat_min,lat_max,lat_center,n_features,region_change_class,region_relative_contribution,n_samples,n_valid_midpoints,valid_midpoint_fraction,onset_median,onset_q05,onset_q95,midpoint_median,midpoint_q05,midpoint_q95,midpoint_iqr,midpoint_q90_width,finish_median,finish_q05,finish_q95,duration_median,duration_q05,duration_q95,dominant_progress_quality_label,dominant_prepost_separation_label
0,H_region_0_stable_negative_change_15_17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,1000,1000,1.0,36.0,34.0,45.0,38.0,34.0,52.0,5.0,18.0,40.0,35.0,54.0,5.0,2.0,18.0,nonmonotonic_progress,clear_separation
1,H_region_1_ambiguous_change_19_21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,1000,1000,1.0,37.0,35.0,50.0,39.0,37.0,54.0,8.0,17.0,44.0,37.0,55.0,5.0,2.950000000000003,19.0,nonmonotonic_progress,clear_separation
2,H_region_2_stable_positive_change_23_35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,1000,1000,1.0,37.0,36.0,39.0,39.0,37.0,50.0,3.0,13.0,50.0,38.0,54.0,14.0,4.0,18.0,nonmonotonic_progress,clear_separation
