window_id,anchor_day,field,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,region_id,region_label,feature_indices_str,lat_list,lat_min,lat_max,lat_center,n_features,region_change_class,region_relative_contribution,construction_reason,bootstrap_id,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,excess_crossings,progress_quality_label
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,0,0.3118632793272773,0.05068954892888913,0.05641435819254176,2.911782470957824,clear_separation,37.0,39.0,40.0,4.0,0.7995765753798213,1,1,1,0,monotonic_clear_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,0,0.25712083805416197,0.14160113569688665,0.16845871528320577,0.829261954559446,weak_separation,35.0,36.0,37.0,3.0,0.43984941046229,3,3,3,6,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,2,H_region_2_stable_positive_change_23_35,4;5;6;7;8;9;10,23;25;27;29;31;33;35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,contiguous latitude features with same bootstrap dH 90% sign class,0,0.5569597029583114,0.1519341524856586,0.07416867318932777,2.4633027088255783,clear_separation,36.0,38.0,53.0,18.0,0.855136747475102,1,3,3,4,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,1,0.49954179846193947,0.1065462885416051,0.06606314216715237,2.8940585483119543,clear_separation,36.0,39.0,48.0,13.0,0.9569569340008329,1,3,1,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,1,0.31359616018165376,0.07515989949996152,0.06143879946790706,2.2957477820152548,clear_separation,37.0,40.0,42.0,6.0,0.9041812332915838,1,1,1,0,monotonic_clear_progress
W002,45,H,40,48,30,60,30,37,53,60,2,H_region_2_stable_positive_change_23_35,4;5;6;7;8;9;10,23;25;27;29;31;33;35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,contiguous latitude features with same bootstrap dH 90% sign class,1,0.593514442340056,0.10742783887584306,0.032288287263545254,4.248002422769252,clear_separation,37.0,39.0,42.0,6.0,0.908842890500677,1,1,1,0,monotonic_clear_progress
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,2,0.3206836899720461,0.07788643469496731,0.06594640554100206,2.229558211086833,clear_separation,36.0,37.0,39.0,4.0,0.790509892544045,1,1,7,6,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,2,0.2938665329958883,0.03996513044516677,0.1469890421779053,1.5718639967900996,clear_separation,38.0,39.0,43.0,6.0,0.7525873613659668,3,3,3,6,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,2,H_region_2_stable_positive_change_23_35,4;5;6;7;8;9;10,23;25;27;29;31;33;35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,contiguous latitude features with same bootstrap dH 90% sign class,2,0.6101451760059795,0.061438239863895974,0.08879163752451441,4.061410330705959,clear_separation,39.0,43.0,54.0,16.0,0.9667002806876243,1,3,1,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,3,0.36750093257374966,0.01489306778599896,0.054235582789993846,5.316188432895237,clear_separation,39.0,52.0,53.0,15.0,0.93368793728953,3,1,1,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,3,0.4082287611769609,0.0493166875518386,0.05296743382909015,3.991125461757905,clear_separation,37.0,40.0,41.0,5.0,0.8386855537591518,1,1,1,0,monotonic_clear_progress
W002,45,H,40,48,30,60,30,37,53,60,2,H_region_2_stable_positive_change_23_35,4;5;6;7;8;9;10,23;25;27;29;31;33;35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,contiguous latitude features with same bootstrap dH 90% sign class,3,0.6120754772448093,0.05797610981557748,0.04319917018482139,6.049654394259114,clear_separation,38.0,42.0,50.0,13.0,0.9793717777121439,1,1,1,0,monotonic_clear_progress
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,4,0.40230390753061956,0.06240590739023898,0.03688075067662122,4.051943285871359,clear_separation,37.0,39.0,41.0,5.0,0.8734787538150351,1,1,3,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,4,0.47910809990266723,0.08379086326362845,0.049658346405306406,3.5901906132771724,clear_separation,37.0,38.0,43.0,7.0,0.8961226240533527,1,1,3,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,2,H_region_2_stable_positive_change_23_35,4;5;6;7;8;9;10,23;25;27;29;31;33;35,23.0,35.0,29.0,7,stable_positive_change,0.7700448223913712,contiguous latitude features with same bootstrap dH 90% sign class,4,0.6811817093432814,0.10954856631968363,0.03675660638008648,4.655896280175416,clear_separation,37.0,39.0,44.0,8.0,0.9411291024641637,1,1,3,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,0,H_region_0_stable_negative_change_15_17,0;1,15;17,15.0,17.0,16.0,2,stable_negative_change,0.11858827326964612,contiguous latitude features with same bootstrap dH 90% sign class,5,0.3554702398373543,0.05562516109858552,0.03325616758345478,3.9993803547761546,clear_separation,38.0,39.0,54.0,17.0,0.8806034260292438,1,3,1,2,nonmonotonic_progress
W002,45,H,40,48,30,60,30,37,53,60,1,H_region_1_ambiguous_change_19_21,2;3,19;21,19.0,21.0,20.0,2,ambiguous_change,0.11136690433898269,contiguous latitude features with same bootstrap dH 90% sign class,5,0.29431953747680784,0.12002643018103384,0.05059069933699699,1.7250292412503878,clear_separation,36.0,37.0,38.0,3.0,0.745366353771072,1,1,3,2,nonmonotonic_progress
