window_id,anchor_day,field,feature_index,lat,H_pre,H_post,dH,abs_dH,relative_contribution
W002,45,H,0,15.0,1.3080514680035853,0.9834886162362513,-0.324562851767334,0.324562851767334,0.060029168798123346
W002,45,H,1,17.0,1.2626737327662771,0.9460591548077556,-0.31661457795852155,0.31661457795852155,0.05855910447152277
W002,45,H,2,19.0,1.0511183648636837,0.952878576877196,-0.09823978798648769,0.09823978798648769,0.01816983300344003
W002,45,H,3,21.0,0.17496807656877544,0.6788615645954333,0.5038934880266579,0.5038934880266579,0.09319707133554267
W002,45,H,4,23.0,-0.8022240226453341,0.01016870559941825,0.8123927282447524,0.8123927282447524,0.15025521235292652
W002,45,H,5,25.0,-1.0702091275259398,-0.3236286840505977,0.746580443475342,0.746580443475342,0.13808297289329433
W002,45,H,6,27.0,-1.1254412028421976,-0.48562112661941986,0.6398200762227777,0.6398200762227777,0.11833722543064884
W002,45,H,7,29.0,-1.1193254720667378,-0.5751829727054159,0.544142499361322,0.544142499361322,0.10064128339557887
W002,45,H,8,31.0,-1.0932681544411809,-0.6104406662663053,0.48282748817487553,0.48282748817487553,0.08930083227393125
W002,45,H,9,33.0,-1.0679999745768443,-0.6052821712062988,0.46271780337054547,0.46271780337054547,0.08558146742048969
W002,45,H,10,35.0,-1.050237020201763,-0.5752763764834359,0.47496064371832714,0.47496064371832714,0.08784582862450173
