object,baseline_config,pre_start,pre_end,post_start,post_end,pattern_dynamic_range,pattern_branch_valid,Rdiff_pre_mean,Rdiff_post_mean
P,C0_full_stage,88,107,119,154,0.9788215302579324,True,-0.4640261207586101,0.5147954094993223
P,C1_buffered_stage,93,102,124,149,1.1230550229370868,True,-0.5457092228809547,0.5773458000561322
P,C2_immediate_pre,93,102,124,149,1.1230550229370868,True,-0.5457092228809547,0.5773458000561322
V,C0_full_stage,88,107,119,154,1.8881278370042884,True,-1.314243785594358,0.5738840514099304
V,C1_buffered_stage,93,102,124,149,2.133194563369628,True,-1.3673253346488619,0.7658692287207661
V,C2_immediate_pre,93,102,124,149,2.133194563369628,True,-1.3673253346488619,0.7658692287207661
H,C0_full_stage,88,107,119,154,0.6226182908760659,True,-0.27611604437135634,0.34650224650470957
H,C1_buffered_stage,93,102,124,149,0.6513160993073657,True,-0.3088142706742692,0.3425018286330964
H,C2_immediate_pre,93,102,124,149,0.6513160993073657,True,-0.3088142706742692,0.3425018286330964
Je,C0_full_stage,88,107,119,154,0.31457935524816194,True,-0.1528960222304181,0.16168333301774382
Je,C1_buffered_stage,93,102,124,149,0.31697717083070087,True,-0.15609245538222213,0.16088471544847877
Je,C2_immediate_pre,93,102,124,149,0.31697717083070087,True,-0.15609245538222213,0.16088471544847877
Jw,C0_full_stage,88,107,119,154,0.04777563474770051,True,-0.023686636780245452,0.024088997967455054
Jw,C1_buffered_stage,93,102,124,149,0.050315867418898264,True,-0.025099811917700034,0.025216055501198226
Jw,C2_immediate_pre,93,102,124,149,0.050315867418898264,True,-0.025099811917700034,0.025216055501198226
