window_id,object,baseline_config,baseline_role,day,D_pre_2d,D_post_2d,S_dist_2d,R_pre_2d,R_post_2d,R_diff_2d,S_pattern_2d,V_dist_2d,V_pattern_2d,pattern_dynamic_range_2d,pattern_branch_valid_2d,basis
W113,P,C0_full_stage,main_full_stage,88,1.5298814864129184,3.266773862979804,0.3189475530291348,0.868941222919358,0.37974891584041875,-0.4891923070789393,-0.12985596270456096,,,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,89,1.3702131659922636,3.242879387474513,0.29702702690466015,0.8917677414429042,0.37287475927893515,-0.518892982163969,-0.16736927869402915,-0.02192052612447465,-0.03751331598946819,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,90,1.2498071973177172,3.262548243621065,0.2769744568388209,0.9146132253945282,0.3703916366608268,-0.5442215887337014,-0.19936047145658736,-0.02005257006583927,-0.03199119276255821,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,91,1.1843483726071693,3.272034067427313,0.26576452729178357,0.9231267116343825,0.36420202817068953,-0.558924683463693,-0.21793115502018306,-0.011209929547037312,-0.018570683563595702,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,92,1.0681295606336625,3.2282635724578412,0.24861075966413745,0.9335521989746245,0.36526677987967265,-0.5682854190949518,-0.22975419381051282,-0.017153767627646116,-0.011823038790329754,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,93,0.9964793893327364,3.163383548514428,0.2395462072239428,0.9406639933079824,0.38570328103584783,-0.5549607122721346,-0.21292447744614273,-0.009064552440194662,0.016829716364370084,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,94,0.8481738504052198,3.0520028576803533,0.21747062092003297,0.9543240802107668,0.4113503061269402,-0.5429737740838265,-0.19778442427506593,-0.022075586303909822,0.015140053171076806,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,95,0.6362532044154782,2.860990934444361,0.18192987940010028,0.9720639416286062,0.46265249231507594,-0.5094114493135302,-0.155393667470892,-0.035540741519932695,0.042390756804173924,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,96,0.5826136268405206,2.76023647441787,0.1742864948150682,0.9760040287341721,0.4955324664188688,-0.48047156231530336,-0.11884126175769028,-0.007643384585032081,0.03655240571320173,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,97,0.5362630565848331,2.6627101196330543,0.16763599662903436,0.9792793947118721,0.5276160925660653,-0.45166330214580674,-0.08245510677127214,-0.006650498186033832,0.03638615498641813,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,98,0.5484351031032851,2.537802263025668,0.17770347450338328,0.9785014930495873,0.5660188079889661,-0.41248268506062125,-0.03296818887559928,0.010067477874348918,0.04948691789567286,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,99,0.6584737522987663,2.373191995033509,0.21719866475326063,0.9699627146469108,0.6167535192502673,-0.3532091953966434,0.04189694941494527,0.039495190249877354,0.07486513829054456,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,100,0.808026030272948,2.30063010314153,0.25992776157761466,0.9554398637170713,0.6426289987957146,-0.3128108649213568,0.09292189521930008,0.042729096824354024,0.051024945804354814,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,101,0.9531350373744683,2.261169763727332,0.29652913969072014,0.9350880564202729,0.6593305182851538,-0.27575753813511916,0.13972194781789474,0.03660137811310549,0.046800052598594655,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,102,1.0614254780259733,2.2582216981668557,0.3197404488157925,0.9175319662270537,0.6635070252187134,-0.2540249410083403,0.16717121558553513,0.023211309125072355,0.027449267767640395,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,103,1.1263250457601532,2.1789725874785106,0.34076357736550783,0.9084046776582909,0.6904921554099418,-0.21791252224834912,0.212782858156258,0.02102312854971533,0.045611642570722866,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,104,1.1654754627419392,2.0615153895416,0.36116478666718416,0.9015998064631017,0.7218249441393556,-0.17977486232374607,0.2609524732830073,0.020401209301676326,0.048169615126749304,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,105,1.1718522326841905,2.0482276546431484,0.3639202360463255,0.9003140687040204,0.7252835783696445,-0.1750304903343759,0.2669448328876054,0.0027554493791413504,0.0059923596045980965,0.7917368620083622,True,2d_field
W113,P,C0_full_stage,main_full_stage,106,1.226938498387713,2.0912985587580954,0.36975613172226696,0.8959369865284701,0.7211262296295528,-0.17481075689891734,0.2672223663030652,0.005835895675941449,0.00027753341545977417,0.7917368620083622,True,2d_field
