window_id,object,baseline_config,branch,mean_early,mean_core,mean_late,growth_center,positive_growth_area
W113,P,C0_full_stage,dist,0.2860175497979037,0.5474371339186462,0.7640903118615288,108.11043711601778,0.9432412032139537
W113,P,C0_full_stage,pattern,0.20337396288977128,0.6552849884525834,1.0160032622980908,107.32476098032517,1.5055579848944622
W113,P,C1_buffered_stage,dist,0.2816721721319385,0.5651956050644203,0.752570244038902,107.06897590759623,0.9882052214532451
W113,P,C1_buffered_stage,pattern,0.2600774118131047,0.6813308810698455,1.0036773208562173,107.27268852459608,1.3671543206878292
W113,P,C2_immediate_pre,dist,0.2816721721319385,0.5651956050644203,0.752570244038902,107.06897590759623,0.9882052214532451
W113,P,C2_immediate_pre,pattern,0.2600774118131047,0.6813308810698455,1.0036773208562173,107.27268852459608,1.3671543206878292
W113,V,C0_full_stage,dist,0.13269780920637606,0.2773318730571835,0.6250851913615658,112.31231745202764,0.9724754384606134
W113,V,C0_full_stage,pattern,-0.03634332507287985,-0.06192940588326284,-0.052422419119287245,119.54343870876926,2.204873013337796
W113,V,C1_buffered_stage,dist,0.10010433099478751,0.24917478272351765,0.6102869408878716,112.49189816034996,0.968314072532304
W113,V,C1_buffered_stage,pattern,-0.02955359905542167,-0.05428649017067214,-0.055009098921253066,119.49920788514694,1.9860854835972832
W113,V,C2_immediate_pre,dist,0.10010433099478751,0.24917478272351765,0.6102869408878716,112.49189816034996,0.968314072532304
W113,V,C2_immediate_pre,pattern,-0.02955359905542167,-0.05428649017067214,-0.055009098921253066,119.49920788514694,1.9860854835972832
W113,H,C0_full_stage,dist,0.30364649628129925,0.6403121977731899,0.8321332381428072,106.87341916771247,0.9846297932809331
W113,H,C0_full_stage,pattern,0.15499404031141695,0.5719019130824237,1.417022744421637,112.23251450813724,2.284861346449912
W113,H,C1_buffered_stage,dist,0.2676927344335175,0.6263869072009355,0.8374166955411455,107.27610168814218,1.0227260535407272
W113,H,C1_buffered_stage,pattern,0.1523826848564065,0.5604803846241909,1.4037783393088885,112.35587932851286,2.263168678898696
W113,H,C2_immediate_pre,dist,0.2676927344335175,0.6263869072009355,0.8374166955411455,107.27610168814218,1.0227260535407272
W113,H,C2_immediate_pre,pattern,0.1523826848564065,0.5604803846241909,1.4037783393088885,112.35587932851286,2.263168678898696
W113,Je,C0_full_stage,dist,0.27819640211313007,0.6589900941363536,0.75245507680328,105.4302066873224,0.9029118769091224
W113,Je,C0_full_stage,pattern,0.18620728284231988,0.5496310050923731,1.101297309526445,111.00747628942848,1.605595562275691
W113,Je,C1_buffered_stage,dist,0.26421332837374834,0.6536710455140939,0.7582066479119447,105.81721559784799,0.899455271368504
W113,Je,C1_buffered_stage,pattern,0.18509682580806944,0.5464800634729521,1.0958632793893335,111.01714105085838,1.596500217945346
W113,Je,C2_immediate_pre,dist,0.26421332837374834,0.6536710455140939,0.7582066479119447,105.81721559784799,0.899455271368504
W113,Je,C2_immediate_pre,pattern,0.18509682580806944,0.5464800634729521,1.0958632793893335,111.01714105085838,1.596500217945346
W113,Jw,C0_full_stage,dist,0.33618508190262075,0.6364154122970019,0.647244827241578,104.67706269627487,0.7488413664658604
W113,Jw,C0_full_stage,pattern,0.18734777674769013,0.8726981964744872,1.347892353730361,109.80298384092497,1.850743377506754
W113,Jw,C1_buffered_stage,dist,0.32311804967482427,0.6339562355254592,0.652531743949592,104.14887615093286,0.8696282083941462
W113,Jw,C1_buffered_stage,pattern,0.17965365173071227,0.8481465627194805,1.311496054037,109.80363320415239,1.804417639076147
W113,Jw,C2_immediate_pre,dist,0.32311804967482427,0.6339562355254592,0.652531743949592,104.14887615093286,0.8696282083941462
W113,Jw,C2_immediate_pre,pattern,0.17965365173071227,0.8481465627194805,1.311496054037,109.80363320415239,1.804417639076147
