object,baseline_config,day,V_dist,V_pattern
P,C0_full_stage,88,,
P,C0_full_stage,89,-0.023608836043846948,-0.033399954483919955
P,C0_full_stage,90,-0.015181017246939266,-0.04986614193888761
P,C0_full_stage,91,-0.008146526325192971,-0.03374931439218551
P,C0_full_stage,92,-0.01407559007425957,-0.03014119022255929
P,C0_full_stage,93,-0.003731470877582993,0.007740054091496307
P,C0_full_stage,94,-0.020731305870084538,0.009026456363495472
P,C0_full_stage,95,-0.04773610784930721,0.024439310936100966
P,C0_full_stage,96,-0.01958264603295007,0.006321760807277338
P,C0_full_stage,97,-0.02297256952315048,0.03212483431603441
P,C0_full_stage,98,0.0005431414977307564,0.06973380496376524
P,C0_full_stage,99,0.06019141347783813,0.10846591252345723
P,C0_full_stage,100,0.05156442962489896,0.06884909139982806
P,C0_full_stage,101,0.033303098786967716,0.06333943144253738
P,C0_full_stage,102,0.03152504558618213,0.04799527336175588
P,C0_full_stage,103,0.03630933846998835,0.08004202764974891
P,C0_full_stage,104,0.02684837791216349,0.08098926978448395
P,C0_full_stage,105,0.00359344744281348,0.02995451856582132
P,C0_full_stage,106,0.007077096912727454,0.012418249755679178
P,C0_full_stage,107,0.029481817846989333,0.02425349331903015
P,C0_full_stage,108,0.03472190823060517,0.03791163877594678
P,C0_full_stage,109,0.05804511834473913,0.09109003760191053
P,C0_full_stage,110,0.04906690847344203,0.09629016214505415
P,C0_full_stage,111,0.042796302806847986,0.08449357121055767
P,C0_full_stage,112,0.034016777266404064,0.059777112260566145
P,C0_full_stage,113,0.029825979201642427,0.04537956122010667
P,C0_full_stage,114,0.060775939658545,0.07559435533279668
P,C0_full_stage,115,0.044842563482547226,0.06517483358600229
P,C0_full_stage,116,0.023714379536084573,0.05177189131680604
P,C0_full_stage,117,-0.009968384244312234,0.020582455163361546
P,C0_full_stage,118,-0.0007693873768321868,-0.009757398939491901
P,C0_full_stage,119,0.02207317396342734,0.0047365962556200625
P,C0_full_stage,120,0.006727197718043865,0.029891627624048844
P,C0_full_stage,121,-0.01618315523455771,0.003834029121631888
P,C0_full_stage,122,-0.000562067544377487,-0.014361377757396987
P,C0_full_stage,123,0.00266014797607661,-0.032999948256488665
P,C0_full_stage,124,0.006683843975042514,-0.020849690784003894
P,C0_full_stage,125,0.00766570838491587,-0.01606719994359318
P,C0_full_stage,126,0.03302386592374551,-0.0026690315486509464
P,C0_full_stage,127,0.02835304361895985,0.019267309235336705
P,C0_full_stage,128,-0.014353211029452972,0.02227047292523532
P,C0_full_stage,129,-0.015142666727565923,-0.022173350518158386
P,C0_full_stage,130,-0.0041495925199989125,-0.021646784041894795
P,C0_full_stage,131,0.0019581582333203507,-0.0008515120917694796
P,C0_full_stage,132,0.0005610628429409958,0.02641948125063398
P,C0_full_stage,133,0.0345000013125234,0.016659919003361834
P,C0_full_stage,134,0.017635669696687062,0.015813678362407213
P,C0_full_stage,135,0.003540371184748925,0.016762609476248302
P,C0_full_stage,136,0.020556103660858582,-0.002084636093117931
P,C0_full_stage,137,0.017405514396375166,-0.03670333649460589
P,C0_full_stage,138,-0.04197662528260493,0.0004650488622426341
P,C0_full_stage,139,-0.01616963707319574,-0.0061466017272140405
P,C0_full_stage,140,-0.008941314902625397,-0.006528129774536873
P,C0_full_stage,141,-0.018227676445686347,-0.01640316247583129
P,C0_full_stage,142,-0.004584865338601696,-0.015094477276313967
P,C0_full_stage,143,-0.009994765044780363,-0.004193163280561074
P,C0_full_stage,144,-0.016208732022573114,-0.010279841191598416
P,C0_full_stage,145,0.0065121732309704194,0.0030018698312231917
P,C0_full_stage,146,0.004471420616262378,0.022325709730048993
P,C0_full_stage,147,0.009440824511902535,0.009091129055649683
P,C0_full_stage,148,0.005687607497294356,0.009489142557384755
P,C0_full_stage,149,0.004759257224296265,0.0066407870302848115
P,C0_full_stage,150,0.0262921436790593,-0.005542243304282213
P,C0_full_stage,151,0.024490829007344894,-0.003740454374058677
P,C0_full_stage,152,-0.01653527232407004,-0.021439683576381485
