window_id,object_A,object_B,raw_profile_window_family,state_distance_family,state_pattern_family,growth_distance_family,growth_pattern_family,profile_2d_mirror_family,selected_window_overlap_fraction,co_transition_veto,final_structure_class,evidence_level
W113,H,Je,unresolved,A_tendency,A_tendency,B_tendency,B_tendency,B_supported,0.8888888888888888,True,co_transition,Level3_window_overlap
W113,H,Jw,B_tendency,A_tendency,unresolved,B_supported,B_tendency,A_supported,0.6470588235294118,False,branch_or_layer_split,downgraded_split
W113,H,P,unresolved,A_tendency,A_tendency,A_tendency,B_supported,A_supported,1.0,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W113,H,V,unresolved,A_supported,A_supported,A_supported,A_tendency,A_supported,0.0,False,A_layer_specific_front_or_lead_candidate,Level4_window_or_curve_supported
W113,Je,Jw,unresolved,unresolved,B_tendency,B_tendency,unresolved,A_supported,0.7647058823529411,True,co_transition_with_B_curve_tendency,Level2_curve_tendency_only
W113,Je,P,unresolved,unresolved,unresolved,A_supported,B_tendency,A_supported,0.9411764705882353,True,co_transition,Level3_window_overlap
W113,Je,V,A_tendency,A_supported,A_supported,A_supported,A_tendency,A_supported,0.0,False,A_layer_specific_front_or_lead_candidate,Level4_window_or_curve_supported
W113,Jw,P,unresolved,unresolved,A_tendency,A_supported,B_tendency,A_supported,0.6470588235294118,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W113,Jw,V,A_tendency,A_supported,A_supported,A_supported,A_supported,A_supported,0.4444444444444444,False,A_layer_specific_front_or_lead_candidate,Level4_window_or_curve_supported
W113,P,V,unresolved,A_supported,A_supported,A_supported,A_supported,A_supported,0.0,False,A_layer_specific_front_or_lead_candidate,Level4_window_or_curve_supported
