day,detector_score,half_width,detector_scope
26,3.044740779599057,5,late_excluded_day0_39
27,3.265437251808807,5,late_excluded_day0_39
28,3.369377823573273,5,late_excluded_day0_39
29,3.3708842579243115,5,late_excluded_day0_39
30,3.326301290129298,5,late_excluded_day0_39
31,3.2605164076190243,5,late_excluded_day0_39
32,3.182510403798597,5,late_excluded_day0_39
33,3.101638965820215,5,late_excluded_day0_39
34,3.0005553982607513,5,late_excluded_day0_39
35,2.8199862772845035,5,late_excluded_day0_39
36,2.555363463320524,5,late_excluded_day0_39
37,2.243898007512136,5,late_excluded_day0_39
38,1.956307287232935,5,late_excluded_day0_39
39,1.7318996596909835,5,late_excluded_day0_39
