day,date_mmdd,cum_raw_change_from_day20_25,cum_axis_shift_abs,cum_centroid_shift_abs,cum_NS_contrast_change,cum_amplitude_change
0,04-01,,,,,
1,04-02,,,,,
2,04-03,,,,,
3,04-04,,,,,
4,04-05,5.924416653336812,2.0,0.41010549401664775,-6.037032839168184,4.130678267528467
5,04-06,5.559918345322579,2.0,0.3909877657347849,-5.733543794647538,3.436051914182997
6,04-07,5.2571644812475045,2.0,0.3740541053825197,-5.499273630010023,2.964727958323312
7,04-08,5.0620912755867025,2.0,0.3651757210079296,-5.38048396171979,2.7693647315599605
8,04-09,5.0206869648451535,2.0,0.3650350855925808,-5.393672349415361,3.162673033464646
9,04-10,5.024187297185145,2.0,0.3646271067810787,-5.388812562315387,3.446720804721817
10,04-11,5.030155412706291,2.0,0.38691893244310194,-5.611704612278601,3.8257267710552156
11,04-12,4.978193007909264,2.0,0.4203473066638068,-5.9196354836652745,4.150948156833714
12,04-13,4.791421693545879,0.0,0.43018647537045496,-5.917647183227906,4.195286326363426
13,04-14,4.511738493655112,0.0,0.4324436248655843,-5.830627215903625,4.16447386484931
14,04-15,4.184439388558807,0.0,0.4218024797461908,-5.5908650709193,4.018285565649155
15,04-16,3.6915778950086864,0.0,0.38006055025211793,-4.891540154797589,3.471603054940033
16,04-17,3.1478959151281707,0.0,0.32685657368045185,-4.102791731166846,2.867769863168842
17,04-18,2.6055219746636857,0.0,0.2749670383871532,-3.3628363528352807,2.296435319870593
18,04-19,2.102399698449015,0.0,0.2295759538984754,-2.758257190601391,1.8361624062661015
19,04-20,1.5233693433461282,0.0,0.16191211256563065,-1.908671305768749,1.1621154207442181
20,04-21,0.8686303402498949,0.0,0.06503861815063772,-0.7137272171904883,0.38632699101230017
21,04-22,0.41724656524978904,0.0,0.003600057351953012,0.08180718674081078,-0.13348373312066997
22,04-23,0.23784216978615516,0.0,0.03170015235370727,0.3838143859326024,-0.23010276286863274
23,04-24,0.20973635636189236,0.0,0.025232544394349077,0.28262842599499294,-0.04541288335862603
24,04-25,0.42423320071639614,0.0,0.012086384720340959,0.0859656534798745,0.09636816278437976
25,04-26,0.7734193713653793,0.0,0.0063577015904243694,-0.12048843495778527,-0.0736957744487583
26,04-27,1.3217549259562695,0.0,0.006002415570456776,-0.10460532919614707,-0.7477631988575055
27,04-28,2.0022609880637474,0.0,0.007077535244640387,0.0917415702982467,-1.548823137343149
28,04-29,2.6936798347212285,0.0,0.039389150138639195,0.510296822538244,-2.4274357041875447
29,04-30,3.2662958908011004,0.0,0.06744374369167616,0.831879890472905,-3.0726402543374505
30,05-01,3.7862381967365777,0.0,0.12594447579753876,1.465214337691549,-3.9722038545675
31,05-02,4.30790779378374,0.0,0.2231018409918235,2.4588347522450107,-5.096181644953287
32,05-03,4.79314613576511,2.0,0.32069982538639863,3.47954457025876,-5.430425246650536
33,05-04,5.164231419115146,2.0,0.4077432079858383,4.372587193009814,-4.585009878024017
34,05-05,5.469133516802292,2.0,0.5003286926853221,5.336759499633896,-3.508438833889638
35,05-06,5.764481812495693,2.0,0.5807299221413516,6.206695830101211,-2.462196085755373
36,05-07,6.121121399141085,2.0,0.670319536522527,7.150383012134739,-1.542491587367639
37,05-08,6.478302834824336,2.0,0.7558473247651776,7.9479217116196,-0.8548083929067509
38,05-09,6.778700982192415,4.0,0.8242257739714418,8.618612383021574,-0.00993013146292654
39,05-10,6.997844923383165,4.0,0.8611214091655484,9.016646426591237,0.8165284351140372
40,05-11,7.156501722684555,4.0,0.8696649649951596,9.20465656718806,1.78061604563689
41,05-12,7.292560844533703,4.0,0.868204812299993,9.227546344972648,2.348698819304577
42,05-13,7.407135819583964,4.0,0.8597694403096909,9.115840648775578,2.629536929376453
