day,feature_valid,date_mmdd,strength_mean,strength_max,strength_min,amplitude,weighted_l2_norm,axis_lat,min_lat,centroid_lat,spread,width_proxy,north_mean_35_45,south_mean_25_35,NS_contrast,skewness,raw_daily_speed
0,False,,,,,,,,,,,,,,,,
1,False,,,,,,,,,,,,,,,,
2,False,,,,,,,,,,,,,,,,
3,False,,,,,,,,,,,,,,,,
4,True,04-05,42.2939089402486,51.09759189966759,26.994221087495983,24.103370812171608,42.952385101950334,31.0,45.0,33.796855466240146,5.836503544414993,5.836503544414993,37.725763630260126,46.826572965767284,-9.100809335507158,-0.5244352411875401,0.3971922385022868
5,True,04-06,41.95384179291353,50.53707589231551,27.128331433489368,23.40874445882614,42.58399254111273,31.0,45.0,33.81597319452201,5.84465613875372,5.84465613875372,37.53777567202004,46.33509596300655,-8.797320290986512,-0.5112228098367041,0.3381939585793445
6,True,04-07,41.66408971843759,50.14021359899191,27.20279309602546,22.937420502966454,42.271082714243796,31.0,45.0,33.832906854874274,5.851540416131342,5.851540416131342,37.36673811499011,45.92978824133911,-8.563050126348998,-0.4962007400031456,0.21226982882194673
7,True,04-08,41.47226336189393,49.94389376806466,27.20183649186156,22.742057276203102,42.075561164016904,31.0,45.0,33.841785239248864,5.850936547245772,5.850936547245772,37.235060111172665,45.67932056923143,-8.444260458058764,-0.4744683089640468,0.20575064219502553
8,True,04-09,41.444024475619344,50.10664828862842,26.971282710520633,23.135365578107788,42.072807683290456,31.0,45.0,33.84192587466421,5.837530539973366,5.837530539973366,37.19921402326859,45.656662869022924,-8.457448845754335,-0.4546257361895709,0.12462882563683765
9,True,04-10,41.46027027840391,50.22649662706296,26.807083277698,23.41941334936496,42.105303441642704,31.0,45.0,33.842333853475715,5.828891867988681,5.828891867988681,37.2164368429502,45.66902590160456,-8.452589058654361,-0.4523658445890976,0.17108974441945565
