window,source_variable,target_variable,source_family,target_family,source_index_type,target_index_type,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,evidence_tier,lead_lag_label,lead_lag_group,lag_vs_tau0_label,forward_vs_reverse_label,v1_stability_judgement,v1_stability_use_class,v1_stability_interpretation_guardrail,D_pos_0_used,D_pos_neg_used,same_day_coupling_detected,failure_reason,risk_note
S2,V_pos_south_edge_lat,P_north_minus_main_35_45,V,P,new_v1_1,old_v1,5,0.0441856883004506,0.0441856883004506,-0.0235299760264123,0.0235299760264123,0.6503496503496503,0.6968031968031968,0.6923076923076923,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0052646896740339,-0.005014504013312,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_total_centroid_lat_10_50,V,P,new_v1_1,old_v1,1,0.0825897049387336,0.0825897049387336,0.110286982024206,0.110286982024206,0.2617382617382617,0.3175500969618617,0.3467273137210693,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0428250564881229,-0.0323362985004272,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_main_28_35_mean,V,P,new_v1_1,new_v1_1,1,0.0537418332723377,0.0537418332723377,0.060899068770601,0.060899068770601,0.5324675324675324,0.5818353831598864,0.5914093386045517,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0191140590633111,-0.0337328550261119,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_south_10_25_mean,V,P,new_v1_1,new_v1_1,1,-0.146468541533127,0.146468541533127,-0.1761822295752597,0.1761822295752597,0.0299700299700299,0.0445500445500445,0.0593406593406593,Tier5b_no_reverse_dominant,lead_lag_no_reverse_dominant,lead_lag_no,stable_tau0_dominant,reverse_competitive,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0383281006332755,-0.0438376644535761,True,reverse_lag_dominant,reverse_direction
S2,V_pos_south_edge_lat,P_scs_10_20_mean,V,P,new_v1_1,new_v1_1,5,0.0548650647277729,0.0548650647277729,-0.0892812966783512,0.0892812966783512,0.4785214785214785,0.5263736263736264,0.5395629427520088,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0480252079646166,-0.0593102142622012,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_highlat_40_60_mean,V,P,new_v1_1,new_v1_1,2,-0.0373236968778175,0.0373236968778175,-0.0201580346593579,0.0201580346593579,0.7142857142857143,0.7506824385805277,0.7496214033316507,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.00079264963562,0.0202682581676204,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_highlat_35_60_mean,V,P,new_v1_1,new_v1_1,1,0.0195197534233977,0.0195197534233977,0.0222205962127223,0.0222205962127223,0.922077922077922,0.922077922077922,0.9308536466932116,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0150400548126098,0.0001969177745429,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_highlat_minus_main,V,P,new_v1_1,new_v1_1,1,-0.062511779648287,0.062511779648287,-0.0661726049567004,0.0661726049567004,0.4415584415584415,0.4956268221574343,0.5094905094905094,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0215098531340178,-0.0284767145051781,False,positive_lag_not_supported,
S2,V_pos_south_edge_lat,P_south_minus_main,V,P,new_v1_1,new_v1_1,1,-0.1235894372912412,0.1235894372912412,-0.1466128524700799,0.1466128524700799,0.0659340659340659,0.0937855248200075,0.1146511568057235,Tier5c_no_same_day_only,lead_lag_no_same_day_only,lead_lag_no,stable_tau0_dominant,reverse_competitive,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0338774044814331,-0.0392082756089611,True,same_day_only_without_positive_lag_support,same_day_coupling
S2,V_pos_south_edge_lat,P_south_plus_highlat_minus_main,V,P,new_v1_1,new_v1_1,1,-0.1301582530685757,0.1301582530685757,-0.1515395156176915,0.1515395156176915,0.0619380619380619,0.0888676540850453,0.1085927059953033,Tier5c_no_same_day_only,lead_lag_no_same_day_only,lead_lag_no,stable_tau0_dominant,reverse_competitive,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0342352688568452,-0.0344668428811116,True,same_day_only_without_positive_lag_support,same_day_coupling
S2,V_pos_band_width,P_main_band_share,V,P,new_v1_1,old_v1,3,0.1019301985635364,0.1019301985635364,0.02621822860422,0.02621822860422,0.2067932067932067,0.260464726113581,0.2880749644351895,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.058161227191703,0.0546816963787339,False,positive_lag_not_supported,
S2,V_pos_band_width,P_south_band_share_18_24,V,P,new_v1_1,old_v1,4,-0.0263694386227681,0.0263694386227681,0.0291669300585408,0.0291669300585408,0.8601398601398601,0.8870192307692306,0.8790830642172692,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0212573932040679,-0.0124602215113509,False,positive_lag_not_supported,
S2,V_pos_band_width,P_main_minus_south,V,P,new_v1_1,old_v1,3,0.0782103769914137,0.0782103769914137,0.0022532205515611,0.0022532205515611,0.3656343656343656,0.4248568333075375,0.4432383942588024,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0610529742746679,0.0467426173502997,False,positive_lag_not_supported,
S2,V_pos_band_width,P_spread_lat,V,P,new_v1_1,old_v1,2,0.0937993172610596,0.0937993172610596,0.0723846867275147,0.0723846867275147,0.2447552447552447,0.2991452991452991,0.3286270691333982,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.0097004657908351,0.0352725738261141,False,positive_lag_not_supported,
S2,V_pos_band_width,P_north_band_share_35_45,V,P,new_v1_1,old_v1,2,0.186354980128945,0.186354980128945,0.1409247519682703,0.1409247519682703,0.0049950049950049,0.008767827916764,0.0129226174522341,Tier1b_audit_stable_with_same_day,lead_lag_yes_with_same_day_coupling,lead_lag_yes,lag_tau0_close_or_coupled,stable_forward_over_reverse,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.0324417285707915,0.0729227670519449,True,,same_day_coupling_present
S2,V_pos_band_width,P_north_minus_main_35_45,V,P,new_v1_1,old_v1,4,-0.0261334200720694,0.0261334200720694,0.0409282253162526,0.0409282253162526,0.8821178821178821,0.8984533984533984,0.8972226403733252,Tier5a_no_not_supported,lead_lag_no_not_supported,lead_lag_no,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0329356815911168,-0.0164801281242489,False,positive_lag_not_supported,
