year,mode,domain,pattern_corr_to_loo_residual_template,cosine_to_loo_residual_template,same_sign_fraction_to_loo_residual_template
1979,anomaly,object_domain_spatial,-0.25563669762868274,-0.546609813480077,0.16957453321089686
1980,anomaly,object_domain_spatial,-0.04123546310873207,-0.07881500013678858,0.409652076318743
1981,anomaly,object_domain_spatial,-0.8401587340515143,0.18995933282387747,0.7621671258034894
1982,anomaly,object_domain_spatial,-0.4411645446279159,-0.6408117574491229,0.28701152943577185
1983,anomaly,object_domain_spatial,-0.5912034307594891,0.09247977083351057,0.7719620446893174
1984,anomaly,object_domain_spatial,-0.1337873420152666,-0.40723745556355434,0.27313539434751555
1985,anomaly,object_domain_spatial,-0.0552957357770693,-0.5887956534909443,0.20620344862769105
1986,anomaly,object_domain_spatial,-0.09966813257207101,0.3593609028688231,0.5636159575553515
1987,anomaly,object_domain_spatial,-0.7189120309642317,-0.5304759451311617,0.3800632588511376
1988,anomaly,object_domain_spatial,0.05812680872200864,-0.18141446165643163,0.3244566880930517
1989,anomaly,object_domain_spatial,0.5468050288780854,-0.2853448874997551,0.1829405162738496
1990,anomaly,object_domain_spatial,-0.44582737675419526,-0.2946679419995431,0.4518926640138761
1991,anomaly,object_domain_spatial,-0.5385381409380727,-0.3524414350431454,0.5444342414039384
1992,anomaly,object_domain_spatial,-0.5882030825706286,-0.2188468771393578,0.8191000918273645
1993,anomaly,object_domain_spatial,-0.371821685083299,-0.6170962246795032,0.21181512090603
1994,anomaly,object_domain_spatial,0.16828901979894106,0.21457162900104437,0.42403836343230283
1995,anomaly,object_domain_spatial,0.39992948642594894,0.7678427745883851,0.8927660442811958
1996,anomaly,object_domain_spatial,0.1403641908958179,0.6597318440846336,0.9096010611162126
1997,anomaly,object_domain_spatial,-0.09400476355300953,0.14080793519307352,0.4628099173553719
1998,anomaly,object_domain_spatial,0.3147121024613939,0.35461773180639367,0.5694316906438118
1999,anomaly,object_domain_spatial,0.006469760476095857,0.421814805855109,0.5680032649729619
2000,anomaly,object_domain_spatial,0.3181606960429534,0.7109266244597978,0.8853178247117641
2001,anomaly,object_domain_spatial,0.16909236431189173,0.4142943184048625,0.642791551882461
2002,anomaly,object_domain_spatial,0.06799643820890652,0.24183791593209678,0.4888276706458525
2003,anomaly,object_domain_spatial,0.38438928225640795,-0.29728812562328866,0.25925925925925924
2004,anomaly,object_domain_spatial,0.35622478345519765,0.5875860089268358,0.6222834404652586
2005,anomaly,object_domain_spatial,0.6700341506825509,0.38443760753900064,0.40016324864809716
2006,anomaly,object_domain_spatial,0.2395834223274672,0.3039691188920909,0.5993265993265994
2007,anomaly,object_domain_spatial,-0.7332077499320607,-0.5410021521467543,0.5538210386695235
2008,anomaly,object_domain_spatial,0.17412235087033762,0.17704704276714903,0.4850525456586063
2009,anomaly,object_domain_spatial,-0.6341011671198338,-0.8264995388132951,0.15712682379349047
2010,anomaly,object_domain_spatial,0.0038904999450935034,-0.23089685040029856,0.327517600244873
2011,anomaly,object_domain_spatial,-0.4480975804274867,-0.06371193095781189,0.5584124068972554
2012,anomaly,object_domain_spatial,-0.798246157762408,-0.40812127414203603,0.5666768697071728
2013,anomaly,object_domain_spatial,-0.6075753952331624,-0.6361692947920672,0.2721150902969085
2014,anomaly,object_domain_spatial,-0.5969103046805838,-0.5920663250502092,0.25813692480359146
2015,anomaly,object_domain_spatial,0.21688807619353043,-0.3110504031908003,0.25915722885419856
2016,anomaly,object_domain_spatial,-0.7276788386725487,-0.8516731728370482,0.21232527293133355
2017,anomaly,object_domain_spatial,0.477436275623469,0.06880990626876897,0.3947556371798796
2018,anomaly,object_domain_spatial,-0.5393649328108692,0.004680980279253277,0.6601367207427814
2019,anomaly,object_domain_spatial,0.2548942043983724,-0.2949337213108189,0.23364962758902152
2020,anomaly,object_domain_spatial,0.11389824286217452,0.4032659555478312,0.6356494235282114
2021,anomaly,object_domain_spatial,-0.8484050355748836,-0.8037865334707412,0.4069992857871646
2022,anomaly,object_domain_spatial,-0.8288409274093298,-0.6775822477689488,0.5166819712274258
2023,anomaly,object_domain_spatial,-0.2456615073793617,0.3591523988258944,0.667584940312213
1979,anomaly,profile,0.7017568049151789,0.12766492081316627,0.3333333333333333
1980,anomaly,profile,0.8116860355772104,0.5907723555309187,0.4691358024691358
1981,anomaly,profile,-0.774334650247816,0.10271559130497039,0.6419753086419753
1982,anomaly,profile,0.1890280911592713,-0.33497709839224427,0.2839506172839506
1983,anomaly,profile,0.25293200367998403,0.5552557944643799,0.4567901234567901
1984,anomaly,profile,-0.10534781893611021,-0.33593482711916167,0.2716049382716049
1985,anomaly,profile,-0.1060479378675513,-0.513087916721948,0.3333333333333333
1986,anomaly,profile,0.4184158737755986,0.6096734217249772,0.4074074074074074
1987,anomaly,profile,-0.868401848657078,-0.673630374496982,0.2962962962962963
1988,anomaly,profile,0.9587159807964878,0.19911637033183885,0.25925925925925924
1989,anomaly,profile,0.9710867138037425,0.2626727644480188,0.2222222222222222
1990,anomaly,profile,-0.7699751678356316,-0.7067346317004066,0.2962962962962963
1991,anomaly,profile,-0.9286237255670813,-0.4880534502823852,0.6296296296296297
1992,anomaly,profile,-0.9712400004601198,-0.6828612153779455,0.5061728395061729
1993,anomaly,profile,0.0658589709163375,-0.5386913609456031,0.0
1994,anomaly,profile,0.7325772065623607,0.6454428282964989,0.5555555555555556
1995,anomaly,profile,0.9201339027552655,0.9077584290297457,0.7407407407407407
1996,anomaly,profile,0.6223806159938576,0.7627722585572159,0.7777777777777778
1997,anomaly,profile,0.1224314500378782,0.5770873341320297,0.7407407407407407
1998,anomaly,profile,0.9657509176274157,0.6192085499960166,0.38271604938271603
1999,anomaly,profile,0.17173408909123308,0.41310072166795014,0.38271604938271603
2000,anomaly,profile,0.5765654435586962,0.7488445721129132,0.7407407407407407
