decision_item,status,evidence,route_implication
H35 single-point line,not_independent,"mode=anomaly, domain=object_domain_spatial, residual_fraction_median=0.769, pseudo_q90=0.989, consistency_median=-0.094",stop_H35_single_point_line; use H18-H35 package only if H remains relevant
H18 precursor to H35 residual,not_tested_because_H35_not_independent,"mode=anomaly, domain=object_domain_spatial, spearman_r=-0.0914, perm_p=0.536, loo_sign=1",invalid_question_under_current_evidence
