year,mode,event_id,domain,diff_norm,diff_abs_mean,diff_mean,diff_max,diff_min
1979,raw,H18,object_domain_spatial,1320.8782371478062,10.72192585273549,10.72192585273549,40.72520616319525,1.7984347873261868
1980,raw,H18,object_domain_spatial,3009.028674228247,28.08712449467493,28.08712449467493,58.52494303385447,1.453789605034217
1981,raw,H18,object_domain_spatial,893.2701378224077,7.329693404721849,6.257452885999086,30.42598470052053,-5.34151204427144
1982,raw,H18,object_domain_spatial,1872.5620897061494,12.964185329506853,12.961388455348247,63.063123914931566,-0.6400960286464397
1983,raw,H18,object_domain_spatial,1262.468323758083,11.619126646469168,11.452778689198475,21.41544596354106,-8.441623263888687
1984,raw,H18,object_domain_spatial,593.2206772890968,4.359925350853525,2.7363441779608726,31.13545735677144,-8.199273003472626
1985,raw,H18,object_domain_spatial,1333.4312002667928,10.689619715985257,4.018029573008068,34.133612738714874,-19.908013237846717
1986,raw,H18,object_domain_spatial,1433.406437424438,11.075329405926645,0.80113678295077,57.60354275173722,-13.977023654514596
1987,raw,H18,object_domain_spatial,2595.823731307358,20.777243763579698,20.353979742392266,56.91280110677053,-6.479058159721717
1988,raw,H18,object_domain_spatial,2007.9226750009304,15.311526628717905,-15.310076301826484,0.11714680989553017,-45.950615776910126
1989,raw,H18,object_domain_spatial,632.346380682615,5.254935488353655,-1.1003989924674682,10.57076009114644,-15.353827582464874
1990,raw,H18,object_domain_spatial,2971.877273161687,28.990346030262216,28.990346030262216,39.51927354600775,8.7835693359375
1991,raw,H18,object_domain_spatial,815.0683712334281,7.286845873950637,-4.7164292843381865,11.534111870659217,-14.912326388887777
1992,raw,H18,object_domain_spatial,4902.89580443411,45.25391384332727,45.25391384332727,85.1170654296875,8.090318467881843
1993,raw,H18,object_domain_spatial,1746.325390097564,11.619666182332224,8.66794442146102,69.78682454427144,-10.075425889756843
1994,raw,H18,object_domain_spatial,1042.7423740311976,9.274400186375988,-7.294685264043972,20.653903537327096,-21.390896267361313
1995,raw,H18,object_domain_spatial,1198.6433318170875,9.760081897390442,9.399611371379425,37.02464463975775,-4.59672037760356
1996,raw,H18,object_domain_spatial,2147.711677870145,16.705448531849335,2.127941238712444,65.02859157986131,-17.025132921006843
1997,raw,H18,object_domain_spatial,1880.700758163267,14.63883421195063,10.960449705874323,43.51595052083394,-17.48807779947947
1998,raw,H18,object_domain_spatial,2802.369799990986,24.871476780565633,24.87104026734667,61.94276258680475,-0.21478949652828305
1999,raw,H18,object_domain_spatial,1777.4394041156559,15.042215821851368,-4.604149871948308,51.89021809895985,-29.569037543402374
2000,raw,H18,object_domain_spatial,1253.1838833818945,11.4875520539398,11.42634771608879,20.163872612846717,-5.47090657552053
2001,raw,H18,object_domain_spatial,1428.727824159548,11.004335626570755,8.391131245343528,33.52354600694434,-7.821316189236313
2002,raw,H18,object_domain_spatial,1451.8240850145135,10.285587493419392,6.35214336808566,45.83639865451369,-10.93916829427053
2003,raw,H18,object_domain_spatial,1261.6401456382885,11.253230043933312,4.203561690355094,23.819281684027374,-18.080986870658307
2004,raw,H18,object_domain_spatial,1960.3824596090392,17.444307188861305,14.898065184785745,39.11324055989644,-32.36119249131934
2005,raw,H18,object_domain_spatial,568.8084523657611,3.9384346199881053,2.1892159701807303,20.70170084635447,-9.39803059895803
2006,raw,H18,object_domain_spatial,861.9794462530401,5.633196459146384,-0.7822637306399032,18.19901529947856,-48.62296549479288
2007,raw,H18,object_domain_spatial,3414.892777881775,29.86556433530733,29.86556433530733,62.89671495225775,2.7379557291678793
2008,raw,H18,object_domain_spatial,1042.069178001574,8.638130758750615,-7.22773888726588,16.702528211804747,-32.38970269097172
2009,raw,H18,object_domain_spatial,1861.7749348676264,16.25383317858279,14.127459795193447,32.320746527777374,-24.321641710069343
2010,raw,H18,object_domain_spatial,897.4597386735418,6.806248970119534,-6.475671177338325,6.56095377604197,-27.910983615452096
2011,raw,H18,object_domain_spatial,1338.4863690112215,10.232332424027216,-8.130618057481925,15.976223415797904,-42.84956868489644
