year,mode,domain,pseudo_event_id,pseudo_pattern_corr,pseudo_pattern_cosine
1998,raw,profile,PSEUDO_22_30,0.1942769864534957,0.36357816068021953
1999,raw,profile,PSEUDO_22_30,-0.8509698381337317,-0.8866687985616619
2000,raw,profile,PSEUDO_22_30,0.9484580788379527,0.9349687721296738
2001,raw,profile,PSEUDO_22_30,0.6982234314496818,0.7290477489319303
2002,raw,profile,PSEUDO_22_30,0.3141658356213397,0.4582604859520322
2003,raw,profile,PSEUDO_22_30,0.9298352460147346,0.9132456615078562
2004,raw,profile,PSEUDO_22_30,0.35207284832290225,0.4971157562817261
2005,raw,profile,PSEUDO_22_30,0.9125096980379315,0.9268717760216695
2006,raw,profile,PSEUDO_22_30,0.6676219060367253,0.5557506623236291
2007,raw,profile,PSEUDO_22_30,0.23400621626963194,0.4096046603871047
2008,raw,profile,PSEUDO_22_30,0.953284087067899,0.947145446298109
2009,raw,profile,PSEUDO_22_30,0.9695638970374623,0.975839732991542
2010,raw,profile,PSEUDO_22_30,0.8056567929246232,0.8465736198466568
2011,raw,profile,PSEUDO_22_30,-0.6231790424970527,-0.7295423353153493
2012,raw,profile,PSEUDO_22_30,0.13169178572441023,0.05070499028833734
2013,raw,profile,PSEUDO_22_30,0.7235561187244183,0.7764831085727989
2014,raw,profile,PSEUDO_22_30,0.554360857920157,0.6453204098461488
2015,raw,profile,PSEUDO_22_30,0.7812501845841511,0.7684035416592585
2016,raw,profile,PSEUDO_22_30,0.2695664928006568,0.08034590364032031
2017,raw,profile,PSEUDO_22_30,0.7006358118769288,0.6173399986631728
2018,raw,profile,PSEUDO_22_30,-0.8910714644855556,-0.9197115919240134
2019,raw,profile,PSEUDO_22_30,0.11616211600929227,0.31892365402474937
2020,raw,profile,PSEUDO_22_30,0.9432601049309238,0.9394804565769682
2021,raw,profile,PSEUDO_22_30,-0.9002398309889217,-0.9266486417184944
2022,raw,profile,PSEUDO_22_30,0.17145259200762572,0.28972431801569504
2023,raw,profile,PSEUDO_22_30,-0.8305585542928168,-0.8737640763365833
1979,raw,object_domain_spatial,PSEUDO_24_32,0.6245197367895317,0.7319654089373637
1980,raw,object_domain_spatial,PSEUDO_24_32,0.33846733218141944,0.44967592735276773
1981,raw,object_domain_spatial,PSEUDO_24_32,-0.03322179050932459,0.04183698562161137
1982,raw,object_domain_spatial,PSEUDO_24_32,-0.5592471293572996,-0.6208324687631364
1983,raw,object_domain_spatial,PSEUDO_24_32,0.04949450915399816,0.11792939155987062
1984,raw,object_domain_spatial,PSEUDO_24_32,-0.33921485884864266,-0.34541216324549
1985,raw,object_domain_spatial,PSEUDO_24_32,-0.045318238521023506,-0.0382991760328694
1986,raw,object_domain_spatial,PSEUDO_24_32,0.21599682926052677,0.33328036426964935
1987,raw,object_domain_spatial,PSEUDO_24_32,0.15176291022568097,0.3303351928672344
1988,raw,object_domain_spatial,PSEUDO_24_32,0.3710357175911848,0.5205650491222633
1989,raw,object_domain_spatial,PSEUDO_24_32,0.5589090523636855,0.5851634919904528
1990,raw,object_domain_spatial,PSEUDO_24_32,0.523131859389507,0.6512362881177078
1991,raw,object_domain_spatial,PSEUDO_24_32,-0.593930383170567,-0.5825450889411877
1992,raw,object_domain_spatial,PSEUDO_24_32,0.20950425876190018,0.39659488100347146
1993,raw,object_domain_spatial,PSEUDO_24_32,0.00689525680578842,0.0062463287990467955
1994,raw,object_domain_spatial,PSEUDO_24_32,0.010795604986222417,0.022538931275247167
1995,raw,object_domain_spatial,PSEUDO_24_32,0.8078654692542602,0.8510939724831369
1996,raw,object_domain_spatial,PSEUDO_24_32,-0.7186915371488786,-0.7569984379191316
1997,raw,object_domain_spatial,PSEUDO_24_32,0.40284465330984626,0.3901797930990594
1998,raw,object_domain_spatial,PSEUDO_24_32,0.4512706037587217,0.597579278644009
1999,raw,object_domain_spatial,PSEUDO_24_32,-0.5385100235523781,-0.6633547976999267
2000,raw,object_domain_spatial,PSEUDO_24_32,0.43812262003079516,0.4973519552119021
2001,raw,object_domain_spatial,PSEUDO_24_32,0.10838161189934872,0.1910030953720119
2002,raw,object_domain_spatial,PSEUDO_24_32,0.20282447947122367,0.378213837962375
2003,raw,object_domain_spatial,PSEUDO_24_32,0.5391919163011722,0.5419235814724299
2004,raw,object_domain_spatial,PSEUDO_24_32,0.10488677618289173,0.16150973637114535
2005,raw,object_domain_spatial,PSEUDO_24_32,0.5514355642109021,0.628511932434146
2006,raw,object_domain_spatial,PSEUDO_24_32,0.5989057714517735,0.50569248645561
2007,raw,object_domain_spatial,PSEUDO_24_32,0.6272493556829145,0.7264916280742542
2008,raw,object_domain_spatial,PSEUDO_24_32,0.07508532953841082,0.1831386999953943
2009,raw,object_domain_spatial,PSEUDO_24_32,0.7675697159917132,0.8266882868642629
2010,raw,object_domain_spatial,PSEUDO_24_32,0.7836632972563915,0.8375435175804002
2011,raw,object_domain_spatial,PSEUDO_24_32,-0.23922504009025114,-0.3350406716570896
2012,raw,object_domain_spatial,PSEUDO_24_32,-0.4306230939593498,-0.35898636524955757
2013,raw,object_domain_spatial,PSEUDO_24_32,0.3285210642652844,0.4510369244145891
2014,raw,object_domain_spatial,PSEUDO_24_32,-0.09974250268227354,-0.1620583082815859
2015,raw,object_domain_spatial,PSEUDO_24_32,0.01069704166075373,0.12182803066543556
2016,raw,object_domain_spatial,PSEUDO_24_32,-0.6608943684769363,-0.7129396418142998
2017,raw,object_domain_spatial,PSEUDO_24_32,-0.4546937389215783,-0.541397507087258
2018,raw,object_domain_spatial,PSEUDO_24_32,-0.8841459421669216,-0.918473939418228
2019,raw,object_domain_spatial,PSEUDO_24_32,0.5141828694247377,0.6195491987922367
2020,raw,object_domain_spatial,PSEUDO_24_32,0.34049810953129866,0.40430656859368624
2021,raw,object_domain_spatial,PSEUDO_24_32,-0.6879072170906337,-0.7496638776332192
2022,raw,object_domain_spatial,PSEUDO_24_32,-0.17474365126255761,-0.15619693120232142
2023,raw,object_domain_spatial,PSEUDO_24_32,0.08367639441073872,-0.0037765531996485917
1979,raw,profile,PSEUDO_24_32,0.8249786088573328,0.8777572769934693
1980,raw,profile,PSEUDO_24_32,0.9543627463817186,0.9680461897123424
1981,raw,profile,PSEUDO_24_32,-0.3451963092452931,-0.1637131520827632
1982,raw,profile,PSEUDO_24_32,-0.9840905185222938,-0.9861077907116851
1983,raw,profile,PSEUDO_24_32,0.8781067326477908,0.9138800659702525
1984,raw,profile,PSEUDO_24_32,-0.9190521965514707,-0.91457635735623
1985,raw,profile,PSEUDO_24_32,0.4281693511196984,0.30630436869117766
1986,raw,profile,PSEUDO_24_32,0.17884195813600273,0.3818052617070637
1987,raw,profile,PSEUDO_24_32,0.532540840488861,0.6704548155238524
