window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_variant_window,pcmci_plus_supported,support_rule,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_family_edge_window,pcmci_plus_supported_family_fdr
S1,P_main_minus_south,H_strength,P,H,False,1,,False,-0.04061426594075857,0.11275928061074807,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7710928926774495,False
S1,P_main_minus_south,H_strength,P,H,False,2,,False,-0.01825602731259867,0.4757857583385193,lagged_direct_edge_control,source(t-tau)->target(t),0.7543235156663518,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9438689066182393,False
S1,P_main_minus_south,H_strength,P,H,False,3,,False,0.005697031039956838,0.8239702003055693,lagged_direct_edge_control,source(t-tau)->target(t),0.9262428481186729,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9745828301262649,False
S1,P_main_minus_south,H_strength,P,H,False,4,,False,-0.004473193575360062,0.861349917411946,lagged_direct_edge_control,source(t-tau)->target(t),0.9461051724433274,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9745828301262649,False
S1,P_main_minus_south,H_strength,P,H,False,5,,False,-0.035747179581515805,0.16238202304174612,lagged_direct_edge_control,source(t-tau)->target(t),0.5860403839100612,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7710928926774495,False
S1,P_main_minus_south,H_centroid_lat,P,H,False,1,,False,0.04042720844451593,0.11418989359973912,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7710928926774495,False
S1,P_main_minus_south,H_centroid_lat,P,H,False,2,,False,-0.04396368282711771,0.08570330702833455,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7710928926774495,False
S1,P_main_minus_south,H_centroid_lat,P,H,False,3,,False,-0.01930406732948505,0.45067577541772247,lagged_direct_edge_control,source(t-tau)->target(t),0.7489955242829196,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9438689066182393,False
S1,P_main_minus_south,H_centroid_lat,P,H,False,4,,False,-0.00035024237292614196,0.9890819865855757,lagged_direct_edge_control,source(t-tau)->target(t),0.9953026280106422,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9890819865855757,False
S1,P_main_minus_south,H_centroid_lat,P,H,False,5,,False,0.012690265040073891,0.6200112992522175,lagged_direct_edge_control,source(t-tau)->target(t),0.8359702911265855,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9745828301262649,False
