variant_name,base_transition,variant_type,day_start,day_end,length,n_pairs_total,n_pairs_valid,lead_lag_like,tau0_coupled_like,strict_lag_like,positive_lag_not_supported_like,median_observed_abs_r,median_null_p95,median_observed_minus_null,median_effective_n,median_source_ar1,median_target_ar1,existing_lead_lag_yes,existing_strict_tau0
T1_prev_S1_equal9_early_001_009,T1,equal_length_prev_early,1,9,9,308,308,11,3,8,297,0.1607402152645822,0.5204889956017402,-0.2538305359138483,22.819206012062516,0.9055859401949317,0.9055859401949317,,
T1_prev_S1_equal9_center_016_024,T1,equal_length_prev_center,16,24,9,308,308,35,15,20,273,0.1428019840426784,0.3528970905396126,-0.14135130381678956,51.52735611683029,0.8916738698522891,0.8916738698522891,,
T1_prev_S1_equal9_late_031_039,T1,equal_length_prev_late,31,39,9,308,308,41,15,26,267,0.1679317737784798,0.3481877752522693,-0.09957538447672104,52.97194859393392,0.8846205506683091,0.8846205506683091,,
T1_next_S2_equal9_early_049_057,T1,equal_length_next_early,49,57,9,308,308,58,29,29,250,0.19711831199239632,0.3359609482727762,-0.08657115421588547,57.00993094146203,0.8986132339702629,0.8986132339702629,,
T1_next_S2_equal9_center_057_065,T1,equal_length_next_center,57,65,9,308,308,39,29,10,269,0.17775402276575575,0.3715125198978931,-0.13407160442027521,46.34366174816968,0.9163366210208734,0.9163366210208734,,
T1_next_S2_equal9_late_066_074,T1,equal_length_next_late,66,74,9,308,308,28,6,22,280,0.1482499169609873,0.3613600140711425,-0.13448813108491878,49.07487004248133,0.9274844132499245,0.9274844132499245,,
T2_prev_S2_equal12_early_049_060,T2,equal_length_prev_early,49,60,12,308,308,65,33,32,243,0.1849965157041074,0.2919905536433687,-0.07812969774104234,75.96007623988382,0.8987617700089263,0.8987617700089263,,
T2_prev_S2_equal12_center_055_066,T2,equal_length_prev_center,55,66,12,308,308,58,39,19,250,0.1654202953557501,0.3224036418773103,-0.09496725239269012,62.034589389883905,0.9168345050943663,0.9168345050943663,,
T2_prev_S2_equal12_late_063_074,T2,equal_length_prev_late,63,74,12,308,308,55,29,26,253,0.15297061677459356,0.3313268309183801,-0.0920208889668666,58.66957481614587,0.9265176268866843,0.9265176268866843,,
T2_next_S3_equal12_early_087_098,T2,equal_length_next_early,87,98,12,308,308,31,18,13,277,0.1582000147723706,0.3885580861047262,-0.12987599432625008,42.23459910991282,0.9309681859087648,0.9309681859087648,,
T2_next_S3_equal12_center_090_101,T2,equal_length_next_center,90,101,12,308,308,28,19,9,280,0.14313072770334873,0.3505377103352979,-0.12281406735706896,52.262838541873826,0.9322070284521268,0.9322070284521268,,
T2_next_S3_equal12_late_095_106,T2,equal_length_next_late,95,106,12,308,308,27,16,11,281,0.12816519000742826,0.36153172358755215,-0.14449307867560734,49.024324453501876,0.9336181735704077,0.9336181735704077,,
T3_prev_S3_equal11_early_087_097,T3,equal_length_prev_early,87,97,11,308,308,26,16,10,282,0.15913895715593576,0.3982417849460128,-0.1364443348789213,40.13082726506197,0.9295075590621853,0.9295075590621853,,
T3_prev_S3_equal11_center_091_101,T3,equal_length_prev_center,91,101,11,308,308,22,15,7,286,0.14689208762535882,0.36879028385930546,-0.1401851145230555,47.053085603717264,0.9353189555285701,0.9353189555285701,,
T3_prev_S3_equal11_late_096_106,T3,equal_length_prev_late,96,106,11,308,308,19,12,7,289,0.13516699029622808,0.3827571478094688,-0.16774010397228234,43.5721258615522,0.9308666184271194,0.9308666184271194,,
T3_next_S4_equal11_early_118_128,T3,equal_length_next_early,118,128,11,308,308,14,7,7,294,0.13346420598179928,0.36407749814010487,-0.16576142781774392,48.31964089752538,0.9245957004967338,0.9245957004967338,,
T3_next_S4_equal11_center_131_141,T3,equal_length_next_center,131,141,11,308,308,9,0,9,299,0.1274205323680454,0.37025294598562747,-0.15684349502752531,46.68958858718172,0.9279206486579942,0.9279206486579942,,
T3_next_S4_equal11_late_144_154,T3,equal_length_next_late,144,154,11,308,308,16,8,8,292,0.12008519936440433,0.3382974130462113,-0.14685809590281534,56.20450765991373,0.899917311455614,0.899917311455614,,
T4_prev_S4_equal10_early_118_127,T4,equal_length_prev_early,118,127,10,308,308,14,7,7,294,0.1318441738140695,0.38489642413791203,-0.18716333876777147,43.07255375979212,0.9272598372276069,0.9272598372276069,,
T4_prev_S4_equal10_center_131_140,T4,equal_length_prev_center,131,140,10,308,308,4,0,4,304,0.13082970725300733,0.39162088307072207,-0.17090957451255928,41.56307221093183,0.932718010678201,0.932718010678201,,
T4_prev_S4_equal10_late_145_154,T4,equal_length_prev_late,145,154,10,308,308,13,6,7,295,0.1198819688255322,0.3571773187710605,-0.1626161271255806,50.2653305318501,0.8967580686469985,0.8967580686469985,,
T4_next_S5_equal10_early_165_174,T4,equal_length_next_early,165,174,10,308,308,19,10,9,289,0.1408706927669915,0.3526122676084154,-0.15056901634886077,51.613294996871346,0.9078744644939856,0.9078744644939856,,
T4_next_S5_equal10_center_169_178,T4,equal_length_next_center,169,178,10,308,308,32,11,21,276,0.15846048147429584,0.32419648230266196,-0.1471945678131573,61.33435919809165,0.9126484467414404,0.9126484467414404,,
T4_next_S5_equal10_late_174_183,T4,equal_length_next_late,174,183,10,308,308,20,9,11,288,0.13971925803388024,0.3813340858756854,-0.20152574847455845,43.91044461096621,0.9108077203136341,0.9108077203136341,,
