transition_window,adjacent_stage,side,subwindow_length,n_random,transition_lead_lag_like,random_mean_lead_lag_like,random_p05_lead_lag_like,random_p50_lead_lag_like,random_p95_lead_lag_like,transition_percentile_vs_random,random_mean_strict_lag_like,random_median_observed_minus_null,random_median_null_p95,random_median_effective_n
T1,S1,prev,9,200,48,37.545,19.0,38.0,55.0,86.0,21.74,-0.11588145228339862,0.3467839087342591,53.416810636700916
T1,S2,next,9,200,48,42.595,28.0,42.0,59.0,77.0,20.48,-0.12632232719921618,0.3613600140711425,49.07487004248133
T2,S2,prev,12,200,40,55.63,49.0,55.0,65.0,0.0,21.625,-0.0920208889668666,0.31455155396649614,65.2457538377403
T2,S3,next,12,200,40,28.855,24.0,28.0,35.0,100.0,10.57,-0.12810622968696278,0.35679408894279113,50.37492093087414
T3,S3,prev,11,200,35,22.915,16.0,22.0,30.0,100.0,7.56,-0.1401851145230555,0.3715588233989804,46.333457110828334
T3,S4,next,11,200,35,8.83,4.0,8.0,16.0,100.0,6.08,-0.16643277619534347,0.36861425583913576,47.10186872279362
T4,S4,prev,10,200,21,7.295,4.0,7.0,14.0,100.0,5.06,-0.18306410171691584,0.38489642413791203,43.07255375979212
T4,S5,next,10,200,21,27.145,19.0,27.0,38.0,23.5,16.805,-0.1510283529427146,0.33778345865768433,56.380085370078646
