variant_name,base_transition,variant_type,day_start,day_end,length,n_pairs_total,n_pairs_valid,lead_lag_like,tau0_coupled_like,strict_lag_like,positive_lag_not_supported_like,median_observed_abs_r,median_null_p95,median_observed_minus_null,median_effective_n,median_source_ar1,median_target_ar1,existing_lead_lag_yes,existing_strict_tau0
T1_transition_original_040_048,T1,transition_original,40,48,9,308,308,48,25,23,260,0.16763111748269946,0.3846899175507743,-0.1146022355391067,43.1194698900249,0.9065938639875692,0.9065938639875692,30.0,28.0
T1_transition_expand_backward_035_048,T1,transition_expand_backward,35,48,14,308,308,74,41,33,234,0.15462378196089235,0.29329453312096565,-0.0685334946999168,75.27580100920991,0.8967670241685483,0.8967670241685483,,
T1_transition_expand_forward_040_053,T1,transition_expand_forward,40,53,14,308,308,69,37,32,239,0.16019504572669518,0.2796033334728362,-0.06808550770340534,82.96931908759508,0.9070965873017339,0.9070965873017339,,
T1_transition_expand_symmetric_035_053,T1,transition_expand_symmetric,35,53,19,308,308,93,48,45,215,0.1557749777359902,0.23915940742584982,-0.047797963990360716,113.94371807098491,0.8998467477769713,0.8998467477769713,,
T1_transition_shift_left_same_length_035_043,T1,transition_shift_left_same_length,35,43,9,308,308,45,22,23,263,0.17740658323376773,0.3451188599236107,-0.09990854315086879,53.94615764903364,0.8983618946882345,0.8983618946882345,,
T1_transition_shift_right_same_length_045_053,T1,transition_shift_right_same_length,45,53,9,308,308,44,18,26,264,0.16456649286762462,0.3320090922547245,-0.10511594061134993,58.438469657213304,0.9106560064202223,0.9106560064202223,,
T2_transition_original_075_086,T2,transition_original,75,86,12,308,308,40,17,23,268,0.14528423779725602,0.36243869743645885,-0.12328589373253032,48.77080773294377,0.9265170988423724,0.9265170988423724,28.0,25.0
T2_transition_expand_backward_069_086,T2,transition_expand_backward,69,86,18,308,308,62,34,28,246,0.13581661041473467,0.2871495855490367,-0.07822412813246307,78.59163855372641,0.9266447391164534,0.9266447391164534,,
T2_transition_expand_forward_075_092,T2,transition_expand_forward,75,92,18,308,308,57,31,26,251,0.13872308798599797,0.293096678891984,-0.08831702855275955,75.37295401854772,0.9270842202071474,0.9270842202071474,,
T2_transition_expand_symmetric_069_092,T2,transition_expand_symmetric,69,92,24,308,308,82,50,32,226,0.13667779258891533,0.24825013549240127,-0.06276803812400417,105.65527548665004,0.9249685037946687,0.9249685037946687,,
T2_transition_shift_left_same_length_069_080,T2,transition_shift_left_same_length,69,80,12,308,308,39,14,25,269,0.1536021353097105,0.36094193394639684,-0.10055121622331989,49.18883380236224,0.9283283125409113,0.9283283125409113,,
T2_transition_shift_right_same_length_081_092,T2,transition_shift_right_same_length,81,92,12,308,308,40,20,20,268,0.14750158064541746,0.33113822207865207,-0.126589841301097,58.7269985897871,0.9195419864126327,0.9195419864126327,,
T3_transition_original_107_117,T3,transition_original,107,117,11,308,308,35,20,15,273,0.14254459565236444,0.3529394786130735,-0.13933149543923418,51.51514262305494,0.923787507708825,0.923787507708825,10.0,10.0
T3_transition_expand_backward_101_117,T3,transition_expand_backward,101,117,17,308,308,45,31,14,263,0.12820421266375182,0.2860335670455482,-0.09161182472677774,79.21916403363294,0.9277512558847474,0.9277512558847474,,
T3_transition_expand_forward_107_123,T3,transition_expand_forward,107,123,17,308,308,34,16,18,274,0.1277573694130728,0.2921722005548606,-0.10451118395635334,75.86092869299516,0.9231685002755425,0.9231685002755425,,
T3_transition_expand_symmetric_101_123,T3,transition_expand_symmetric,101,123,23,308,308,53,31,22,255,0.11168211092392397,0.2518751498021681,-0.07462340928825031,102.58321867616135,0.9268376482975997,0.9268376482975997,,
T3_transition_shift_left_same_length_101_111,T3,transition_shift_left_same_length,101,111,11,308,308,27,18,9,281,0.12627306338308603,0.33974694982612175,-0.1401828111389898,55.71287363423463,0.930809261599983,0.930809261599983,,
T3_transition_shift_right_same_length_113_123,T3,transition_shift_right_same_length,113,123,11,308,308,13,4,9,295,0.13981249581939031,0.3760771564675683,-0.1630647525846128,45.18841289114292,0.9228994438002475,0.9228994438002475,,
T4_transition_original_155_164,T4,transition_original,155,164,10,308,308,21,9,12,287,0.1307945538606347,0.35425984724009374,-0.15909498322548365,51.124546775555025,0.9053858564625687,0.9053858564625687,11.0,11.0
T4_transition_expand_backward_150_164,T4,transition_expand_backward,150,164,15,308,308,34,18,16,274,0.11879674071845125,0.28664012961578145,-0.09926564432435009,78.87748206155992,0.9105967472503653,0.9105967472503653,,
T4_transition_expand_forward_155_169,T4,transition_expand_forward,155,169,15,308,308,27,16,11,281,0.11591219107200734,0.2886070191937028,-0.10797359458103604,77.7830514397981,0.9039424578060329,0.9039424578060329,,
T4_transition_expand_symmetric_150_169,T4,transition_expand_symmetric,150,169,20,308,308,37,19,18,271,0.10943991156641875,0.24854462852605433,-0.07604396887994404,105.41495268959758,0.912339842487942,0.912339842487942,,
T4_transition_shift_left_same_length_150_159,T4,transition_shift_left_same_length,150,159,10,308,308,13,4,9,295,0.12498590813859403,0.35478270188923877,-0.16824158772137154,50.96568120780683,0.9157281875698114,0.9157281875698114,,
T4_transition_shift_right_same_length_160_169,T4,transition_shift_right_same_length,160,169,10,308,308,23,14,9,285,0.1262669740832597,0.34257744809975554,-0.15773365086745014,54.77212313064773,0.9029646866048535,0.9029646866048535,,
