window_id,segment_id,object_A,object_B,baseline_config,branch,observed_classified_type,start_day,end_day,duration,P_same_type_matched,P_near_instead,P_uncertain_instead,P_opposite_dominant,P_absent_or_fragmented,support_class,matched_start_day_median,matched_start_day_q025,matched_start_day_q975,matched_end_day_median,matched_end_day_q025,matched_end_day_q975,matching_rule
W045,SEG00001,H,Je,C0_full_stage,dist,uncertain_segment,4,15,12,0.943,0.003,0.0,0.0,0.054,tendency,4.0,4.0,10.0,15.0,8.0,22.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00002,H,Je,C0_full_stage,dist,uncertain_segment,16,21,6,0.963,0.001,0.0,0.0,0.036,supported,15.0,4.0,18.0,21.0,18.0,33.94999999999993,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00003,H,Je,C0_full_stage,dist,uncertain_segment,22,31,10,0.834,0.002,0.0,0.0,0.164,exploratory_signal,22.0,11.0,27.0,30.0,25.0,60.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00004,H,Je,C0_full_stage,dist,short_uncertain,32,33,2,0.785,0.024,0.0,0.0,0.191,unresolved,28.0,12.600000000000001,32.0,35.0,32.0,62.39999999999998,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00005,H,Je,C0_full_stage,dist,uncertain_segment,34,62,29,0.653,0.0,0.0,0.0,0.347,unresolved,35.0,21.0,51.0,58.0,43.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00006,H,Je,C0_full_stage,dist,uncertain_segment,63,66,4,0.808,0.004,0.0,0.0,0.188,exploratory_signal,63.0,35.0,65.0,66.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00007,H,Je,C0_full_stage,dist,uncertain_segment,67,74,8,0.761,0.0,0.0,0.0,0.239,unresolved,67.0,36.0,70.0,74.0,72.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00008,H,Je,C0_full_stage,pattern,A_dominant_segment,4,20,17,0.846,0.0,0.081,0.0,0.073,exploratory_signal,4.0,4.0,4.0,21.0,18.0,29.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00009,H,Je,C0_full_stage,pattern,near_segment_tendency,21,23,3,0.016,0.0,0.398,0.0,0.586,unresolved,21.0,20.0,22.0,24.0,22.0,24.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00010,H,Je,C0_full_stage,pattern,uncertain_segment,24,27,4,0.419,0.011,0.0,0.0,0.57,unresolved,23.0,19.0,25.0,28.0,25.0,31.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00011,H,Je,C0_full_stage,pattern,B_dominant_segment,28,67,40,0.427,0.0,0.249,0.0,0.324,unresolved,28.0,20.0,50.0,56.0,42.0,69.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00012,H,Je,C0_full_stage,pattern,uncertain_segment,68,74,7,0.638,0.0,0.0,0.0,0.362,unresolved,68.0,60.0,71.0,74.0,71.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00013,H,Je,C1_buffered_stage,dist,uncertain_segment,4,14,11,0.936,0.003,0.0,0.0,0.061,tendency,4.0,4.0,9.0,14.0,8.0,20.625,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00014,H,Je,C1_buffered_stage,dist,uncertain_segment,15,19,5,0.953,0.008,0.0,0.0,0.039,supported,14.0,4.0,17.0,19.0,16.0,25.199999999999932,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00015,H,Je,C1_buffered_stage,dist,uncertain_segment,20,31,12,0.834,0.001,0.0,0.0,0.165,exploratory_signal,20.0,13.0,26.0,31.0,24.0,63.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00016,H,Je,C1_buffered_stage,dist,short_uncertain,32,33,2,0.798,0.04,0.0,0.0,0.162,unresolved,28.0,19.0,32.0,35.0,32.0,65.67499999999939,same_type_overlap_or_split_match; no exact boundary requirement
