window,source_family,target_family,n_total_pairs,n_main_yes,n_audit_stable_yes,n_tier1,n_tier2,n_tier3,n_ambiguous,n_reverse,n_same_day_only,tier1_fraction,audit_stable_fraction_among_main_yes,same_day_coupling_fraction,high_persistence_risk_fraction
S1,H,Je,12,0,0,0,0,0,4,1,1,0.0,,0.4166666666666667,0.25
S1,H,Jw,12,0,0,0,0,0,2,0,2,0.0,,0.16666666666666666,0.25
S1,H,P,28,8,8,8,0,0,2,1,7,0.2857142857142857,1.0,0.6428571428571429,0.25
S1,H,V,12,2,2,2,0,0,7,0,0,0.16666666666666666,1.0,0.6666666666666666,0.25
S1,Je,H,12,1,1,1,0,0,3,0,1,0.08333333333333333,1.0,0.4166666666666667,0.25
S1,Je,Jw,9,0,0,0,0,0,1,1,0,0.0,,0.1111111111111111,0.0
S1,Je,P,21,1,0,0,0,1,4,4,5,0.0,0.0,0.6190476190476191,0.0
S1,Je,V,9,1,0,0,1,0,1,2,2,0.0,0.0,0.4444444444444444,0.0
S1,Jw,H,12,0,0,0,0,0,1,0,1,0.0,,0.16666666666666666,0.25
S1,Jw,Je,9,1,1,1,0,0,3,0,0,0.1111111111111111,1.0,0.1111111111111111,0.0
S1,Jw,P,21,0,0,0,0,0,7,0,1,0.0,,0.19047619047619047,0.0
S1,Jw,V,9,0,0,0,0,0,4,0,0,0.0,,0.3333333333333333,0.0
S1,P,H,28,5,4,4,0,1,4,8,3,0.14285714285714285,0.8,0.6428571428571429,0.25
S1,P,Je,21,5,5,5,0,0,5,0,4,0.23809523809523808,1.0,0.6190476190476191,0.0
S1,P,Jw,21,0,0,0,0,0,0,0,4,0.0,,0.19047619047619047,0.0
S1,P,V,21,0,0,0,0,0,4,15,2,0.0,,0.8571428571428571,0.0
S1,V,H,12,0,0,0,0,0,7,2,1,0.0,,0.6666666666666666,0.25
S1,V,Je,9,3,3,3,0,0,5,0,0,0.3333333333333333,1.0,0.4444444444444444,0.0
S1,V,Jw,9,1,1,1,0,0,2,2,0,0.1111111111111111,1.0,0.3333333333333333,0.0
S1,V,P,21,16,16,16,0,0,5,0,0,0.7619047619047619,1.0,0.8571428571428571,0.0
S2,H,Je,12,0,0,0,0,0,1,2,2,0.0,,0.4166666666666667,0.25
S2,H,Jw,12,0,0,0,0,0,1,0,1,0.0,,0.16666666666666666,0.25
S2,H,P,28,8,6,6,2,0,12,0,2,0.21428571428571427,0.75,0.75,0.25
S2,H,V,12,3,3,3,0,0,4,1,2,0.25,1.0,0.75,0.25
S2,Je,H,12,2,2,2,0,0,1,0,2,0.16666666666666666,1.0,0.4166666666666667,0.25
S2,Je,Jw,9,0,0,0,0,0,1,1,0,0.0,,0.2222222222222222,0.0
S2,Je,P,21,1,1,1,0,0,3,1,2,0.047619047619047616,1.0,0.3333333333333333,0.0
S2,Je,V,9,0,0,0,0,0,1,0,1,0.0,,0.2222222222222222,0.0
S2,Jw,H,12,0,0,0,0,0,3,0,0,0.0,,0.16666666666666666,0.25
S2,Jw,Je,9,2,2,2,0,0,3,0,0,0.2222222222222222,1.0,0.2222222222222222,0.0
