window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope
S1,P_main_band_share,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-4.3674021583363133e-17,0.9183139809670569,0.9183139809670569,0.9183139809670569,0.95,False,0.0,none,none,0.0696103893602503,0.1758491815505257,window_variable_pooled_across_years
S1,P_south_band_share_18_24,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,2.519655091347873e-18,0.9057751234728723,0.9057751234728723,0.9057751234728723,0.95,False,0.0,none,none,0.04773463536726381,0.11264579751023775,window_variable_pooled_across_years
S1,P_main_minus_south,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-1.2598275456739366e-18,0.9101144357045379,0.9101144357045379,0.9101144357045379,0.95,False,0.0,none,none,0.10668426639047479,0.2574694511020943,window_variable_pooled_across_years
S1,P_spread_lat,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,2.687632097437731e-17,0.8814436877970864,0.8814436877970864,0.8814436877970864,0.95,False,0.0,none,none,0.5163512342631102,1.0932947596652023,window_variable_pooled_across_years
S1,P_north_band_share_35_45,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,1.0918505395840783e-17,0.8574037085880818,0.8574037085880818,0.8574037085880818,0.95,False,0.0,none,none,0.03382407128031192,0.06572318648075841,window_variable_pooled_across_years
S1,P_north_minus_main_35_45,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,3.359540121797164e-18,0.8880473561335789,0.8880473561335789,0.8880473561335789,0.95,False,0.0,none,none,0.0772445672198929,0.16801355671208038,window_variable_pooled_across_years
S1,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,8.264468699621024e-16,0.9192870117393003,0.9192870117393003,0.9192870117393003,0.95,False,0.0,none,none,1.1705016752629192,2.9739274128910633,window_variable_pooled_across_years
S1,V_strength,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,8.062896292313194e-17,0.9243060504122014,0.9243060504122014,0.9243060504122014,0.95,False,0.0,none,none,0.5247010122160471,1.374814949766474,window_variable_pooled_across_years
S1,V_pos_centroid_lat,pooled_window_variable_ar1,45,49,2085,2028,0.05442176870748294,5.043660666306706e-16,0.8558047624097268,0.8558047624097268,0.8558047624097268,0.95,False,0.0,none,none,1.0671589668623789,2.062944370872832,window_variable_pooled_across_years
S1,V_NS_diff,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-8.600422711800739e-16,0.9171044544320368,0.9171044544320368,0.9171044544320368,0.95,False,0.0,none,none,34.8126985113696,87.32713330466973,window_variable_pooled_across_years
S1,H_strength,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-2.2017082142209893e-13,0.9705619514587365,0.95,0.95,0.95,True,0.020561951458736516,upper,moderate,2.8624489386011795,9.16717327799076,window_variable_pooled_across_years
S1,H_centroid_lat,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-3.2251585169252777e-16,0.9442049304332235,0.9442049304332235,0.9442049304332235,0.95,False,0.0,none,none,0.8166244275452842,2.4794390392749546,window_variable_pooled_across_years
S1,H_west_extent_lon,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-5.778409009491123e-16,0.875998792844997,0.875998792844997,0.875998792844997,0.95,False,0.0,none,none,3.8633147714149025,8.00996947034294,window_variable_pooled_across_years
S1,H_zonal_width,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-9.406712341032059e-17,0.5790219817699388,0.5790219817699388,0.5790219817699388,0.95,False,0.0,none,none,4.1527367222769875,5.093433034666801,window_variable_pooled_across_years
S1,Je_strength,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,9.877047958083663e-16,0.9233012539138487,0.9233012539138487,0.9233012539138487,0.95,False,0.0,none,none,2.804366533577035,7.301582328066793,window_variable_pooled_across_years
S1,Je_axis_lat,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-2.6002840542710047e-15,0.8212239430555567,0.8212239430555567,0.8212239430555567,0.95,False,0.0,none,none,2.35522700605584,4.127588746637008,window_variable_pooled_across_years
S1,Je_meridional_width,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-1.679770060898582e-18,0.13805145500563112,0.13805145500563112,0.13805145500563112,0.95,False,0.0,none,none,0.6594394107039103,0.6658145462810834,window_variable_pooled_across_years
S1,Jw_strength,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,-7.794133082569421e-16,0.9368088421466166,0.9368088421466166,0.9368088421466166,0.95,False,0.0,none,none,2.07757392680204,5.938611982752697,window_variable_pooled_across_years
S1,Jw_axis_lat,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,3.359540121797164e-16,0.7872752009592288,0.7872752009592288,0.7872752009592288,0.95,False,0.0,none,none,3.917705276522711,6.353704106742836,window_variable_pooled_across_years
S1,Jw_meridional_width,pooled_window_variable_ar1,45,49,2115,2070,0.04081632653061229,3.359540121797164e-17,0.04516093142214863,0.04516093142214863,0.04516093142214863,0.95,False,0.0,none,none,2.3967876042559006,2.3992354850665967,window_variable_pooled_across_years
T1,P_main_band_share,pooled_window_variable_ar1,45,29,1305,1260,0.0,-3.641191222525418e-17,0.9192824281851005,0.9192824281851005,0.9192824281851005,0.95,False,0.0,none,none,0.06234345531950043,0.15839350929396012,window_variable_pooled_across_years
T1,P_south_band_share_18_24,pooled_window_variable_ar1,45,29,1305,1260,0.0,7.486561392108335e-18,0.9152331383556482,0.9152331383556482,0.9152331383556482,0.95,False,0.0,none,none,0.0439777753870152,0.10914639120663139,window_variable_pooled_across_years
T1,P_main_minus_south,pooled_window_variable_ar1,45,29,1305,1260,0.0,4.083578941150001e-18,0.9118809090607125,0.9118809090607125,0.9118809090607125,0.95,False,0.0,none,none,0.09631919550402722,0.234664515963167,window_variable_pooled_across_years
T1,P_spread_lat,pooled_window_variable_ar1,45,29,1305,1260,0.0,8.167157882300002e-17,0.8785782025695545,0.8785782025695545,0.8785782025695545,0.95,False,0.0,none,none,0.46575958491459085,0.9752115424101298,window_variable_pooled_across_years
T1,P_north_band_share_35_45,pooled_window_variable_ar1,45,29,1305,1260,0.0,8.379844285484898e-18,0.8633938374083244,0.8633938374083244,0.8633938374083244,0.95,False,0.0,none,none,0.03075249260151488,0.06095268613705628,window_variable_pooled_across_years
T1,P_north_minus_main_35_45,pooled_window_variable_ar1,45,29,1305,1260,0.0,-9.528350862683335e-18,0.8856113899784984,0.8856113899784984,0.8856113899784984,0.95,False,0.0,none,none,0.06754754383000315,0.14544274882066477,window_variable_pooled_across_years
T1,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,29,1305,1260,0.0,5.880353675256001e-16,0.9248355798773417,0.9248355798773417,0.9248355798773417,0.95,False,0.0,none,none,1.0682640283978317,2.808507772263826,window_variable_pooled_across_years
T1,V_strength,pooled_window_variable_ar1,45,29,1305,1260,0.0,6.533726305840002e-17,0.9295072893899231,0.9295072893899231,0.9295072893899231,0.95,False,0.0,none,none,0.4816432346542975,1.3059608182517102,window_variable_pooled_across_years
T1,V_pos_centroid_lat,pooled_window_variable_ar1,45,29,1302,1254,0.0022988505747126853,6.821646848695278e-16,0.8694055533166498,0.8694055533166498,0.8694055533166498,0.95,False,0.0,none,none,1.1845027254970477,2.397297570625162,window_variable_pooled_across_years
T1,V_NS_diff,pooled_window_variable_ar1,45,29,1305,1260,0.0,3.1361886268032008e-15,0.9314398778910098,0.9314398778910098,0.9314398778910098,0.95,False,0.0,none,none,33.63242451883088,92.42336745068101,window_variable_pooled_across_years
T1,H_strength,pooled_window_variable_ar1,45,29,1305,1260,0.0,1.324168531316907e-14,0.9730498058142981,0.95,0.95,0.95,True,0.023049805814298163,upper,moderate,2.935114278351294,9.399888611986865,window_variable_pooled_across_years
T1,H_centroid_lat,pooled_window_variable_ar1,45,29,1305,1260,0.0,-8.493844197592002e-16,0.951965578027045,0.95,0.95,0.95,True,0.0019655780270450007,upper,minor,0.9287676858286357,2.974437096911252,window_variable_pooled_across_years
T1,H_west_extent_lon,pooled_window_variable_ar1,45,29,1305,1260,0.0,-1.0453962089344003e-15,0.8697354568002735,0.8697354568002735,0.8697354568002735,0.95,False,0.0,none,none,3.963081399175201,8.030263574145568,window_variable_pooled_across_years
T1,H_zonal_width,pooled_window_variable_ar1,45,29,1305,1260,0.0,-5.4447719215333345e-17,0.5953648628382248,0.5953648628382248,0.5953648628382248,0.95,False,0.0,none,none,4.442840833271893,5.529666597663795,window_variable_pooled_across_years
T1,Je_strength,pooled_window_variable_ar1,45,29,1305,1260,0.0,-4.3558175372266676e-16,0.9082132808887471,0.9082132808887471,0.9082132808887471,0.95,False,0.0,none,none,2.9169212372271884,6.969816146048501,window_variable_pooled_across_years
T1,Je_axis_lat,pooled_window_variable_ar1,45,29,1305,1260,0.0,-1.7532165587337338e-15,0.8000559531501744,0.8000559531501744,0.8000559531501744,0.95,False,0.0,none,none,2.345306629919917,3.9093305178859192,window_variable_pooled_across_years
T1,Je_meridional_width,pooled_window_variable_ar1,45,29,1305,1260,0.0,-1.769550874498334e-17,0.0033584855160486695,0.0033584855160486695,0.0033584855160486695,0.95,False,0.0,none,none,0.8912154784610198,0.8912205047025965,window_variable_pooled_across_years
T1,Jw_strength,pooled_window_variable_ar1,45,29,1305,1260,0.0,-1.6987688395184004e-15,0.9434984344009113,0.9434984344009113,0.9434984344009113,0.95,False,0.0,none,none,2.0843534436797095,6.289976540634559,window_variable_pooled_across_years
T1,Jw_axis_lat,pooled_window_variable_ar1,45,29,1305,1260,0.0,1.350303436540267e-15,0.7539894392087547,0.7539894392087547,0.7539894392087547,0.95,False,0.0,none,none,3.683145669200873,5.606973881547813,window_variable_pooled_across_years
T1,Jw_meridional_width,pooled_window_variable_ar1,45,29,1305,1260,0.0,2.177908768613334e-17,0.13001175171195054,0.13001175171195054,0.13001175171195054,0.95,False,0.0,none,none,2.5161186362855466,2.5376571204126495,window_variable_pooled_across_years
S2,P_main_band_share,pooled_window_variable_ar1,45,46,2070,2025,0.0,-6.007003804735147e-18,0.9295099403989648,0.9295099403989648,0.9295099403989648,0.95,False,0.0,none,none,0.05600241108790171,0.15185156640191863,window_variable_pooled_across_years
S2,P_south_band_share_18_24,pooled_window_variable_ar1,45,46,2070,2025,0.0,4.290717003382247e-18,0.9325898917886682,0.9325898917886682,0.9325898917886682,0.95,False,0.0,none,none,0.041201658591592014,0.11415168726021246,window_variable_pooled_across_years
S2,P_main_minus_south,pooled_window_variable_ar1,45,46,2070,2025,0.0,-7.294218905749821e-18,0.9273044072817804,0.9273044072817804,0.9273044072817804,0.95,False,0.0,none,none,0.08748604908171977,0.23372738805882878,window_variable_pooled_across_years
S2,P_spread_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,-2.5744302020293485e-17,0.9138963432984604,0.9138963432984604,0.9138963432984604,0.95,False,0.0,none,none,0.4099756748050952,1.0099225866233812,window_variable_pooled_across_years
S2,P_north_band_share_35_45,pooled_window_variable_ar1,45,46,2070,2025,0.0,8.795969856933608e-18,0.8852771027229653,0.8852771027229653,0.8852771027229653,0.95,False,0.0,none,none,0.02613539296353682,0.0561974209057131,window_variable_pooled_across_years
S2,P_north_minus_main_35_45,pooled_window_variable_ar1,45,46,2070,2025,0.0,9.439577407440945e-18,0.9087993613578902,0.9087993613578902,0.9087993613578902,0.95,False,0.0,none,none,0.060632129889420246,0.14531944955169485,window_variable_pooled_across_years
S2,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,46,2070,2025,0.0,4.8056030437881175e-17,0.9313441326277455,0.9313441326277455,0.9313441326277455,0.95,False,0.0,none,none,0.9580814244344856,2.631078214525054,window_variable_pooled_across_years
S2,V_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,-3.432573602705798e-17,0.9361468830401893,0.9361468830401893,0.9361468830401893,0.95,False,0.0,none,none,0.4248393587673098,1.2082715313397419,window_variable_pooled_across_years
S2,V_pos_centroid_lat,pooled_window_variable_ar1,45,46,2067,2020,0.0014492753623188692,-1.4437733382643545e-16,0.8794292250502778,0.8794292250502778,0.8794292250502778,0.95,False,0.0,none,none,1.0309793742723867,2.165788098501874,window_variable_pooled_across_years
S2,V_NS_diff,pooled_window_variable_ar1,45,46,2070,2025,0.0,6.810226027768303e-15,0.9416289319337644,0.9416289319337644,0.9416289319337644,0.95,False,0.0,none,none,30.966500788743474,91.98355611032619,window_variable_pooled_across_years
S2,H_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,1.845351568814637e-14,0.9711106404059866,0.95,0.95,0.95,True,0.021110640405986647,upper,moderate,3.2551013813060825,10.424667492738637,window_variable_pooled_across_years
S2,H_centroid_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,-4.942905987896349e-16,0.9419359940804505,0.9419359940804505,0.9419359940804505,0.95,False,0.0,none,none,0.9476708760073626,2.8221921575243814,window_variable_pooled_across_years
S2,H_west_extent_lon,pooled_window_variable_ar1,45,46,2070,2025,0.0,-8.787388422926843e-16,0.8367685012581286,0.8367685012581286,0.8367685012581286,0.95,False,0.0,none,none,3.4990255132145136,6.3902509494081325,window_variable_pooled_across_years
S2,H_zonal_width,pooled_window_variable_ar1,45,46,2070,2025,0.0,-5.4921177643292767e-17,0.6046136754827914,0.6046136754827914,0.6046136754827914,0.95,False,0.0,none,none,3.7403397851331985,4.695858373469583,window_variable_pooled_across_years
S2,Je_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,5.217511876112813e-16,0.9254854201594436,0.9254854201594436,0.9254854201594436,0.95,False,0.0,none,none,2.7624425410982156,7.292937768966386,window_variable_pooled_across_years
S2,Je_axis_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,-5.217511876112813e-16,0.8154546152388625,0.8154546152388625,0.8154546152388625,0.95,False,0.0,none,none,1.8981425007768848,3.2793254613465463,window_variable_pooled_across_years
S2,Je_meridional_width,pooled_window_variable_ar1,45,46,2070,2025,0.0,-1.973729821555834e-17,0.0038618575516085447,0.0038618575516085447,0.0038618575516085447,0.95,False,0.0,none,none,0.8555732246945594,0.8555796047513965,window_variable_pooled_across_years
S2,Jw_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,-6.865147205411596e-17,0.9571320922327448,0.95,0.95,0.95,True,0.007132092232744802,upper,minor,1.881275912321596,6.024904772760762,window_variable_pooled_across_years
