window,source,target,source_family,target_family,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,q_pos_audit_global,audit_support_shift,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,D_pos_neg,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,source_raw_phi,target_raw_phi,source_phi_after_clip,target_phi_after_clip,source_phi_clip_severity,target_phi_clip_severity,pair_phi_risk,source_phi_clip_amount,target_phi_clip_amount,evidence_tier,evidence_tier_reason,recommended_usage,failure_reason,risk_note,suggested_reverse_direction
S1,P_main_band_share,V_strength,P,V,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.000999000999000999,0.00375234521575985,0.00764980875478113,0.000999000999000999,0.006993006993006993,0.015915119363395226,same_p_support_flag,1,0.5003512116848756,0.5003512116848756,-1,0.6978119996680698,0.6978119996680698,0.6394357292102134,0.6394357292102134,-0.20030123938616334,-0.24014997839877059,-0.16828452210991338,-0.24589120159649006,-0.1644586851708365,0.0,-0.1541866100111901,-0.17779891191795685,-0.13450082034711028,-0.18177875287704176,-0.13200497494576327,0.0,0.9183139809670569,0.9243060504122014,0.9183139809670569,0.9243060504122014,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,V_strength -> P_main_band_share
S1,P_main_band_share,V_pos_centroid_lat,P,V,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,False,0.02197802197802198,0.054153846153846164,0.07984675874584132,0.11288711288711288,0.23335054207537428,0.30439988027536663,audit_more_conservative,3,-0.17053799569393702,0.17053799569393702,-2,0.32344843557088354,0.32344843557088354,0.09768959817235516,0.09768959817235516,-0.1608209076292352,-0.3050413812158673,-0.029040989381647717,-0.32036720583895273,-0.005666592243681279,0.02,0.05438615881866339,-0.10838252634349674,0.20606160394794826,-0.12461278312546642,0.2301691162613107,0.71,0.9183139809670569,0.8558047624097268,0.9183139809670569,0.8558047624097268,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,V_pos_centroid_lat -> P_main_band_share
S1,P_main_band_share,V_NS_diff,P,V,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.000999000999000999,0.00375234521575985,0.00764980875478113,0.000999000999000999,0.006993006993006993,0.015915119363395226,same_p_support_flag,1,0.5036463930306471,0.5036463930306471,-1,0.7590279763782785,0.7590279763782785,0.6711735016997612,0.6711735016997612,-0.26566778009708597,-0.30942225988070526,-0.22928312184247812,-0.3149251671286924,-0.22390087782889484,0.0,-0.1856961140386743,-0.2116913325090675,-0.16418268380372242,-0.21553610152566072,-0.15999190950831133,0.0,0.9183139809670569,0.9171044544320368,0.9183139809670569,0.9171044544320368,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,V_NS_diff -> P_main_band_share
S1,P_main_band_share,H_strength,P,H,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.004995004995004995,0.015384615384615385,0.025452488687782805,0.2127872127872128,0.3549043549043549,0.4296038993781165,audit_more_conservative,1,0.2580549038166687,0.2580549038166687,-3,0.36007758966334297,0.36007758966334297,0.2994860120217016,0.2994860120217016,-0.10622627415891875,-0.16071379476498102,-0.06321500155838958,-0.1704511371100094,-0.05533545904397667,0.0,-0.05163616510536176,-0.06829400966429681,-0.03603016712411925,-0.07114707940498559,-0.03327416679141451,0.0,0.9183139809670569,0.9705619514587365,0.9183139809670569,0.95,none,moderate,moderate,0.0,0.020561951458736516,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,H_strength -> P_main_band_share
S1,P_main_band_share,H_centroid_lat,P,H,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.013986013986013986,0.03846153846153846,0.05692985428668248,0.04095904095904096,0.11790079079798706,0.16971369437737152,same_p_support_flag,1,0.21254112549528298,0.21254112549528298,-2,0.3012596930456632,0.3012596930456632,0.250508015746667,0.250508015746667,-0.09650501527462374,-0.15221627400917317,-0.04240014493519075,-0.1607233155449976,-0.03537680273164859,0.001,-0.05532697252955304,-0.07289503187491421,-0.014258319740212175,-0.07632211078661412,0.0026226331469903536,0.027,0.9183139809670569,0.9442049304332235,0.9183139809670569,0.9442049304332235,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,H_centroid_lat -> P_main_band_share
S1,P_main_band_share,H_west_extent_lon,P,H,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.000999000999000999,0.00375234521575985,0.00764980875478113,0.01898101898101898,0.0671971706454465,0.10715964280119065,same_p_support_flag,1,-0.2519175624434485,0.2519175624434485,-1,-0.14474633455931996,0.14474633455931996,-0.21571998260616082,0.21571998260616082,0.10643069103905242,0.03280783894763916,0.1431115139758627,0.009963722361421807,0.14981623368275251,0.982,0.026964675217622663,0.011113056779477323,0.05392047240813895,0.008097343501705611,0.060576364100033565,0.994,0.9183139809670569,0.875998792844997,0.9183139809670569,0.875998792844997,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,
S1,P_main_band_share,H_zonal_width,P,H,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.2867132867132867,0.38196286472148544,0.461003034088881,0.3126873126873127,0.4458689458689459,0.5262715426649853,same_p_support_flag,1,-0.06057474318613586,0.06057474318613586,-1,-0.08086913415782943,0.08086913415782943,-0.07248717737163,0.07248717737163,-0.025910234508829594,-0.06995289621039266,0.032795616060012266,-0.08177143928724362,0.04461036543105692,0.235,-0.02636442746002171,-0.046218105171108734,0.036610562563265,-0.049295603508856305,0.049492882807199615,0.237,0.9183139809670569,0.5790219817699388,0.9183139809670569,0.5790219817699388,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
S1,P_main_band_share,Je_strength,P,Je,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.2217782217782218,0.31333803810868033,0.38884834330754636,0.3306693306693307,0.4636268708666899,0.5417348608837971,same_p_support_flag,1,-0.10662432572958473,0.10662432572958473,-1,-0.1097439418088106,0.1097439418088106,-0.13085316585081055,0.13085316585081055,-0.011895205410314691,-0.10696439231288463,0.017636392641330684,-0.1252059106254072,0.028216162569484567,0.148,-0.04177675317864392,-0.057693545731293656,0.07731210243472336,-0.06080105759720035,0.09630570712991587,0.228,0.9183139809670569,0.9233012539138487,0.9183139809670569,0.9233012539138487,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
S1,P_main_band_share,Je_axis_lat,P,Je,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.000999000999000999,0.00375234521575985,0.00764980875478113,0.000999000999000999,0.006993006993006993,0.015915119363395226,same_p_support_flag,1,0.37047199472534825,0.37047199472534825,-1,0.30164486380222094,0.30164486380222094,0.35333605780557786,0.35333605780557786,0.06154681225215858,0.034499712235733476,0.09252914628570623,0.029243885858462434,0.09862126610812869,1.0,0.0016845165308666255,-0.013414218030078893,0.01838643012477727,-0.01650514692024121,0.022139563197879235,0.561,0.9183139809670569,0.8212239430555567,0.9183139809670569,0.8212239430555567,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,
S1,P_main_band_share,Je_meridional_width,P,Je,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.1018981018981019,0.1685761047463175,0.22983038117293608,0.2137862137862138,0.3549043549043549,0.43067978533094814,same_p_support_flag,1,0.06074240671669312,0.06074240671669312,-5,0.05933541017381693,0.05933541017381693,0.04989848650811472,0.04989848650811472,-0.004485337776570279,-0.03128840398381838,0.0464120194360574,-0.03514167507341501,0.05783812082779862,0.503,-0.0036806399123636216,-0.013264444165341057,0.05146797937066047,-0.014735867716718474,0.061576108073329625,0.526,0.9183139809670569,0.13805145500563112,0.9183139809670569,0.13805145500563112,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
