window_id,table,object,status,max_day_summary_diff,n_v9,median_v9,q025_v9,q975_v9,n_replay,median_replay,q025_replay,q975_replay,object_A,object_B,max_probability_diff
W081,object_bootstrap_distribution,H,pass,0.0,1000.0,77.0,70.0,83.0,1000.0,77.0,70.0,83.0,,,
W081,object_bootstrap_distribution,Je,pass,0.0,991.0,81.0,70.0,88.0,991.0,81.0,70.0,88.0,,,
W081,object_bootstrap_distribution,Jw,pass,0.0,999.0,82.0,73.0,88.0,999.0,82.0,73.0,88.0,,,
W081,object_bootstrap_distribution,P,pass,0.0,1000.0,82.0,75.975,87.0,1000.0,82.0,75.975,87.0,,,
W081,object_bootstrap_distribution,V,pass,0.0,1000.0,80.0,70.0,86.0,1000.0,80.0,70.0,86.0,,,
W081,pairwise_peak_order,,pass,,,,,,,,,,H,Je,4.163336342344337e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,H,Jw,5.551115123125783e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,Je,Jw,5.551115123125783e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,P,H,0.0
W081,pairwise_peak_order,,pass,,,,,,,,,,P,Je,8.326672684688674e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,P,Jw,5.551115123125783e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,P,V,0.0
W081,pairwise_peak_order,,pass,,,,,,,,,,V,H,0.0
W081,pairwise_peak_order,,pass,,,,,,,,,,V,Je,8.326672684688674e-17
W081,pairwise_peak_order,,pass,,,,,,,,,,V,Jw,8.326672684688674e-17
