window_id,target_type,target_name,influence_group,evidence_level,years,n_years,mean_effect,max_percentile,notes
W081,object_peak,H,push_early_peak,credible_95,2003;2022;1987,3,-0.17884112332773347,0.98,statistical high-influence year candidates only; not physical year types
W081,object_peak,H,push_early_peak,strict_99,2006;1990;2013;2014;1985;1979;2009;1982;1993;1980,10,-0.5870305256455595,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,H,push_early_peak,usable_90,2010;1986;2007;1983;2008,5,-0.26408484317010733,0.9306666666666666,statistical high-influence year candidates only; not physical year types
W081,object_peak,H,push_late_peak,credible_95,2000;1999;2018,3,0.1002200991066265,0.9887111111111111,statistical high-influence year candidates only; not physical year types
W081,object_peak,H,push_late_peak,strict_99,1984;1994;2017;1996;2021;2020;2012;1991;1997;1989;2023;2001,12,0.5609672797194835,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,H,push_late_peak,usable_90,2005;2004,2,0.20286396216744862,0.9375555555555556,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_early_peak,credible_95,1986;1992,2,-0.22759847093987418,0.9616444444444444,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_early_peak,strict_99,1979;1990;1993;2006;2013;2012;1999;2008;2017;2007,10,-0.8256281183441558,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_early_peak,usable_90,2003;2020,2,-0.3180878590869156,0.9392,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_late_peak,credible_95,2019;1987;1997;2004;1998;2023;1980;1985,8,0.4075732737368778,0.9885777777777778,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_late_peak,strict_99,1988;1994;2005;2010;2011;2015;2022,7,0.79166079043696,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,Je,push_late_peak,usable_90,2018;2000,2,0.2997280246195828,0.9388444444444445,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_early_peak,credible_95,2022;1982;1990;1985,4,-0.45608484069001776,0.9824888888888889,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_early_peak,strict_99,1981;2016;2021;1993;2009;1987;2003;1999;1995;1979;1992;2019,12,-0.7178192047276669,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_early_peak,usable_90,2006,1,-0.004515599343179133,0.9331555555555555,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_late_peak,credible_95,2011;2023;2017;2004,4,0.3709027930662998,0.9884,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_late_peak,strict_99,1980;1988;1991;2013;2010;2007;1984;1997;1996;2001;2005;2018;1998;2012;2000;1986,16,0.7568000833796189,1.0,statistical high-influence year candidates only; not physical year types
W081,object_peak,Jw,push_late_peak,usable_90,1994,1,0.29590680764367505,0.9468,statistical high-influence year candidates only; not physical year types
W081,object_peak,P,push_early_peak,credible_95,2011;2003;2006;1990,4,-0.3466077793649447,0.9895111111111111,statistical high-influence year candidates only; not physical year types
W081,object_peak,P,push_early_peak,strict_99,2016;2002;1995;2009;2000;1979;1993;2022;1982;2020;2019,11,-0.6911880917303858,1.0,statistical high-influence year candidates only; not physical year types
