rep,point_id,present_flag,nearest_peak_day,nearest_peak_score,day_offset
0,RP001,True,45,6.248354777689636,0
0,RP002,False,84,10.89438441226427,3
0,RP003,True,111,7.666162492925463,-2
0,LP006,False,136,4.653724935050353,4
0,RP004,True,136,4.653724935050353,1
0,RP005,True,161,9.024159365068193,1
1,RP001,False,41,3.5416767336473596,-4
1,RP002,False,86,10.728476023075292,5
1,RP003,True,113,9.398850167135958,0
1,LP006,False,136,5.791870231221048,4
1,RP004,True,136,5.791870231221048,1
1,RP005,False,157,6.57425999771372,-3
2,RP001,True,44,6.059878783692528,-1
2,RP002,True,83,8.875474615155937,2
2,RP003,False,109,7.814235432350312,-4
2,LP006,False,138,5.1313963836734064,6
2,RP004,False,138,5.1313963836734064,3
2,RP005,True,161,11.272083865335667,1
3,RP001,True,43,8.052541279854147,-2
3,RP002,True,80,10.967272258194042,-1
3,RP003,True,114,7.58806511198017,1
3,LP006,True,131,3.9584550160845815,-1
3,RP004,False,131,3.9584550160845815,-4
3,RP005,True,162,5.981711749463626,2
4,RP001,False,42,6.883221540567279,-3
4,RP002,False,87,8.83053421393988,6
4,RP003,True,114,13.823217995662645,1
4,LP006,False,137,4.580074247077844,5
4,RP004,True,137,4.580074247077844,2
4,RP005,True,162,9.939641975978489,2
5,RP001,False,40,6.303916559566202,-5
5,RP002,False,84,11.990508679279252,3
5,RP003,False,109,9.05387554779061,-4
5,LP006,False,138,4.151261731872058,6
5,RP004,False,138,4.151261731872058,3
5,RP005,False,157,8.730876312061199,-3
6,RP001,True,45,6.763490448655392,0
6,RP002,True,80,8.273368104524168,-1
6,RP003,False,110,12.916425344691756,-3
6,LP006,True,130,5.13676662398118,-2
6,RP004,False,130,5.13676662398118,-5
6,RP005,True,161,9.729255637934523,1
7,RP001,True,46,5.910573974082647,1
7,RP002,False,85,12.133391862747745,4
7,RP003,False,110,7.775042049697079,-3
7,LP006,False,127,3.938395847253803,-5
7,RP004,False,141,5.010910806703311,6
7,RP005,True,161,5.412432862117604,1
8,RP001,True,45,5.078590116411491,0
8,RP002,False,84,9.769363782080521,3
8,RP003,False,110,9.254022332108828,-3
8,LP006,True,130,4.694855791212589,-2
8,RP004,True,135,4.5512861858951625,0
8,RP005,True,158,6.594602283069949,-2
9,RP001,True,45,5.379162564309947,0
9,RP002,True,83,11.710296052801404,2
9,RP003,True,115,11.265786769720668,2
9,LP006,True,134,4.136383549726039,2
9,RP004,True,134,4.136383549726039,-1
9,RP005,True,160,6.793798914452493,0
10,RP001,True,46,7.6386801106094575,1
10,RP002,True,79,18.7004500095558,-2
10,RP003,True,114,12.231677741524312,1
10,LP006,False,125,7.388637278961454,-7
10,RP004,False,144,4.437074570149484,9
10,RP005,False,144,4.437074570149484,-16
11,RP001,True,43,5.983425653776939,-2
11,RP002,True,83,11.032395675671312,2
11,RP003,True,111,8.750031737836242,-2
11,LP006,True,130,6.372339548072928,-2
11,RP004,False,130,6.372339548072928,-5
11,RP005,True,160,7.9371795307027835,0
12,RP001,False,41,4.50833789369239,-4
12,RP002,False,78,13.390916309433269,-3
12,RP003,True,112,13.455004799016933,-1
12,LP006,True,134,6.618948835259829,2
12,RP004,True,134,6.618948835259829,-1
12,RP005,False,156,7.189342940660841,-4
13,RP001,True,46,7.170010989613036,1
13,RP002,True,82,9.97937445356333,1
13,RP003,True,112,9.195408396262351,-1
13,LP006,False,135,7.275313801173935,3
13,RP004,True,135,7.275313801173935,0
13,RP005,True,162,6.4763465687730415,2
14,RP001,True,46,6.770049300684908,1
14,RP002,True,82,10.448385690533739,1
14,RP003,True,115,12.959588082224668,2
14,LP006,True,132,6.441531453316061,0
14,RP004,True,135,6.380069655367289,0
14,RP005,False,163,8.146413300805163,3
15,RP001,True,46,6.348723072490337,1
15,RP002,True,82,10.348889408434259,1
15,RP003,False,110,11.22513448739837,-3
15,LP006,False,136,4.070924189367035,4
15,RP004,True,136,4.070924189367035,1
15,RP005,False,163,10.746031214181134,3
16,RP001,False,40,5.541468930678535,-5
16,RP002,False,77,10.151591911564871,-4
16,RP003,True,114,13.877178775895452,1
16,LP006,True,132,6.300086966343965,0
16,RP004,False,132,6.300086966343965,-3
16,RP005,False,157,8.562310801341388,-3
17,RP001,True,46,6.100305344784736,1
17,RP002,True,81,14.374843637773068,0
17,RP003,True,111,8.525538573297753,-2
17,LP006,True,131,7.281489433658501,-1
17,RP004,False,131,7.281489433658501,-4
17,RP005,False,157,9.141555003821612,-3
18,RP001,True,45,5.161228000482965,0
18,RP002,True,80,12.808390978737604,-1
18,RP003,True,112,9.777045094683626,-1
18,LP006,True,130,3.5576273057066956,-2
18,RP004,False,130,3.5576273057066956,-5
18,RP005,True,161,7.153170099194653,1
19,RP001,True,43,5.144822524750826,-2
19,RP002,False,85,10.764624279236049,4
19,RP003,True,112,9.644284980964894,-1
19,LP006,False,137,5.360995614002059,5
19,RP004,True,137,5.360995614002059,2
19,RP005,False,163,9.646584744985802,3
20,RP001,True,45,4.313568022959158,0
20,RP002,True,80,10.31590715009135,-1
20,RP003,True,112,11.198093070328177,-1
20,LP006,True,132,6.594277334817471,0
20,RP004,False,132,6.594277334817471,-3
20,RP005,True,159,10.484932751099619,-1
21,RP001,True,45,5.395501630898222,0
21,RP002,False,78,11.130918592812616,-3
21,RP003,True,113,10.349656742821455,0
21,LP006,False,127,5.942045288682676,-5
21,RP004,False,139,4.9271910143458975,4
21,RP005,True,160,9.764228615523901,0
22,RP001,True,44,6.7664483167553975,-1
22,RP002,True,81,9.62699442607097,0
22,RP003,True,114,7.2674663405783795,1
22,LP006,False,135,4.916657710176947,3
22,RP004,True,135,4.916657710176947,0
22,RP005,True,162,9.197965542793533,2
23,RP001,True,43,5.641682928809815,-2
23,RP002,True,83,10.335185990667998,2
23,RP003,True,111,8.40941647687644,-2
23,LP006,False,138,3.690617240807578,6
23,RP004,False,138,3.690617240807578,3
23,RP005,True,158,8.955312225556467,-2
24,RP001,True,45,5.470670624829926,0
24,RP002,False,84,12.995649483958516,3
24,RP003,True,112,9.89236495982754,-1
24,LP006,False,138,4.154932506442422,6
24,RP004,False,138,4.154932506442422,3
24,RP005,True,159,8.15776216049568,-1
25,RP001,True,43,7.362889545760563,-2
25,RP002,False,78,11.376656835410127,-3
25,RP003,True,113,13.610066232176294,0
25,LP006,False,136,4.162661716359771,4
25,RP004,True,136,4.162661716359771,1
25,RP005,True,161,8.560610800760026,1
26,RP001,True,44,7.858842693696823,-1
