object_name,feature_index,all_nan_flag,n_valid_days,n_missing_days
P,0,False,175,8
P,1,False,175,8
P,2,False,175,8
P,3,False,175,8
P,4,False,175,8
P,5,False,175,8
P,6,False,175,8
P,7,False,175,8
P,8,False,175,8
P,9,False,175,8
P,10,False,175,8
P,11,False,175,8
P,12,False,175,8
V,13,False,175,8
V,14,False,175,8
V,15,False,175,8
V,16,False,175,8
V,17,False,175,8
V,18,False,175,8
V,19,False,175,8
V,20,False,175,8
V,21,False,175,8
V,22,False,175,8
V,23,False,175,8
H,24,False,175,8
H,25,False,175,8
H,26,False,175,8
H,27,False,175,8
H,28,False,175,8
H,29,False,175,8
H,30,False,175,8
H,31,False,175,8
H,32,False,175,8
H,33,False,175,8
H,34,False,175,8
Je,35,False,175,8
Je,36,False,175,8
Je,37,False,175,8
Je,38,False,175,8
Je,39,False,175,8
Je,40,False,175,8
Je,41,False,175,8
Je,42,False,175,8
Je,43,False,175,8
Je,44,False,175,8
Je,45,False,175,8
Jw,46,False,175,8
Jw,47,False,175,8
Jw,48,False,175,8
Jw,49,False,175,8
Jw,50,False,175,8
Jw,51,False,175,8
Jw,52,False,175,8
Jw,53,False,175,8
Jw,54,False,175,8
Jw,55,False,175,8
Jw,56,False,175,8
