rep,point_id,null_global_peak_score,null_local_peak_score,null_local_peak_day,no_peak_in_local_window
0,RP001,67.50734857012537,18.935705820831473,45.0,False
0,RP002,67.50734857012537,67.50734857012537,81.0,False
0,RP003,67.50734857012537,0.0,,True
0,LP006,67.50734857012537,17.83963411995841,131.0,False
0,RP004,67.50734857012537,0.0,,True
0,RP005,67.50734857012537,25.60427524072224,157.0,False
1,RP001,40.31495848497181,0.0,,True
1,RP002,40.31495848497181,32.15357359127975,80.0,False
1,RP003,40.31495848497181,0.0,,True
1,LP006,40.31495848497181,35.46019280320823,132.0,False
1,RP004,40.31495848497181,35.46019280320823,132.0,False
1,RP005,40.31495848497181,0.0,,True
2,RP001,44.82585209918829,26.56880555733046,48.0,False
2,RP002,44.82585209918829,0.0,,True
2,RP003,44.82585209918829,26.13335849562715,113.0,False
2,LP006,44.82585209918829,14.799713427055643,132.0,False
2,RP004,44.82585209918829,14.799713427055643,132.0,False
2,RP005,44.82585209918829,0.0,,True
3,RP001,30.71581873046857,0.0,,True
3,RP002,30.71581873046857,19.542627472162238,83.0,False
3,RP003,30.71581873046857,13.600409692672038,112.0,False
3,LP006,30.71581873046857,23.607114221093788,135.0,False
3,RP004,30.71581873046857,23.607114221093788,135.0,False
3,RP005,30.71581873046857,9.378694178859067,161.0,False
4,RP001,26.12272183355525,0.0,,True
4,RP002,26.12272183355525,22.103994954178482,81.0,False
4,RP003,26.12272183355525,21.871021093490775,110.0,False
4,LP006,26.12272183355525,17.243867859833298,130.0,False
4,RP004,26.12272183355525,14.577783831134393,138.0,False
4,RP005,26.12272183355525,18.328669227125886,157.0,False
5,RP001,58.67070967615007,30.34774040793505,45.0,False
5,RP002,58.67070967615007,25.54404065845566,81.0,False
5,RP003,58.67070967615007,35.36838341099724,113.0,False
5,LP006,58.67070967615007,37.233620325461956,135.0,False
5,RP004,58.67070967615007,37.233620325461956,135.0,False
5,RP005,58.67070967615007,0.0,,True
6,RP001,64.31419384553428,7.478787054627366,43.0,False
6,RP002,64.31419384553428,13.769391300146047,83.0,False
6,RP003,64.31419384553428,0.0,,True
6,LP006,64.31419384553428,0.0,,True
6,RP004,64.31419384553428,0.0,,True
6,RP005,64.31419384553428,12.775559952331164,157.0,False
7,RP001,41.01354767833679,24.001822470170396,46.0,False
7,RP002,41.01354767833679,0.0,,True
7,RP003,41.01354767833679,11.179289214470302,113.0,False
7,LP006,41.01354767833679,35.78264655830568,133.0,False
7,RP004,41.01354767833679,35.78264655830568,133.0,False
7,RP005,41.01354767833679,16.03425121376044,161.0,False
8,RP001,47.131886430886254,0.0,,True
8,RP002,47.131886430886254,0.0,,True
8,RP003,47.131886430886254,20.211238376373107,115.0,False
8,LP006,47.131886430886254,28.482695968707453,132.0,False
