object,window_id,object_peak_day,object_window_start,object_window_end,overlap_with_system_W45_day40_48,overlap_days_with_W45,is_pre_W45_peak,is_within_W45_peak,is_post_W45_peak,bootstrap_match_fraction,window_status,interpretation
H,W001,19,17,21,False,0,True,False,False,0.784,weak_object_window_50,object_peak_before_system_W45
H,W002,35,32,37,False,0,True,False,False,0.908,candidate_object_window_80,object_peak_before_system_W45
H,W003,57,55,59,False,0,False,False,True,0.646,weak_object_window_50,object_peak_after_system_W45
Jw,W001,41,37,49,True,9,False,True,False,0.913,candidate_object_window_80,object_peak_within_system_W45
