object,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days
H,CP001,19,0.623,0.784,0.055,0.161,1.7508649483655496,2.0
H,CP002,35,0.734,0.908,0.032,0.06,1.0992182150553749,1.0
H,CP003,57,0.419,0.646,0.13,0.224,0.4719895122206926,3.0
Jw,CP001,41,0.638,0.913,0.075,0.012,1.3313570559353747,2.0
