object,day,profile_score
H,14,1.2259858915866713
H,15,1.3326132639298676
H,16,1.4326057079680026
H,17,1.5188423704833305
H,18,1.5955303140477888
H,19,1.644002486538675
H,20,1.6152727603357562
H,21,1.4947762307257542
H,22,1.3288928616508797
H,23,1.1648528585046034
H,24,1.0126404583757815
H,25,0.8850689273625343
H,26,0.7857954756013579
H,27,0.7170528914887603
H,28,0.6775428522637298
H,29,0.6719764143498317
H,30,0.7044274496035651
H,31,0.7614686382171596
H,32,0.8233046785924885
H,33,0.8773391915734112
H,34,0.9134647906750303
H,35,0.9190171447661464
H,36,0.8878325067206253
H,37,0.8177043374492967
H,38,0.7113095094310364
H,39,0.576292476932112
H,40,0.4332613075802144
H,41,0.3070998724489381
H,42,0.20837891822189736
H,43,0.13502660347827872
H,44,0.08620661514918265
H,45,0.060987722818641815
H,46,0.05224181978556133
H,47,0.052404433953952084
H,48,0.05947839835987641
H,49,0.07713577399944184
H,50,0.10626187566590008
H,51,0.13766717140071344
H,52,0.1661616144803289
H,53,0.19714335123913884
H,54,0.23093910791330627
H,55,0.25941348435983114
H,56,0.275407178170574
H,57,0.27875502949334635
H,58,0.2714096691458345
H,59,0.2571630265409999
H,60,0.24827049716144017
Jw,14,0.443996847499036
Jw,15,0.40390722535464824
Jw,16,0.354520767470328
Jw,17,0.29917856594553066
Jw,18,0.25132781628588496
Jw,19,0.21924234682225108
Jw,20,0.20133842399455637
Jw,21,0.19387858219356063
Jw,22,0.1882315629251196
Jw,23,0.17521280854332333
Jw,24,0.16027611071759834
Jw,25,0.15203153898509214
Jw,26,0.15379670342038892
Jw,27,0.16979696008351544
Jw,28,0.1965113142494574
Jw,29,0.22650301487339686
Jw,30,0.2551454286646339
Jw,31,0.28767270186306676
Jw,32,0.3198773581555267
Jw,33,0.3447847351517246
Jw,34,0.3781939984930125
Jw,35,0.44148797332386747
Jw,36,0.5495359907993453
Jw,37,0.7021431185547767
Jw,38,0.85406973826912
Jw,39,0.971653670604744
Jw,40,1.0418474702534588
Jw,41,1.0700878188984277
Jw,42,1.0607058824970925
Jw,43,1.0290055296358056
Jw,44,0.9945951164930436
Jw,45,0.9557918854110175
Jw,46,0.8887541900543019
Jw,47,0.8105974984487749
Jw,48,0.7476584040007344
Jw,49,0.6890816360120219
Jw,50,0.6229094186212878
Jw,51,0.5501480166631235
Jw,52,0.4744861421608381
Jw,53,0.3941912695690724
Jw,54,0.3157639178849479
Jw,55,0.2560564617803225
Jw,56,0.21876589240704042
Jw,57,0.19968932866231565
Jw,58,0.1949477022970457
Jw,59,0.19895418679320975
Jw,60,0.2091421706419083
