object,feature_index,lat_value,raw_mean_day,raw_std_day,block_equal_weight,n_valid_days_raw
H,0,15.0,5870.418355375374,8.200365797725865,0.30151134457776363,175
H,1,17.0,5871.317577770058,7.897507690111094,0.30151134457776363,175
H,2,19.0,5871.484450855163,6.622382104244315,0.30151134457776363,175
H,3,21.0,5870.404372055525,5.82885083135065,0.30151134457776363,175
H,4,23.0,5867.385909924233,9.634557797507854,0.30151134457776363,175
H,5,25.0,5861.770874685085,17.430760071962855,0.30151134457776363,175
H,6,27.0,5852.869333764397,27.28880907074987,0.30151134457776363,175
H,7,29.0,5840.384353867296,37.99920245075669,0.30151134457776363,175
H,8,31.0,5824.281293020788,48.57676017181103,0.30151134457776363,175
H,9,33.0,5804.725033061952,58.38493273769546,0.30151134457776363,175
H,10,35.0,5782.461845107938,67.10960018010626,0.30151134457776363,175
Jw,0,25.0,5.091065325653257,15.700857005769528,0.30151134457776363,175
Jw,1,27.0,9.244983668450717,15.3296444256022,0.30151134457776363,175
Jw,2,29.0,13.54329557994682,13.844283010290114,0.30151134457776363,175
Jw,3,31.0,17.57779333566657,11.246426585882938,0.30151134457776363,175
Jw,4,33.0,21.46896426177367,8.344543387233802,0.30151134457776363,175
Jw,5,35.0,25.334783494295216,6.096035954928158,0.30151134457776363,175
Jw,6,37.0,28.70921559234429,4.699627899714598,0.30151134457776363,175
Jw,7,39.0,30.664390674005087,4.010873940672834,0.30151134457776363,175
Jw,8,41.0,30.567697203973538,3.724918084673134,0.30151134457776363,175
Jw,9,43.0,28.577164237421687,3.5408795947259075,0.30151134457776363,175
Jw,10,45.0,25.698029809785154,3.2763045345278035,0.30151134457776363,175
