window,positive_lag_not_supported_total,weak_effect_size,fails_surrogate_support,passes_surrogate_but_fails_fdr,fails_fdr_support,fails_audit_surrogate_stability,secondary_tau0_competition,secondary_reverse_competition,near_positive_lag_pass_candidates,moderate_or_stronger_effect,median_positive_peak_abs_r,median_p_pos_surrogate,median_q_pos_within_window
S1,123,101,14,8,0,0,69,93,0,0,0.0571851046067487,0.3666333666333666,0.4590368980612883
S2,132,101,22,9,0,0,82,92,0,0,0.05707943852492525,0.4065934065934066,0.5164125063114962
S3,180,118,53,9,0,0,113,119,2,2,0.0726884298694025,0.4245754245754246,0.5932085932085933
S4,186,134,34,18,0,0,109,121,0,0,0.05612992072422765,0.3696303696303696,0.5295169946332736
S5,207,130,61,16,0,0,119,123,0,2,0.080615786299216,0.3836163836163836,0.576360225140713
T1,173,91,66,16,0,0,109,123,7,17,0.098531559414731,0.4155844155844156,0.5765765765765766
T2,188,111,64,13,0,0,106,122,5,13,0.0844901308154309,0.425074925074925,0.6103622958219785
T3,211,103,88,20,0,0,132,154,1,22,0.1041944249587411,0.3826173826173826,0.5805229253505115
T4,214,111,82,21,0,0,110,143,0,17,0.0968605781226279,0.42957042957042957,0.6582330540746382
