window,family_direction,n_positive_lag_not_supported,n_near_positive_lag_pass_candidates,median_positive_peak_abs_r,median_p_pos_surrogate,median_q_pos_within_window,blocker__weak_positive_lag_effect_size,blocker__passes_surrogate_but_fails_fdr,blocker__fails_surrogate_support
S1,P→Jw,17,0,0.0576687942025091,0.3426573426573426,0.441583521081429,13.0,0.0,4.0
S1,Jw→P,13,0,0.0554454252307995,0.2447552447552447,0.3365384615384615,10.0,1.0,2.0
S1,H→P,10,0,0.0594690906028528,0.46453546453546446,0.5409310814971193,9.0,0.0,1.0
S1,Jw→H,10,0,0.08222048864589955,0.22027972027972026,0.3110005436842018,7.0,2.0,1.0
S1,H→Jw,8,0,0.0613063072666899,0.3686313686313686,0.4605991092611019,8.0,0.0,0.0
S1,P→H,8,0,0.058484062010252455,0.42957042957042957,0.5118204546775975,6.0,0.0,2.0
S1,Je→H,7,0,0.0385618150534715,0.4845154845154845,0.5589167386920195,7.0,0.0,0.0
S1,Je→Jw,7,0,0.0305564316004254,0.5184815184815185,0.5828186412128018,7.0,0.0,0.0
S1,Je→P,7,0,0.0603550575082203,0.2047952047952048,0.292022792022792,5.0,1.0,1.0
S1,P→Je,7,0,0.0653830583258941,0.3486513486513486,0.4474358974358974,6.0,0.0,1.0
S1,H→Je,6,0,0.03675332924216235,0.478021978021978,0.5523040040570757,5.0,1.0,0.0
S1,Jw→Je,5,0,0.0171380475373116,0.8601398601398601,0.893032893032893,4.0,1.0,0.0
S1,Jw→V,5,0,0.0682087420280161,0.1928071928071928,0.2774982027318475,3.0,1.0,1.0
S1,V→Jw,4,0,0.0293508753763549,0.547952047952048,0.6114176893264135,4.0,0.0,0.0
S1,H→V,3,0,0.0624435641271376,0.4895104895104895,0.5616242493565913,2.0,1.0,0.0
S1,Je→V,3,0,0.0822355323020992,0.3166833166833167,0.4132985658409387,2.0,0.0,1.0
S1,V→H,2,0,0.0359914743747935,0.7147852147852147,0.7632527387710156,2.0,0.0,0.0
S1,V→Je,1,0,0.0168895983293415,0.8901098901098901,0.9138461538461538,1.0,0.0,0.0
S2,Je→P,14,0,0.0623507137210413,0.4905094905094905,0.5831116045214328,11.0,1.0,2.0
S2,P→Je,13,0,0.0543916218357171,0.4325674325674326,0.5372208436724566,10.0,0.0,3.0
S2,Jw→P,11,0,0.0545487049253763,0.3296703296703296,0.4357873885770881,9.0,0.0,2.0
S2,H→Jw,10,0,0.06716265838839094,0.41558441558441556,0.5210545802744972,7.0,2.0,1.0
S2,P→Jw,10,0,0.0363844296109807,0.4725274725274725,0.5686981667908935,8.0,2.0,0.0
S2,Jw→H,9,0,0.0689843274796853,0.4695304695304695,0.5661057692307693,8.0,1.0,0.0
S2,H→Je,7,0,0.0443315618344322,0.6293706293706294,0.7014061207609595,7.0,0.0,0.0
S2,Je→H,7,0,0.0364181610017488,0.4915084915084915,0.5844965844965845,6.0,0.0,1.0
S2,Je→Jw,7,0,0.0310673015929469,0.6693306693306693,0.7336435806186696,5.0,0.0,2.0
S2,Je→V,7,0,0.0641688745810745,0.2757242757242757,0.3791208791208791,5.0,0.0,2.0
S2,P→H,7,0,0.132124461159651,0.1948051948051948,0.2843601895734597,3.0,0.0,4.0
S2,V→Je,7,0,0.0431420537142322,0.3006993006993007,0.4062078272604588,5.0,1.0,1.0
S2,H→P,6,0,0.1193503454651237,0.25374625374625376,0.34946544980443284,3.0,1.0,2.0
S2,Jw→V,6,0,0.07529796502396946,0.28321678321678323,0.3875588270602197,4.0,0.0,2.0
S2,Jw→Je,4,0,0.0590425110908013,0.30819180819180814,0.396566248144731,4.0,0.0,0.0
S2,V→Jw,3,0,0.0401597477660158,0.4405594405594406,0.5406068035550108,3.0,0.0,0.0
S2,H→V,2,0,0.0663652751421908,0.3466533466533466,0.45373315666202696,2.0,0.0,0.0
S2,V→H,2,0,0.09924408997176705,0.12387612387612386,0.19660339660339657,1.0,1.0,0.0
S3,P→H,15,0,0.1021218367099682,0.4275724275724276,0.5932085932085933,7.0,2.0,6.0
S3,P→Jw,15,0,0.0801035126205148,0.3126873126873127,0.5095645095645096,10.0,0.0,5.0
S3,H→P,13,1,0.1153865714016864,0.2797202797202797,0.4881822088525999,4.0,4.0,5.0
S3,Je→P,12,0,0.09717296649121149,0.3816183816183816,0.558301082749924,6.0,0.0,6.0
S3,Jw→P,12,0,0.09324208490180899,0.3451548451548452,0.5334826985312422,7.0,0.0,5.0
S3,P→Je,12,0,0.0871262003570963,0.3226773226773227,0.5149352365847211,7.0,2.0,3.0
