window,_pair_id,_source_family,_target_family,_family_direction,_failure_reason,_evidence_tier,dominant_positive_lag_blocker,positive_lag_support_profile,near_positive_lag_pass_candidate,effect_size_bin,secondary_dominance_issue,source_variable,target_variable,_m_positive_peak_abs_r,_m_lag0_abs_r,_m_negative_peak_abs_r,_m_p_pos_surrogate,_m_q_pos_within_window,_m_p_pos_audit_surrogate,_m_D_pos_0,_m_D_pos_neg,_m_P_D_pos_0_gt_0,_m_P_D_pos_neg_gt_0,_m_positive_peak_lag,_m_negative_peak_lag,_m_positive_peak_signed_r,_m_negative_peak_signed_r
S2,Je_strength -> P_total_centroid_lat_10_50,Je,P,Je→P,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_competition,Je_strength,P_total_centroid_lat_10_50,0.1579178808618123,0.1606737766864357,0.1260732613185165,0.1248751248751248,0.204582651391162,0.1198801198801198,-0.0153069167083182,0.0328043658983443,0.3,0.847,1,-1,-0.1579178808618123,-0.1260732613185165
S2,Jw_strength -> V_strength,Jw,V,Jw→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,Jw_strength,V_strength,0.1641209254765358,0.0891350472886921,0.2391443898644428,0.1478521478521478,0.2311597032409215,0.1698301698301698,0.0634215796781358,-0.0763846821846732,0.777,0.176,5,-4,-0.1641209254765358,0.2391443898644428
T2,P_total_centroid_lat_10_50 -> H_centroid_lat,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_competition,P_total_centroid_lat_10_50,H_centroid_lat,0.1787978081626315,0.1658472588395693,0.1242312241719687,0.1588411588411588,0.3261538461538462,0.2717282717282717,-0.0073898355248211,0.0500400716398465,0.497,0.725,1,-1,-0.1787978081626315,-0.1242312241719687
S2,H_centroid_lat -> P_total_centroid_lat_10_50,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,H_centroid_lat,P_total_centroid_lat_10_50,0.1587103301193728,0.128665292844185,0.214650750698977,0.1308691308691308,0.2121457489878543,0.1368631368631368,0.0240194279277053,-0.0534078967750922,0.738,0.231,3,-5,0.1587103301193728,0.214650750698977
T3,H_centroid_lat -> P_north_band_share_35_45,H,P,H→P,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,H_centroid_lat,P_north_band_share_35_45,0.1779221077551987,0.1211874995761994,0.0881950782005011,0.1428571428571428,0.3410852713178294,0.1758241758241758,0.0429424084465496,0.0915511583023287,0.873,0.918,4,-1,-0.1779221077551987,-0.0881950782005011
T4,P_north_minus_main_35_45 -> Jw_axis_lat,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,P_north_minus_main_35_45,Jw_axis_lat,0.1777705324627954,0.1178406453386931,0.2539609566240728,0.1368631368631368,0.3488794669897032,0.2847152847152847,0.0381660180847031,-0.0756544255659071,0.696,0.307,5,-5,0.1777705324627954,0.2539609566240728
T3,V_pos_centroid_lat -> Jw_strength,V,Jw,V→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,V_pos_centroid_lat,Jw_strength,0.1848628462595642,0.1016676239346513,0.0903057594081705,0.1638361638361638,0.3794100636205899,0.2207792207792207,0.0720310610611823,0.0997191000004586,0.793,0.595,5,-5,0.1848628462595642,-0.0903057594081705
T3,V_strength -> P_main_minus_south,V,P,V→P,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,V_strength,P_main_minus_south,0.1863399073805091,0.0423558397581797,0.1192132565343166,0.1718281718281718,0.386299831555306,0.2657342657342657,0.1241349387221558,0.0721318959652974,0.933,0.701,4,-3,0.1863399073805091,-0.1192132565343166
S4,Je_axis_lat -> P_south_band_share_18_24,Je,P,Je→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,Je_axis_lat,P_south_band_share_18_24,0.1428854082409192,0.1132461093528131,0.1220745620368708,0.0639360639360639,0.1724137931034482,0.2447552447552447,0.0153668659699626,0.0242372668073733,0.594,0.599,5,-5,0.1428854082409192,0.1220745620368708
T1,P_total_centroid_lat_10_50 -> Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,P_total_centroid_lat_10_50,Jw_strength,0.1828105508660087,0.0570216678038917,0.0547974393494792,0.1968031968031968,0.3544759334233018,0.2337662337662337,0.0986761615748346,0.1265310558204661,0.836,0.711,5,-5,0.1828105508660087,-0.0547974393494792
T4,H_west_extent_lon -> V_NS_diff,H,V,H→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,H_west_extent_lon,V_NS_diff,0.1782906113047945,0.0277520888527109,0.1895974900397848,0.1538461538461538,0.3532763532763532,0.1448551448551448,0.135076742605533,-0.0042739035449719,0.815,0.418,5,-3,0.1782906113047945,-0.1895974900397848
T1,V_NS_diff -> H_zonal_width,V,H,V→H,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,V_NS_diff,H_zonal_width,0.1545461524543858,0.1233975894086107,0.1186256020303306,0.1108891108891109,0.2323390894819466,0.1698301698301698,0.0036292504618692,0.0322133641583213,0.542,0.583,3,-1,0.1545461524543858,0.1186256020303306
S4,P_main_minus_south -> H_strength,P,H,P→H,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_competition,P_main_minus_south,H_strength,0.1550624632664016,0.1529620970185548,0.137843471497253,0.1048951048951049,0.2411021814006888,0.2457542457542457,-0.0111959551570696,0.0074956254996532,0.228,0.606,1,-1,-0.1550624632664016,-0.137843471497253
S4,Jw_strength -> V_pos_centroid_lat,Jw,V,Jw→V,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_competition,Jw_strength,V_pos_centroid_lat,0.1527539438023281,0.1493075565409112,0.1275209971763308,0.0989010989010989,0.2307692307692307,0.1078921078921078,-0.0038422557172081,0.028102263182471,0.393,0.837,1,-1,0.1527539438023281,0.1275209971763308
S1,H_west_extent_lon -> V_pos_centroid_lat,H,V,H→V,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,H_west_extent_lon,V_pos_centroid_lat,0.1328168701871429,0.1215395486892388,0.1695646777985247,0.0629370629370629,0.1219158200290276,0.1838161838161838,-0.0063325703313692,-0.0464427847914789,0.5,0.234,5,-2,-0.1328168701871429,-0.1695646777985247
S4,Jw_strength -> V_NS_diff,Jw,V,Jw→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,Jw_strength,V_NS_diff,0.1591460517181044,0.173087895314014,0.1719440646668331,0.1198801198801198,0.2600216684723727,0.1308691308691308,-0.0202871900719143,-0.0088792457375569,0.079,0.368,1,-1,0.1591460517181044,0.1719440646668331
S1,P_main_band_share -> Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,P_main_band_share,Jw_strength,0.1436218098451995,0.0240344930856033,0.13261621186768,0.1058941058941058,0.1725681725681725,0.1368631368631368,0.1063454525767041,0.006439175001774,0.969,0.545,4,-4,0.1436218098451995,-0.13261621186768
T3,P_south_band_share_18_24 -> V_NS_diff,P,V,P→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,P_south_band_share_18_24,V_NS_diff,0.185287492485237,0.2481401235953344,0.3264100674617857,0.1808191808191808,0.4006640841173215,0.3336663336663337,-0.0719729903341063,-0.1413888764106118,0.022,0.006,1,-2,-0.185287492485237,-0.3264100674617857
S5,H_zonal_width -> V_pos_centroid_lat,H,V,H→V,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,H_zonal_width,V_pos_centroid_lat,0.139698801958705,0.0848308580406676,0.1840731289283797,0.0519480519480519,0.1839080459770115,0.0869130869130869,0.0299821862456968,-0.0271452482782432,0.662,0.316,4,-2,-0.139698801958705,0.1840731289283797
T1,Jw_strength -> V_NS_diff,Jw,V,Jw→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,Jw_strength,V_NS_diff,0.1810382111199704,0.1081970221780518,0.3874093962064791,0.2037962037962038,0.3586813186813187,0.2597402597402597,0.052805087676707,-0.209675163179807,0.669,0.022,5,-5,-0.1810382111199704,0.3874093962064791
S1,Jw_strength -> P_north_minus_main_35_45,Jw,P,Jw→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,Jw_strength,P_north_minus_main_35_45,0.1404403227077754,0.0179779804462589,0.1203393912513369,0.0979020979020979,0.1647751155947877,0.1158841158841158,0.1105091697390988,0.014408091112745,0.915,0.559,4,-3,0.1404403227077754,-0.1203393912513369
T4,P_main_minus_south -> V_strength,P,V,P→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,P_main_minus_south,V_strength,0.1836161978288083,0.1572030141556172,0.282423094509845,0.1828171828171828,0.3965330444203683,0.2317682317682317,0.0121969160491035,-0.0941823129951891,0.566,0.253,5,-4,-0.1836161978288083,0.282423094509845
