window,dominant_positive_lag_blocker,count
S1,weak_positive_lag_effect_size,101
S1,fails_surrogate_support,14
S1,passes_surrogate_but_fails_fdr,8
S2,weak_positive_lag_effect_size,101
S2,fails_surrogate_support,22
S2,passes_surrogate_but_fails_fdr,9
S3,weak_positive_lag_effect_size,118
S3,fails_surrogate_support,53
S3,passes_surrogate_but_fails_fdr,9
S4,weak_positive_lag_effect_size,134
S4,fails_surrogate_support,34
S4,passes_surrogate_but_fails_fdr,18
S5,weak_positive_lag_effect_size,130
S5,fails_surrogate_support,61
S5,passes_surrogate_but_fails_fdr,16
T1,weak_positive_lag_effect_size,91
T1,fails_surrogate_support,66
T1,passes_surrogate_but_fails_fdr,16
T2,weak_positive_lag_effect_size,111
T2,fails_surrogate_support,64
T2,passes_surrogate_but_fails_fdr,13
T3,weak_positive_lag_effect_size,103
T3,fails_surrogate_support,88
T3,passes_surrogate_but_fails_fdr,20
T4,weak_positive_lag_effect_size,111
T4,fails_surrogate_support,82
T4,passes_surrogate_but_fails_fdr,21
