window,positive_lag_support_profile,count
S1,weak_effect,101
S1,low_or_missing_support_profile,22
S2,weak_effect,101
S2,low_or_missing_support_profile,31
S3,weak_effect,118
S3,low_or_missing_support_profile,60
S3,near_pass_moderate_effect_and_near_fdr,2
S4,weak_effect,134
S4,low_or_missing_support_profile,52
S5,weak_effect,130
S5,low_or_missing_support_profile,75
S5,moderate_effect_surrogate_pass_fdr_failed_or_missing,2
T1,weak_effect,91
T1,low_or_missing_support_profile,65
T1,near_pass_moderate_effect_and_near_fdr,7
T1,moderate_effect_but_support_failed,6
T1,moderate_effect_surrogate_pass_fdr_failed_or_missing,4
T2,weak_effect,111
T2,low_or_missing_support_profile,64
T2,moderate_effect_but_support_failed,5
T2,near_pass_moderate_effect_and_near_fdr,5
T2,moderate_effect_surrogate_pass_fdr_failed_or_missing,3
T3,weak_effect,103
T3,low_or_missing_support_profile,86
T3,moderate_effect_surrogate_pass_fdr_failed_or_missing,15
T3,moderate_effect_but_support_failed,6
T3,near_pass_moderate_effect_and_near_fdr,1
T4,weak_effect,111
T4,low_or_missing_support_profile,86
T4,moderate_effect_surrogate_pass_fdr_failed_or_missing,10
T4,moderate_effect_but_support_failed,7
